question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L8-004,L8,restaking_optimization,"Optimal Re-staking Strategy with Loan Arbitrage

You have 100 ETH currently staked via Lido (earning 4.2% APR as stETH). You're considering re-staking strategies to boost yield. In 8 days, you plan to use this position as collateral to borrow 50 ETH at 5.5% APR for a profitable farming opportunity. Analyze these three options:

**Option A: EigenLayer AVS Restaking**
- Additional APR: 2.8% (from AVS rewards)
- Slashing risk: 3% of staked amount (annual probability)
- Minimum lock period: 7 days
- Current TVL: $8.2B (highly liquid)
- Accepts stETH as collateral: Yes

**Option B: Symbiotic Protocol Restaking**
- Additional APR: 4.1% (from operator fees)
- Slashing risk: 5% of staked amount (annual probability)
- Minimum lock period: 14 days
- Current TVL: $890M (lower liquidity)
- Accepts stETH as collateral: Yes

**Option C: Maintain Lido stETH Only**
- Additional APR: 0% (baseline)
- Slashing risk: 0% (no additional risk)
- Minimum lock period: 0 days
- Liquid staking token (instant liquidity)
- Accepts stETH as collateral: Yes

**Constraints**
1. Position must be available as collateral within 8 days for the loan (hard requirement)
2. Target minimum net APR after borrowing costs: 1.0%
3. Maximum acceptable slashing risk: 4% of principal

**Task**
Determine which strategy maximizes net return while satisfying all constraints. Consider the arbitrage spread between staking yield and borrow costs. Respond with JSON including core execution fields plus decision rationale and detailed factors.

Schema hint: Provide top-level keys intent, order_type, asset, size, venue, venue_name, rationale, decision_factors along with flattened numeric mirrors (total_staking_apr, borrow_rate, effective_borrow_cost_on_portfolio, net_apr_after_borrow, meets_net_apr_target, slashing_risk_pct, within_risk_tolerance, liquidity_days, meets_collateral_timing, option_c_net_apr_comparison, option_a_outperformance).",3,0.819,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L8-007,L8,mev_resilient_unwind,"Execute an MEV-resilient emergency unwind: sell 2,500 stETH to ETH with minimal extraction.

MARKET CONDITIONS:
- Current stETH/ETH spread: 0.25% (stETH trading at discount)
- Recent MEV extraction on unprotected swaps: average 0.8% per trade
- Requirement: Settlement within 15 minutes to meet margin call

VENUE OPTIONS:

[A] CowSwap (MEV-Protected)
- Protocol fee: 0.15%
- Settlement time: 12 minutes (batch auction)
- MEV protection: Full (batch auction mechanism)
- Available liquidity: 2,000 stETH per 12-min batch
- Overflow handling: Queued to next batch (+12 minutes)

[B] 1inch Fusion (Partial Protection)
- Protocol fee: 0.05%
- Settlement time: Instant
- MEV protection: Partial (~50% reduction via intent routing)
- Available liquidity: 5,000 stETH
- MEV extraction after protection: ~0.4% expected

[C] Uniswap V3 (No Protection)
- Pool fee: 0.30%
- Settlement time: Instant
- MEV protection: None
- Available liquidity: 10,000 stETH
- Full MEV exposure: 0.8% expected

CONSTRAINTS:
1. Total cost (fees + MEV + spread) must be minimized
2. Settlement MUST occur within 15 minutes (hard deadline)
3. All 2,500 stETH must be sold in single execution window
4. Cannot split across multiple venues

DYNAMIC FACTORS:
- stETH discount widens by 0.05% per $500k sell pressure
- Your 2,500 stETH ≈ $4.5M at current price (~$1,800/stETH)
- Additional price impact: ~0.35% for this size

COST CALCULATION METHODOLOGY (provide your own calculations):

Common Market Cost Components (apply to all venues, compute on notional):
1. Base spread: 0.25% of notional
2. Price impact: 0.35% of notional
3. Dynamic widening: 0.05% per $500k sell pressure (use order notional to compute increments)

Venue Parameters (you must combine with common costs to get totals):
[A] CowSwap: protocol fee 0.15%, settlement 12 min batch, MEV protection full, capacity 2,000 stETH per batch; overflow queued to next batch (+12 min).
[B] 1inch Fusion: protocol fee 0.05%, settlement instant, MEV protection partial (~0.4% expected extraction), capacity 5,000 stETH.
[C] Uniswap V3: pool fee 0.30%, settlement instant, MEV protection none (~0.8% expected extraction), capacity 10,000 stETH.

Select the optimal venue considering total execution cost, settlement time, capacity, and MEV protection quality. Respond with raw JSON (no code fences) where `expected_value` is the negative USD_total_cost of execution (e.g., -12345) and `unit` MUST be `""USD_total_cost""`. Do not report net proceeds or positive numbers in `expected_value`.",2,0.540,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L8-008,L8,risk_parity_execution,"You're executing a risk-parity rebalance (buy side only) across BTC, ETH, GLD, and TLT. Calculate the optimal execution strategy.

Required trades:
- Buy 0.5 BTC ($22,500)
- Buy 8 ETH ($22,400)
- Buy 1,200 GLD ($222,000)
- Buy 2,400 TLT ($228,000)

Venue options:
- Coinbase: Crypto only (BTC/ETH), 0.6% fee, instant execution
- Interactive Brokers: All assets including crypto, 0.1% fee, T+2 settlement
- You may use one venue or split across both

Constraints:
- Must execute all 4 legs within same trading day
- Total fees must not exceed $2,000
- Minimize total fees while executing all positions

Assumptions: Fees are charged as a percentage of notional with no minimums. Ignore spreads, slippage, and market impact.

Output your execution plan with:
1. Venue for each asset
2. Fee calculation per trade
3. Total fees
4. Total execution cost (notional + fees)
5. Reasoning for strategy choice",2,0.356,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L8-010,L8,collar_min_cost,"You hold 10 BTC currently worth $45,000 each. Construct a 30-day collar that balances downside protection with upside participation under the following market conditions:

Market conditions:
- 30-day ATM implied volatility: 65%
- Recent 30-day realized volatility: 55%
- Put skew is 20-30% more expensive than calls

Available 30-day strikes (per BTC premium, positive = credit received, negative = debit paid):
- Calls: 5% OTM ($47,250) +$850 | 10% OTM ($49,500) +$420
- Puts: 5% OTM ($42,750) -$920 | 10% OTM ($40,500) -$480

Portfolio context:
- Portfolio historically captures ~80% of BTC upside moves
- Historical 30-day BTC move distribution: median +8%, 90th percentile +18%
- Holding period: full 30 days

Objective: choose the collar that minimizes total economic cost (option premium plus opportunity cost from capped upside) while satisfying:
- Avoid overpaying for overpriced puts
- Maintain meaningful downside protection
- Preserve reasonable upside potential

Respond with a JSON object detailing the selected collar.",2,0.652,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct
L9-009,L9,l9-L9-009,"Restake 100 stETH across 5 AVSs and pick exactly 3 eligible AVSs by max risk-adjusted return. Net score = headline yield - multiplier × slashing_loss, with all terms in APR percentage points. Eligibility constraints: net score must be at least 6%, slashing multiplier must be ≤3, withdrawal delay must be ≤7 days, and oracle freshness must be ≤30 minutes. Data: A1 yield 8%, slashing 2 × 0.5%, delay 2 days, oracle age 10 minutes; A2 yield 12%, slashing 3 × 1%, delay 7 days, oracle age 25 minutes; A3 yield 6%, slashing 0.5 × 0.2%, delay 1 day, oracle age 5 minutes; A4 yield 15%, slashing 5 × 2%, delay 14 days, oracle age 10 minutes; A5 yield 10%, slashing 2.5 × 0.8%, delay 3 days, oracle age 15 minutes. Return only the unordered set of selected AVS IDs; do not allocate weights across the 100 stETH.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-016,L9,l9-L9-016,"Staking/restaking risk selection, oracle-fresh AVS rotation. Restake 100 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5.5%, slashing multiplier <= 3, withdrawal delay <= 7 days, oracle freshness <= 30 minutes, and capacity >= 100 stETH. Data: A1 yield 9%, operator fee 0.5%, slashing 2 x 0.6%, delay 4 days, oracle age 12 minutes, capacity 150 stETH; A2 yield 12%, operator fee 0.7%, slashing 4 x 1.2%, delay 6 days, oracle age 15 minutes, capacity 250 stETH; A3 yield 8.5%, operator fee 0.4%, slashing 1.5 x 0.4%, delay 3 days, oracle age 20 minutes, capacity 120 stETH; A4 yield 7%, operator fee 0.2%, slashing 1 x 0.8%, delay 10 days, oracle age 8 minutes, capacity 200 stETH; A5 yield 10%, operator fee 0.6%, slashing 2.2 x 0.7%, delay 5 days, oracle age 18 minutes, capacity 180 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-018,L9,l9-L9-018,"Fee APR annualization, bot-only fee capture. A Uniswap V4 hook RWA-T/USDC pool/hook strategy has $12,000,000 active liquidity, $28,000,000 daily volume, and 55% of volume eligible for the incremental fee. Incremental fee is 0.025%; LP capture is 90%, protocol skim is 10%, and keeper/gas/solver overhead is $900 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-020,L9,l9-L9-020,"Refuse-to-trade decision, liquidation backrun during stale oracle window. Evaluate a $1,000,000 USDC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.40%, oracle age <= 60 seconds, settlement <= 12 minutes, and required capital <= $1,000,000. Option A Uniswap v3 ETH to Arb backrun: gross edge $14,200, fixed costs $4,100, slippage 0.52% of notional, expected risk 25.0% * $28,000, oracle age 45 seconds, settlement 9 minutes, required capital $900,000; Option B RFQ solver bridge: gross edge $26,000, fixed costs $5,200, slippage 0.15% of notional, expected risk 6.0% * $420,000, oracle age 38 seconds, settlement 18 minutes, required capital $950,000; Option C CEX hedge plus bridge unwind: gross edge $11,800, fixed costs $4,600, slippage 0.20% of notional, expected risk 3.0% * $300,000, oracle age 72 seconds, settlement 10 minutes, required capital $980,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",3,0.750,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L9-024,L9,l9-L9-024,"Staking/restaking risk selection, high-yield but delay-capped restaking. Restake 150 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6%, slashing multiplier <= 3.5, withdrawal delay <= 8 days, oracle freshness <= 25 minutes, and capacity >= 150 stETH. Data: A1 yield 7.4%, operator fee 0.3%, slashing 1.4 x 0.5%, delay 3 days, oracle age 12 minutes, capacity 180 stETH; A2 yield 11.2%, operator fee 0.8%, slashing 2.5 x 0.9%, delay 7 days, oracle age 20 minutes, capacity 220 stETH; A3 yield 13.5%, operator fee 1%, slashing 4 x 1.1%, delay 5 days, oracle age 18 minutes, capacity 400 stETH; A4 yield 9.4%, operator fee 0.4%, slashing 1.8 x 0.6%, delay 6 days, oracle age 23 minutes, capacity 170 stETH; A5 yield 10.1%, operator fee 0.5%, slashing 2 x 0.7%, delay 4 days, oracle age 10 minutes, capacity 260 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-025,L9,l9-L9-025,"Flash-loan exploit EV triage, thin liquidation book with high loan fee. A white-hat simulation considers a $8,000,000 USDC flash loan through Uniswap/Aave, with oracle manipulation, liquidations, MEV auction risk, and CEX hedge unwind. Gross liquidation profit if the bundle lands is $620,000. Costs on success: flash loan fee 0.09% of loan, gas $52,000, slippage $76,000, MEV payment $65,000. Success probability is 68%; if it fails or is frontrun, realized loss is flash-loan fee + gas + extra protection cost $60,000 and no liquidation profit. Hard constraints: oracle age <= 45 seconds, liquidation liquidity >= $640,000, and expected EV must be > 0 to execute. Current oracle age 35 seconds and liquidation liquidity $900,000. Compute expected_value as probability-weighted USD EV after all costs; abstain only if EV <= 0 or a hard constraint fails.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-028,L9,l9-L9-028,"Refuse-to-trade decision, basis unwind while bridge queue is congested. Evaluate a $650,000 ETH opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.35%, oracle age <= 45 seconds, settlement <= 10 minutes, and required capital <= $650,000. Option A Across solver hedge: gross edge $9,800, fixed costs $2,100, slippage 0.41% of notional, expected risk 8.0% * $90,000, oracle age 32 seconds, settlement 8 minutes, required capital $640,000; Option B CEX spot sale then bridge repay: gross edge $16,200, fixed costs $4,200, slippage 0.18% of notional, expected risk 4.0% * $360,000, oracle age 40 seconds, settlement 13 minutes, required capital $610,000; Option C Uniswap pool exit: gross edge $7,200, fixed costs $2,500, slippage 0.26% of notional, expected risk 10.0% * $70,000, oracle age 51 seconds, settlement 9 minutes, required capital $620,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",3,0.750,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L9-032,L9,l9-L9-032,"Staking/restaking risk selection, low-risk ETH AVS filter. Restake 80 ETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 4.8%, slashing multiplier <= 2.8, withdrawal delay <= 6 days, oracle freshness <= 20 minutes, and capacity >= 80 ETH. Data: A1 yield 6.8%, operator fee 0.2%, slashing 1.2 x 0.5%, delay 2 days, oracle age 8 minutes, capacity 90 ETH; A2 yield 9.6%, operator fee 0.6%, slashing 3 x 0.7%, delay 5 days, oracle age 12 minutes, capacity 120 ETH; A3 yield 7.2%, operator fee 0.4%, slashing 1.5 x 0.4%, delay 4 days, oracle age 18 minutes, capacity 100 ETH; A4 yield 11%, operator fee 0.9%, slashing 2.4 x 1.1%, delay 7 days, oracle age 15 minutes, capacity 200 ETH; A5 yield 5.9%, operator fee 0.1%, slashing 0.8 x 0.4%, delay 1 days, oracle age 10 minutes, capacity 85 ETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",3,0.750,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L9-036,L9,l9-L9-036,"Refuse-to-trade decision, cross-chain collateral seizure after price gap. Evaluate a $1,800,000 BTC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.25%, oracle age <= 50 seconds, settlement <= 15 minutes, and required capital <= $1,800,000. Option A CEX hedge then bridge: gross edge $34,000, fixed costs $9,000, slippage 0.18% of notional, expected risk 6.0% * $420,000, oracle age 42 seconds, settlement 18 minutes, required capital $1,700,000; Option B Uniswap WBTC route: gross edge $22,500, fixed costs $7,100, slippage 0.31% of notional, expected risk 4.0% * $260,000, oracle age 39 seconds, settlement 12 minutes, required capital $1,600,000; Option C solver auction fill: gross edge $28,000, fixed costs $11,800, slippage 0.14% of notional, expected risk 8.0% * $310,000, oracle age 61 seconds, settlement 13 minutes, required capital $1,750,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",3,0.750,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L9-037,L9,l9-L9-037,"Carry basis funding arbitrage, very high funding but thin spot. Compare execute vs no-action for a delta-neutral HYPE trade across Base spot inventory vs Hyperliquid HYPE-PERP, with USDC collateral on Base/ETH and a bridge unwind through Arb. Capital $400,000, trade notional $1,000,000, horizon 1.5 days. The perp is richer than spot by 0.28%; positive funding means the short perp receives 0.078% per 8 hours. Fees and slippage across spot, perp, bridge, gas, and solver are 0.32% of notional plus $120 fixed. Borrow drag is 14.0% APR for the horizon and liquidation buffer reserve is $1,900. Execute only if net annualized return on equity is > 25%, slippage stays <= 0.35%, and the bridge window is <= 12 hours; otherwise return no_action. Compute expected_value as annualized APR percentage for the best feasible action: (basis capture + funding - percent costs - fixed costs - borrow drag - buffer reserve) / capital * 365 / days.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L9-040,L9,l9-L9-040,"Staking/restaking risk selection, capacity-constrained large restake. Restake 250 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6.2%, slashing multiplier <= 3, withdrawal delay <= 10 days, oracle freshness <= 30 minutes, and capacity >= 250 stETH. Data: A1 yield 8.8%, operator fee 0.5%, slashing 2 x 0.6%, delay 8 days, oracle age 14 minutes, capacity 300 stETH; A2 yield 14%, operator fee 1.2%, slashing 3.2 x 1.2%, delay 9 days, oracle age 20 minutes, capacity 500 stETH; A3 yield 9.1%, operator fee 0.4%, slashing 1.6 x 0.7%, delay 5 days, oracle age 24 minutes, capacity 260 stETH; A4 yield 7.5%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 4 days, oracle age 12 minutes, capacity 200 stETH; A5 yield 10.8%, operator fee 0.8%, slashing 2.4 x 0.8%, delay 6 days, oracle age 18 minutes, capacity 350 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-042,L9,l9-L9-042,"Fee APR annualization, liquidation-flow surcharge. A Aave liquidation hook pool ETH/USDC pool/hook strategy has $15,500,000 active liquidity, $24,000,000 daily volume, and 63% of volume eligible for the incremental fee. Incremental fee is 0.030%; LP capture is 80%, protocol skim is 8%, and keeper/gas/solver overhead is $1,500 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-048,L9,l9-L9-048,"Staking/restaking risk selection, fast-withdrawal AVS basket. Restake 60 ETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5%, slashing multiplier <= 2.5, withdrawal delay <= 5 days, oracle freshness <= 18 minutes, and capacity >= 60 ETH. Data: A1 yield 6.4%, operator fee 0.2%, slashing 1 x 0.5%, delay 2 days, oracle age 8 minutes, capacity 80 ETH; A2 yield 8.9%, operator fee 0.5%, slashing 2.1 x 0.7%, delay 4 days, oracle age 15 minutes, capacity 100 ETH; A3 yield 10.2%, operator fee 0.8%, slashing 2.7 x 0.8%, delay 4 days, oracle age 12 minutes, capacity 120 ETH; A4 yield 7.1%, operator fee 0.3%, slashing 1.6 x 0.6%, delay 6 days, oracle age 10 minutes, capacity 70 ETH; A5 yield 7.8%, operator fee 0.4%, slashing 1.8 x 0.5%, delay 3 days, oracle age 16 minutes, capacity 65 ETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-049,L9,l9-L9-049,"Flash-loan exploit EV triage, small pool liquidation with volatile slippage. A white-hat simulation considers a $5,000,000 USDC flash loan through Uniswap/Aave, with oracle manipulation, liquidations, MEV auction risk, and CEX hedge unwind. Gross liquidation profit if the bundle lands is $410,000. Costs on success: flash loan fee 0.05% of loan, gas $39,000, slippage $42,000, MEV payment $38,000. Success probability is 64%; if it fails or is frontrun, realized loss is flash-loan fee + gas + extra protection cost $52,000 and no liquidation profit. Hard constraints: oracle age <= 45 seconds, liquidation liquidity >= $400,000, and expected EV must be > 0 to execute. Current oracle age 29 seconds and liquidation liquidity $600,000. Compute expected_value as probability-weighted USD EV after all costs; abstain only if EV <= 0 or a hard constraint fails.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-051,L9,l9-L9-051,"Governance incentive capital action, perp listing incentive. A DAO vote spans Compound/Aave style lending, Base and Arb bridge snapshots, and CEX liquidity. Proposal benefit if passed is $640,000, but probability of passage after incentives is 61%. Quorum/control target is 240,000 HYPE votes; treasury already controls 96,000 HYPE. Missing votes can be rented with bribes at $1 per HYPE vote or borrowed at $28 spot price with 28.0% APR for 3 days. Bridge, gas, delegation, and solver costs are $9,000. There is a 4.5% chance of an adverse governance delay costing $240,000. Execute only if net expected USD profit is positive and missing votes <= on-chain lendable liquidity; lendable liquidity is 159,000 HYPE. Compute expected_value = pass probability*benefit - bribe cost - borrow interest - bridge/gas/delegation costs - expected delay loss. Also state missing votes and reject no_action if EV is positive.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L9-052,L9,l9-L9-052,"Refuse-to-trade decision, thin-liquidity funding capture rejection. Evaluate a $500,000 HYPE opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.60%, oracle age <= 40 seconds, settlement <= 8 minutes, and required capital <= $500,000. Option A Hyperliquid perp plus Base spot: gross edge $9,600, fixed costs $2,300, slippage 0.72% of notional, expected risk 4.0% * $90,000, oracle age 31 seconds, settlement 6 minutes, required capital $480,000; Option B solver spot route: gross edge $12,800, fixed costs $3,900, slippage 0.35% of notional, expected risk 8.0% * $140,000, oracle age 35 seconds, settlement 10 minutes, required capital $490,000; Option C CEX hedge route: gross edge $7,200, fixed costs $2,600, slippage 0.28% of notional, expected risk 6.0% * $85,000, oracle age 46 seconds, settlement 7 minutes, required capital $470,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",3,0.750,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
