model,question_id,pass,score,confidence,failure_reasons,field_scores,raw_snippet
meta-llama/llama-3.3-70b-instruct,AGI-084,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:venue_allocation_usd.Binance;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Binance"":0,""venue_allocation_usd.OTC_Block"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Bybit"":1,""venue_allocation_usd.CoW_RFQ"":1,""venue_allocation_usd.Uniswap_Base"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{ ""intent"": ""acquire"", ""order_type"": ""dex"", ""asset"": ""TAO"", ""size"": ""3560000"", ""unit"": ""usd"", ""venue"": ""multiple"", ""venue_name"": ""Binance, OTC_Block, Kraken, Bybit, CoW_RFQ, Uniswap_Base"", ""risk_controls"": { ""slippage_tolerance"": ""1%"", ""max_gas"": ""40 gwei"" }, "
meta-llama/llama-4-maverick,AGI-092,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_net_apy_pct,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":0,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid venues"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.94, ""expected_90d_profit_usd"": 2203.56, ""liquidity_48h_usd"": "
meta-llama/llama-4-scout,AGI-092,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_90d_profit_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":0,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""chosen_strategy"": ""diversified yield allocation"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000, ""Uncapped_Venue"": 20000 }, ""expected_net_apy_pct"": 8.83, ""expected_90d_profit_usd"":"
meta-llama/llama-3.1-8b-instruct,AGI-092,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_90d_profit_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":0,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""chosen_strategy"": ""maximize risk-adjusted 90-day dollars"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000 }, ""expected_net_apy_pct"": 8.5, ""expected_90d_profit_usd"": 91400, ""liquidit"
meta-llama/llama-4-maverick,AGI-093,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:liquidity_48h_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":0,""allocation_usd.Aave_USDC"":1,""allocation_usd.Symbiotic_AVS"":1,""allocation_usd.EigenLayer_AVS"":1,""allocation_usd.Pendle_PT"":1}","{""intent"": ""restaking yield allocation"", ""chosen_strategy"": ""diversified liquid staking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.84, ""expected_90d_profit_usd"": 1931"
meta-llama/llama-4-maverick,AGI-024,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""ABC"", ""size"": ""50000"", ""unit"": ""abc"", ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"" }, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [ ""Dark_RFQ"", ""hidden_public"", ""Internali"
meta-llama/llama-3.3-70b-instruct,AGI-025,0,0.636,0.800,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:venue_fills.RFQ_A;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":0,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","```json { ""intent"": ""buy"", ""chosen_strategy"": ""optimizing execution route"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9"
meta-llama/llama-4-scout,AGI-025,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential"", ""execution_sequence"": [""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_pri"
meta-llama/llama-4-maverick,AGI-026,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": 120000, ""unit"": ""kap"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue optimization"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""hidden_public"", ""CEX_Y""], "
meta-llama/llama-4-scout,AGI-026,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, """
meta-llama/llama-4-maverick,AGI-063,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_asset_received;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":0,""effective_price"":1,""self_check"":0}","{""intent"": ""swap"", ""order_type"": ""split"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""usd"", ""venue"": ""multi"", ""venue_name"": ""Kraken,Uniswap_Arbitrum,Curve_ETH,Binance,Velodrome_Optimism"", ""risk_controls"": {""slippage_tolerance"": ""0.5%""}, ""chosen_strategy"": ""ven"
meta-llama/llama-3.3-70b-instruct,AGI-087,0,0.636,0.800,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:venue_fills.RFQ_A;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":0,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","```json { ""intent"": ""buy"", ""chosen_strategy"": ""optimizing execution route"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9"
meta-llama/llama-4-maverick,AGI-087,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""RHO"", ""size"": ""80000"", ""unit"": ""RHO"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue sweep with hidden public"", ""execution_sequence"": [ ""CEX_Y"", ""hidden_public"", ""Dark_RFQ"", ""RFQ_A"
meta-llama/llama-3.3-70b-instruct,AGI-088,0,0.636,0.800,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","```json { ""intent"": ""buy"", ""chosen_strategy"": ""minimize_slippage"", ""execution_sequence"": [ ""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public"" ], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_publ"
meta-llama/llama-4-scout,AGI-088,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, """
meta-llama/llama-4-maverick,AGI-002,0,0.625,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Dark_RFQ_B"":1,""venue_fills.CEX_Y"":1,""venue_fills.RFQ_A"":1,""expected_avg_price"":1,""expected_slippage_pct"":1}","{ ""intent"": ""buy"", ""order_type"": ""complex"", ""asset"": ""ALT"", ""size"": 25000, ""unit"": ""ALT"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""chosen_strategy"": ""split venues to minimize slippage and avoid triggering DEX-X bot"", ""execution_sequence"": [""CEX-Y"", ""Dark "
meta-llama/llama-4-maverick,AGI-053,0,0.625,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""decision"":1,""chosen_strategy"":0,""exit_sequence"":1,""private_sale_usd"":1,""expected_exit_value_usd"":1,""expected_stay_value_usd"":1,""self_check"":0}","{""intent"": ""exit"", ""decision"": ""exit"", ""chosen_strategy"": ""private_then_public"", ""exit_sequence"": [""private_mm"", ""dex_slice""], ""private_sale_usd"": 99300, ""expected_exit_value_usd"": 148860, ""expected_stay_value_usd"": 120000, ""self_check"": true, ""reasoning"": ""Pr"
meta-llama/llama-4-scout,AGI-061,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:apr_pct;agi_validation_failed:pnl_30d_usd;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":0,""pnl_30d_usd"":0,""cascade_buffer_pct"":1,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""delta-neutral short ladder"", ""chosen_strategy"": ""diversified perp short allocation"", ""perp_short_allocation_usd"": { ""Binance"": 120000, ""Bybit"": 120000, ""OKX"": 110000, ""Hyperliquid"": 90000, ""dYdX"": 60000 }, ""leverage"": 1, ""apr_pct"": 32.4, ""pnl_30d_"
meta-llama/llama-4-maverick,AGI-062,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:cascade_buffer_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":0,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""hedge"", ""order_type"": ""custom"", ""asset"": ""BTC"", ""size"": ""1"", ""unit"": ""btc"", ""venue"": ""multi"", ""risk_controls"": { ""position_size_limit"": ""500000"" }, ""follow_up"": ""monitor basis and funding"", ""reasoning"": ""delta-neutral short ladder to hedge spot cu"
meta-llama/llama-4-scout,AGI-062,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:apr_pct;agi_validation_failed:pnl_30d_usd;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":0,""pnl_30d_usd"":0,""cascade_buffer_pct"":1,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""build delta-neutral short ladder"", ""chosen_strategy"": ""laddered short allocation across multiple venues"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_p"
meta-llama/llama-4-maverick,AGI-111,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:cascade_buffer_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":0,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""hedge"", ""order_type"": ""basis ladder"", ""asset"": ""SOL"", ""size"": ""1"", ""unit"": ""delta-neutral"", ""venue"": ""multi-venue"", ""venue_name"": ""binance, bybit, okx, hyperliquid, dydx"", ""risk_controls"": { ""position_size_limit"": ""500000"" }, ""follow_up"": ""monitor"
meta-llama/llama-4-maverick,AGI-059,0,0.600,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:remaining_unoffset_gains;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""assets_to_sell"":1,""sale_sequence"":1,""replacement_assets.FTM"":1,""replacement_assets.MATIC"":1,""replacement_assets.UNI"":1,""net_tax_benefit"":1,""remaining_unoffset_gains"":0,""self_check"":0}","{ ""intent"": ""tax_loss_harvest"", ""order_type"": ""strategy"", ""asset"": """", ""size"": """", ""venue"": """", ""risk_controls"": {}, ""chosen_strategy"": ""depth_sorted_loss_harvest"", ""assets_to_sell"": [""FTM"", ""MATIC"", ""UNI""], ""sale_sequence"": [""FTM"", ""MATIC"", ""UNI""], ""replaceme"
