model,question_id,pass,score,confidence,failure_reasons,parsing_method,raw_snippet
meta-llama/llama-4-scout,L10-035,1,1.000,1.000,,json,"{ ""intent"": ""execute"", ""order_type"": ""gas timed"", ""asset"": ""ETH"", ""size"": 15, ""unit"": ""transactions"", ""price"": 250000, ""unit_price"": ""gas"", ""venue"": ""mainnet"", ""risk_controls"": { ""max_gas"": 18 }, ""expected_value"": 207.00, ""reasoning"": ""Execute 15 transactions "
meta-llama/llama-4-maverick,L10-037,1,1.000,1.000,,json,"{""intent"": ""multi-leg strategy"", ""order_type"": ""strategic allocation"", ""asset"": ""ETH"", ""size"": ""4000000"", ""unit"": ""usd"", ""venue"": ""multi-venue"", ""venue_name"": ""spot, cme, perp, options"", ""risk_controls"": {""stop_loss"": ""14%"", ""slippage_tolerance"": ""1%""}, ""expec"
meta-llama/llama-4-maverick,L10-039,1,1.000,1.000,,json,"{ ""intent"": ""rebalance and optimize"", ""order_type"": ""channel management"", ""asset"": ""BTC"", ""size"": ""34"", ""unit"": ""channels"", ""venue"": ""lightning network"", ""risk_controls"": { ""position_size_limit"": 55, ""max_gas"": 30 }, ""follow_up"": ""monitor payment success rate"""
meta-llama/llama-4-scout,L10-040,1,1.000,1.000,,json,"{ ""intent"": ""scale stablecoin routing"", ""expected_value"": 49500, ""reasoning"": ""Grow successful routed volume from $22,000,000 to $45,000,000, apply 0.11% net fee rate"" }"
meta-llama/llama-3.1-8b-instruct,L10-045,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""expected_value"": 0.37, ""reasoning"": ""Hybrid strategy with 93% success probability and 0.37% expected total cost, combining 25 child orders of $200,000 each with private solver/RPC routing and residual adverse-selection cost"" }"
meta-llama/llama-3.3-70b-instruct,L10-045,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""order_type"": ""dex"", ""asset"": ""ETH"", ""size"": 5000000, ""unit"": ""usd"", ""price"": ""pool spot"", ""venue"": ""dex"", ""venue_name"": ""uniswap"", ""risk_controls"": { ""slippage_tolerance"": ""0.50%"", ""max_gas"": ""40 gwei"" }, ""follow_up"": ""monitor pool depth"","
meta-llama/llama-4-maverick,L10-045,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""order_type"": ""dex"", ""asset"": ""ETH"", ""size"": 5000000, ""unit"": ""usd"", ""price"": ""pool spot"", ""venue"": ""ethereum"", ""venue_name"": ""uniswap"", ""risk_controls"": { ""slippage_tolerance"": 0.5, ""max_gas"": 30 }, ""follow_up"": ""monitor pool depth"", ""reas"
meta-llama/llama-3.1-8b-instruct,L10-046,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""expected_value"": 0.35, ""reasoning"": ""Hybrid strategy: split into 15 child orders of $200,000 each, submit through a private solver/RPC route, and account for residual adverse-selection cost"" }"
meta-llama/llama-3.3-70b-instruct,L10-046,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""order_type"": ""dex"", ""asset"": ""USDC"", ""size"": 3000000, ""unit"": ""usd"", ""price"": ""pool spot"", ""venue"": ""arbitrum"", ""venue_name"": ""arbitrum dex"", ""risk_controls"": { ""slippage_tolerance"": ""0.45%"", ""max_gas"": ""30 gwei"" }, ""follow_up"": ""monitor p"
meta-llama/llama-4-maverick,L10-046,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""order_type"": ""dex"", ""asset"": ""ARB"", ""size"": 3000000, ""unit"": ""USDC"", ""price"": ""pool spot"", ""venue"": ""arbitrum"", ""venue_name"": ""uniswap"", ""risk_controls"": { ""slippage_tolerance"": 0.45, ""max_gas"": 30 }, ""follow_up"": ""monitor pool depth"", ""re"
meta-llama/llama-4-scout,L10-046,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""order_type"": ""hybrid"", ""asset"": ""USDC"", ""size"": 3000000, ""unit"": ""usdc"", ""price"": ""market"", ""venue"": ""arbitrum"", ""venue_name"": ""arbitrum dex"", ""risk_controls"": { ""slippage_tolerance"": ""0.45%"" }, ""follow_up"": ""monitor execution"", ""reasoning"
meta-llama/llama-3.1-8b-instruct,L10-048,1,0.700,1.000,,json,"{ ""intent"": ""upgrade"", ""expected_value"": 12.5, ""reasoning"": ""Restore uptime with sentry nodes and Horcrux signer, then add Skip MEV for incremental profit"" }"
meta-llama/llama-4-maverick,L10-048,1,1.000,1.000,,json,"{""intent"": ""upgrade"", ""order_type"": ""validator_upgrade"", ""asset"": ""ATOM"", ""size"": ""8000000"", ""unit"": ""atom"", ""price"": ""9"", ""venue"": ""cosmos_hub"", ""risk_controls"": {""slippage_tolerance"": ""0""}, ""follow_up"": ""monitor_uptime"", ""reasoning"": ""Three-phase plan: 1) De"
meta-llama/llama-4-scout,L10-048,1,1.000,1.000,,json,"{ ""intent"": ""upgrade"", ""expected_value"": 15, ""reasoning"": ""Selected upgrades: distributed sentry nodes ($48,000), Deploy Horcrux threshold signer ($32,000), and Add Skip MEV integration ($10,000). Total cost: $90,000. Expected six-month net profit increase: $8"
meta-llama/llama-3.1-8b-instruct,L10-049,1,1.000,1.000,,json,"{ ""intent"": ""allocate"", ""expected_value"": 11.35, ""reasoning"": ""Maximize risk-adjusted yield by allocating 25% to Tokenized Treasury repo, 20% to FraxBP LP, 20% to Maple senior loan, and 35% to Ethena sUSDe lock, while satisfying constraints on liquidity, tail "
meta-llama/llama-4-scout,L10-049,1,1.000,1.000,,json,"{ ""intent"": ""allocate"", ""expected_value"": 11.4, ""reasoning"": ""Optimized allocation: 30% Tokenized Treasury repo (5.4% APR), 30% FraxBP LP (9.8% APR), 20% Maple senior loan (13.0% APR), 20% Ethena sUSDe lock (16.5% APR); balances risk and return within constrai"
meta-llama/llama-4-maverick,L10-055,1,0.700,1.000,,json,"{""intent"": ""compute hedged net USD profit"", ""order_type"": ""none"", ""asset"": ""German T-bills"", ""size"": ""10800000"", ""unit"": ""usd"", ""venue"": ""none"", ""risk_controls"": {}, ""expected_value"": 56160.0, ""reasoning"": ""EUR 10,000,000 invested at 3.2% APR for 91 days, hedg"
meta-llama/llama-3.1-8b-instruct,L10-059,1,1.000,1.000,,json,"{ ""intent"": ""rebalance"", ""expected_value"": 32000000, ""reasoning"": ""Rebalanced basket to target composition, accounting for execution costs"" }"
meta-llama/llama-3.3-70b-instruct,L10-059,1,1.000,1.000,,json,"{ ""intent"": ""rebalance"", ""expected_value"": 31907916.0, ""reasoning"": ""calculated costs of selling and buying assets to reach target basket"" }"
meta-llama/llama-4-scout,L10-059,1,1.000,1.000,,json,"{ ""intent"": ""rebalance"", ""expected_value"": 31987200, ""reasoning"": ""Computed target basket values: 30% USDC ($9,600,000), 30% DAI ($9,600,000), 15% FRAX ($4,800,000), 25% T-bills ($8,000,000). Initial basket: 40% USDC ($12,800,000), 25% DAI ($8,000,000), 20% FR"
meta-llama/llama-4-maverick,L10-061,1,0.700,1.000,,json,"{""intent"":""bridge"",""order_type"":""optimized_route"",""asset"":""USDC"",""size"":4000000,""unit"":""usd"",""venue"":""multi_route"",""venue_name"":""LayerZero,Wormhole"",""risk_controls"":{""slippage_tolerance"":0},""follow_up"":""monitor_fill"",""reasoning"":""LayerZero($3,000,000) + Wormho"
meta-llama/llama-3.1-8b-instruct,L10-063,1,0.700,1.000,,json,"{ ""intent"": ""sell"", ""expected_value"": 7680000.0, ""reasoning"": ""Lit capacity used in 5 of 6 hours, with 12% participation rate; dark-pool block used in final hour with 2.10% haircut"" }"
meta-llama/llama-3.3-70b-instruct,L10-063,1,0.700,1.000,,json,"{ ""intent"": ""sell"", ""expected_value"": 7682431.2, ""reasoning"": ""TWAP execution with lit-market participation capped at 12% per hour, residual sold in dark pool at 2.10% haircut"" }"
meta-llama/llama-4-maverick,L10-063,1,0.700,1.000,,json,"{""intent"": ""sell"", ""order_type"": ""twap"", ""asset"": ""XYZ"", ""size"": 1200000, ""unit"": ""xyz"", ""price"": 6.40, ""venue"": ""lit"", ""venue_name"": ""multiple"", ""risk_controls"": {""slippage_tolerance"": 0.45, ""position_size_limit"": 1200000}, ""follow_up"": ""dark block"", ""reasoni"
meta-llama/llama-4-scout,L10-063,1,1.000,1.000,,json,"{ ""intent"": ""sell"", ""expected_value"": 7660800, ""reasoning"": ""Calculated lit-market participation and impact cost for each hour, then computed total proceeds after lit impact and dark-pool haircut."" }"
meta-llama/llama-3.3-70b-instruct,L10-069,1,1.000,1.000,,json,"{ ""intent"": ""rebalance"", ""expected_value"": 27600000.0, ""reasoning"": ""pro rata reduction of crypto sleeve to meet 3.20% volatility target"" }"
