rank,model,pass,total,pass_rate_pct,clean,dirty,answered_fail,source
43,anthropic/claude-sonnet-4.5,79,300,26.3,300,0,221,parallel-runner final checkpoints
44,kwaipilot/kat-coder-pro-v2,78,300,26.0,300,0,222,parallel-runner final checkpoints
45,arcee-ai/trinity-mini,76,300,25.3,263,37,187,parallel-runner final checkpoints
46,qwen/qwen3.5-flash-02-23,73,300,24.3,162,138,89,parallel-runner final checkpoints
47,qwen/qwen3-max-thinking,71,300,23.7,300,0,229,parallel-runner final checkpoints
48,xiaomi/mimo-v2.5,67,300,22.3,300,0,233,parallel-runner final checkpoints
49,xiaomi/mimo-v2.5-pro,64,300,21.3,300,0,236,parallel-runner final checkpoints
50,inclusionai/ling-2.6-1t,64,300,21.3,273,27,209,parallel-runner final checkpoints
51,mistralai/mistral-small-2603,57,300,19.0,300,0,243,openrouter-mistral-family-n1-2026-06-09-threshold-agi
52,mistralai/mistral-medium-3-5,56,300,18.7,300,0,244,openrouter-mistral-family-n1-2026-06-09-threshold-agi
53,xiaomi/mimo-v2-flash,56,300,18.7,300,0,244,parallel-runner final checkpoints
54,meta-llama/llama-3.3-70b-instruct,53,300,17.7,300,0,247,openrouter-llamas-n1-2026-06-08-threshold-agi
55,anthropic/claude-haiku-4.5,52,300,17.3,300,0,248,parallel-runner final checkpoints
56,meta-llama/llama-4-maverick,52,300,17.3,300,0,248,openrouter-llamas-n1-2026-06-08-threshold-agi
57,deepseek/deepseek-chat-v3.1,49,300,16.3,300,0,251,parallel-runner final checkpoints
58,inclusionai/ling-2.6-flash,48,300,16.0,300,0,252,parallel-runner final checkpoints
59,x-ai/grok-4.20,46,300,15.3,300,0,254,parallel-runner final checkpoints
60,meta-llama/llama-4-scout,45,300,15.0,300,0,255,openrouter-llamas-n1-2026-06-08-threshold-agi
61,ibm-granite/granite-4.1-8b,41,300,13.7,300,0,259,parallel-runner final checkpoints
62,deepcogito/cogito-v2.1-671b,39,300,13.0,300,0,261,parallel-runner final checkpoints
63,deepseek/deepseek-v3.2-exp,39,300,13.0,300,0,261,parallel-runner final checkpoints
64,liquid/lfm-2-24b-a2b,39,300,13.0,300,0,261,parallel-runner final checkpoints
65,openai/gpt-5.2-codex,38,300,12.7,298,2,260,parallel-runner final checkpoints
66,deepseek/deepseek-v3.2,33,300,11.0,300,0,267,parallel-runner final checkpoints
67,meta-llama/llama-3.1-8b-instruct,33,300,11.0,300,0,267,openrouter-llamas-n1-2026-06-08-threshold-agi
