model,question_id,pass,score,confidence,failure_reasons,field_scores,raw_snippet
mistralai/mistral-medium-3-5,AGI-030,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_net_apy_pct,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":0,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""order_type"": ""yield_allocation"", ""asset"": ""USD"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi_protocol"", ""venue_name"": ""Aave, Curve, Ethena, GMX"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 }, ""chosen_s"
mistralai/mistral-small-2603,AGI-030,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:allocation_usd.GMX_GLP,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":0}","{""intent"": ""allocate"", ""chosen_strategy"": ""balanced_liquid_term_split"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 20000, ""fifth_venue"": 10000}, ""expected_net_apy_pct"": 8.54, ""expected_90d_profit_usd"": 2135, """
mistralai/mistral-medium-3-5,AGI-031,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:liquidity_48h_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":0,""allocation_usd.Aave_USDC"":1,""allocation_usd.Symbiotic_AVS"":1,""allocation_usd.EigenLayer_AVS"":1,""allocation_usd.Pendle_PT"":1}","{ ""intent"": ""allocate"", ""chosen_strategy"": ""liquid-first restaking yield optimization"", ""allocation_usd"": { ""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000 }, ""expected_net_apy_pct"": 7.89, ""expected_90d_profit_usd"": 1947"
mistralai/mistral-medium-3-5,AGI-093,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:liquidity_48h_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":0,""allocation_usd.Aave_USDC"":1,""allocation_usd.Symbiotic_AVS"":1,""allocation_usd.EigenLayer_AVS"":1,""allocation_usd.Pendle_PT"":1}","{ ""intent"": ""allocate"", ""order_type"": ""strategic_allocation"", ""asset"": ""USDC"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi_protocol"", ""venue_name"": ""restaking_yield_holdout"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 }, ""chos"
mistralai/mistral-medium-3-5,AGI-025,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi-venue"", ""asset"": ""RHO"", ""size"": 80000, ""unit"": ""RHO"", ""venue"": ""multi"", ""venue_name"": ""CEX_Y, Dark_RFQ, RFQ_A, hidden_public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"" }, ""chosen_strategy"": ""split execution across"
mistralai/mistral-small-2603,AGI-025,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential_venue_routing_with_hidden_public"", ""execution_sequence"": [""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_pub"
mistralai/mistral-small-2603,AGI-026,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""multi-venue sequential with hidden public iceberg"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""hidden_public"", ""CEX_Y""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"":"
mistralai/mistral-small-2603,AGI-086,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential dark pool execution with hidden public iceberg"", ""execution_sequence"": [ { ""step"": 1, ""venue"": ""Dark_RFQ"", ""size"": 15000, ""unit"": ""ABC"", ""price"": 1.206, ""deadline"": ""T+20s"" }, { ""step"": 2, ""venue"": ""Internalize"
mistralai/mistral-small-2603,AGI-087,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""sequential hidden execution with private RFQs and minimal public footprint"", ""execution_sequence"": [""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": {""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden"
mistralai/mistral-small-2603,AGI-088,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential venue routing with hidden public iceberg"", ""execution_sequence"": [ { ""step"": 1, ""venue"": ""Internalizer"", ""size"": 42000, ""price"": 4.925, ""time_deadline"": ""T+20s"" }, { ""step"": 2, ""venue"": ""Dark_RFQ"", ""size"": 3500"
mistralai/mistral-small-2603,AGI-061,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:apr_pct;agi_validation_failed:pnl_30d_usd;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":0,""pnl_30d_usd"":0,""cascade_buffer_pct"":1,""survives_cascade"":1,""self_check"":0}","{""intent"": ""delta-neutral short ladder"", ""chosen_strategy"": ""distributed perp short across resilient venues with spot long hedge"", ""perp_short_allocation_usd"": {""Binance"": 120000, ""Bybit"": 120000, ""OKX"": 110000, ""Hyperliquid"": 90000, ""dYdX"": 60000}, ""leverage"""
mistralai/mistral-medium-3-5,AGI-062,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:cascade_buffer_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":0,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""delta-neutral short ladder"", ""chosen_strategy"": ""multi-venue perp short allocation with resilient capacity limits"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"":"
mistralai/mistral-small-2603,AGI-062,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:cascade_buffer_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":0,""survives_cascade"":1,""self_check"":0}","{""intent"": ""short"", ""chosen_strategy"": ""delta-neutral ladder with distributed perp shorts"", ""perp_short_allocation_usd"": {""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000}, ""leverage"": 1, ""apr_pct"": 24.4, ""pnl_30d_usd"": 305"
