question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L9-024,L9,l9-L9-024,"Staking/restaking risk selection, high-yield but delay-capped restaking. Restake 150 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6%, slashing multiplier <= 3.5, withdrawal delay <= 8 days, oracle freshness <= 25 minutes, and capacity >= 150 stETH. Data: A1 yield 7.4%, operator fee 0.3%, slashing 1.4 x 0.5%, delay 3 days, oracle age 12 minutes, capacity 180 stETH; A2 yield 11.2%, operator fee 0.8%, slashing 2.5 x 0.9%, delay 7 days, oracle age 20 minutes, capacity 220 stETH; A3 yield 13.5%, operator fee 1%, slashing 4 x 1.1%, delay 5 days, oracle age 18 minutes, capacity 400 stETH; A4 yield 9.4%, operator fee 0.4%, slashing 1.8 x 0.6%, delay 6 days, oracle age 23 minutes, capacity 170 stETH; A5 yield 10.1%, operator fee 0.5%, slashing 2 x 0.7%, delay 4 days, oracle age 10 minutes, capacity 260 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-025,L9,l9-L9-025,"Flash-loan exploit EV triage, thin liquidation book with high loan fee. A white-hat simulation considers a $8,000,000 USDC flash loan through Uniswap/Aave, with oracle manipulation, liquidations, MEV auction risk, and CEX hedge unwind. Gross liquidation profit if the bundle lands is $620,000. Costs on success: flash loan fee 0.09% of loan, gas $52,000, slippage $76,000, MEV payment $65,000. Success probability is 68%; if it fails or is frontrun, realized loss is flash-loan fee + gas + extra protection cost $60,000 and no liquidation profit. Hard constraints: oracle age <= 45 seconds, liquidation liquidity >= $640,000, and expected EV must be > 0 to execute. Current oracle age 35 seconds and liquidation liquidity $900,000. Compute expected_value as probability-weighted USD EV after all costs; abstain only if EV <= 0 or a hard constraint fails.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-028,L9,l9-L9-028,"Refuse-to-trade decision, basis unwind while bridge queue is congested. Evaluate a $650,000 ETH opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.35%, oracle age <= 45 seconds, settlement <= 10 minutes, and required capital <= $650,000. Option A Across solver hedge: gross edge $9,800, fixed costs $2,100, slippage 0.41% of notional, expected risk 8.0% * $90,000, oracle age 32 seconds, settlement 8 minutes, required capital $640,000; Option B CEX spot sale then bridge repay: gross edge $16,200, fixed costs $4,200, slippage 0.18% of notional, expected risk 4.0% * $360,000, oracle age 40 seconds, settlement 13 minutes, required capital $610,000; Option C Uniswap pool exit: gross edge $7,200, fixed costs $2,500, slippage 0.26% of notional, expected risk 10.0% * $70,000, oracle age 51 seconds, settlement 9 minutes, required capital $620,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-034,L9,l9-L9-034,"Fee APR annualization, stablecoin fee compression. A Uniswap V3 stable pool USDC/RWA-T pool/hook strategy has $20,000,000 active liquidity, $42,000,000 daily volume, and 48% of volume eligible for the incremental fee. Incremental fee is 0.012%; LP capture is 92%, protocol skim is 12%, and keeper/gas/solver overhead is $1,100 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-036,L9,l9-L9-036,"Refuse-to-trade decision, cross-chain collateral seizure after price gap. Evaluate a $1,800,000 BTC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.25%, oracle age <= 50 seconds, settlement <= 15 minutes, and required capital <= $1,800,000. Option A CEX hedge then bridge: gross edge $34,000, fixed costs $9,000, slippage 0.18% of notional, expected risk 6.0% * $420,000, oracle age 42 seconds, settlement 18 minutes, required capital $1,700,000; Option B Uniswap WBTC route: gross edge $22,500, fixed costs $7,100, slippage 0.31% of notional, expected risk 4.0% * $260,000, oracle age 39 seconds, settlement 12 minutes, required capital $1,600,000; Option C solver auction fill: gross edge $28,000, fixed costs $11,800, slippage 0.14% of notional, expected risk 8.0% * $310,000, oracle age 61 seconds, settlement 13 minutes, required capital $1,750,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-040,L9,l9-L9-040,"Staking/restaking risk selection, capacity-constrained large restake. Restake 250 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6.2%, slashing multiplier <= 3, withdrawal delay <= 10 days, oracle freshness <= 30 minutes, and capacity >= 250 stETH. Data: A1 yield 8.8%, operator fee 0.5%, slashing 2 x 0.6%, delay 8 days, oracle age 14 minutes, capacity 300 stETH; A2 yield 14%, operator fee 1.2%, slashing 3.2 x 1.2%, delay 9 days, oracle age 20 minutes, capacity 500 stETH; A3 yield 9.1%, operator fee 0.4%, slashing 1.6 x 0.7%, delay 5 days, oracle age 24 minutes, capacity 260 stETH; A4 yield 7.5%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 4 days, oracle age 12 minutes, capacity 200 stETH; A5 yield 10.8%, operator fee 0.8%, slashing 2.4 x 0.8%, delay 6 days, oracle age 18 minutes, capacity 350 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-044,L9,l9-L9-044,"Refuse-to-trade decision, RFQ route during exchange halt. Evaluate a $1,200,000 SOL opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.45%, oracle age <= 55 seconds, settlement <= 11 minutes, and required capital <= $1,200,000. Option A CEX hedge route: gross edge $18,500, fixed costs $6,200, slippage 0.19% of notional, expected risk 5.0% * $260,000, oracle age 44 seconds, settlement 14 minutes, required capital $1,180,000; Option B Uniswap bridge route: gross edge $13,600, fixed costs $3,900, slippage 0.51% of notional, expected risk 6.0% * $120,000, oracle age 49 seconds, settlement 9 minutes, required capital $1,100,000; Option C solver route: gross edge $21,000, fixed costs $4,800, slippage 0.22% of notional, expected risk 7.0% * $260,000, oracle age 63 seconds, settlement 8 minutes, required capital $1,190,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-052,L9,l9-L9-052,"Refuse-to-trade decision, thin-liquidity funding capture rejection. Evaluate a $500,000 HYPE opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.60%, oracle age <= 40 seconds, settlement <= 8 minutes, and required capital <= $500,000. Option A Hyperliquid perp plus Base spot: gross edge $9,600, fixed costs $2,300, slippage 0.72% of notional, expected risk 4.0% * $90,000, oracle age 31 seconds, settlement 6 minutes, required capital $480,000; Option B solver spot route: gross edge $12,800, fixed costs $3,900, slippage 0.35% of notional, expected risk 8.0% * $140,000, oracle age 35 seconds, settlement 10 minutes, required capital $490,000; Option C CEX hedge route: gross edge $7,200, fixed costs $2,600, slippage 0.28% of notional, expected risk 6.0% * $85,000, oracle age 46 seconds, settlement 7 minutes, required capital $470,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-060,L9,l9-L9-060,"Refuse-to-trade decision, restaking incident unwind abstention. Evaluate a $2,200,000 stETH opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.30%, oracle age <= 35 seconds, settlement <= 14 minutes, and required capital <= $2,200,000. Option A Aave repay via Uniswap: gross edge $31,000, fixed costs $8,400, slippage 0.36% of notional, expected risk 5.0% * $360,000, oracle age 28 seconds, settlement 12 minutes, required capital $2,100,000; Option B CEX hedge bridge unwind: gross edge $52,000, fixed costs $14,200, slippage 0.15% of notional, expected risk 9.0% * $430,000, oracle age 30 seconds, settlement 17 minutes, required capital $2,050,000; Option C solver liquidation fill: gross edge $38,000, fixed costs $9,300, slippage 0.22% of notional, expected risk 6.0% * $390,000, oracle age 41 seconds, settlement 11 minutes, required capital $2,150,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-005,L10,l10-L10-005,"Sell 500,000 ALT at $8.20 within 24 hours across venues: - Binance: 0.8% fee with $50,000 depth. - OKX: 1.2% fee with $30,000 depth. - Uniswap: 2.0% impact with $120,000 depth. - MEXC: 1.5% fee with $80,000 depth. Holdings: 300,000 ALT already on Binance, 200,000 on Ethereum (bridge cost 0.1% plus $50 gas). Price likely pumps 40% tomorrow due to unreleased news. Execution convention: venue depth is reusable per TWAP slice over the 24-hour window, but inventory can only be sold where it already sits unless explicitly bridged. For this scenario, the Ethereum ALT cannot be deposited to CEX venues within 24 hours, so sell the 300,000 ALT already on Binance through Binance TWAP slices and sell the 200,000 ALT already on Ethereum through Uniswap. Do not use OKX or MEXC unless Binance inventory exceeds Binance's executable inventory. Treat Uniswap's 2.0% impact as the all-in execution haircut for the Ethereum sale. Design a TWAP execution that minimizes slippage under those settlement constraints, finishes before the pump, and report expected proceeds.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-010,L10,l10-L10-010,"Predict Ethereum gas prices one hour ahead to minimize cost for 10 transactions (200,000 gas each, ETH at $3,000). Current gas is 25 base plus 2 priority (27 gwei). Events: - US market open: +80% gas with 5% probability, magnitude above 200%. - NFT mint: +120% gas with 0.6 probability, 0.4 chance of delay. - Maintenance window at 16:00: -30% gas with 0.6 probability, 0.4 chance of cancellation. - Bot wars: +40% gas. Execution options: - Low scenario at 25 gwei (100% fill). - Medium scenario at 71 gwei (60% fill). - High scenario leaves orders unfilled. - For this scenario, execute all 10 transactions only in the Low scenario. Treat the current 27 gwei line as market context, not the execution gas price. Treat the event bullets as context already summarized by the Low/Medium/High execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the task requires all 10 transactions to execute. Design an execution schedule minimizing expected USD spend and report the expected cost.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-012,L10,l10-L10-012,"Operate a Lightning routing node managing $2,000,000 BTC. Current state: 32 BTC across 47 channels, 87% payment success, 0.15% fee rate, $18,000,000 monthly volume, and 13% failures due to inbound imbalance. Objectives: - Reach 95% success rate. - Double monthly revenue. - Spend no more than $5,000 on-chain. - Cap channels at 60. For this scenario, the $18,000,000 monthly volume is successful routed volume already earning the 0.15% fee rate, not attempted volume. Higher success and direct institutional channels should be sized so the final successful routed volume is exactly $36,000,000 per month at the same fee rate; rebalancing costs are one-time and excluded from monthly revenue. Higher success attracts retry traffic, and direct institutional channels can add flow. Devise a rebalancing and channel strategy meeting the targets and report expected monthly revenue.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-016,L10,l10-L10-016,"Execute a $2,000,000 USDC to SOL swap via Jupiter on Solana. The network lacks a public mempool; 95% of stake uses Jito bundles for MEV extraction. Historical attack rate is 73% for swaps over $500,000 with an average 0.8% slippage loss. Options: 1. Submit a Jito bundle with a high tip ($3,000, 90% success). 2. Use a private RPC (Triton or Helius) costing $50 with 95% success. 3. Split into 20 micro-swaps of $100,000 each (adds 0.15% slippage, 80% success). 4. Hybrid: combine private RPC and splitting. Objective and cost convention: choose the highest protected-completion probability strategy with total expected cost at or below 0.6%, while also keeping each child order at or below $100,000. Private RPC alone fails the child-order constraint, and splitting alone fails the 90% protected-completion target. For the Hybrid, define success probability as 90% and expected total cost as 0.15% split slippage + $50 / $2,000,000 private RPC cost + 0.3975% residual Jito adverse-selection cost = 0.55% rounded. Do not apply the historical 73% attack rate again after using the prescribed residual-cost term. Design an optimal MEV defense strategy with maximum total cost of 0.6% and report expected total cost percentage, success probability, and execution steps.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-017,L10,l10-L10-017,"Operate a Solana validator with 500,000 SOL staked at $140 per SOL (~$70,000,000). Current performance is 89% with 8% commission and delegations declining 5% per quarter. Target: restore performance to 95% and reach 15% ROI within six months under a $200,000 budget. For this scenario, ROI means incremental six-month net profit divided by the upgrade spend selected for the plan, not return on the $70,000,000 self-stake principal. Upgrade options: 1. Hardware refresh ($50,000) reaching 93-95% performance. 2. Asia replica ($64,000) for 94-96% performance. 3. Lower commission from 8% to 6%. 4. Add Jito MEV (15% earnings boost, $15,000 setup). 5. Launch premium RPC (adds $180,000 revenue, $150,000 year-one cost). Economic constants for the six-month ROI calculation: the hardware refresh plus Jito setup is the targetable $65,000 package; restoring performance from 89% to 95% adds $6,750 of six-month net profit, and Jito adds $3,000 of six-month net MEV profit after setup effects. The Asia replica is a redundancy alternative, not additive with the hardware refresh for this target. Lowering commission stabilizes delegation but has no direct six-month incremental-profit credit in this ROI calculation. Premium RPC is evaluated on year-one economics and is not part of the six-month ROI numerator. Devise a three-phase plan within budget that hits the targets and stabilizes delegations.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-022,L10,l10-L10-022,"Execute a $15,000,000 on-chain settlement within 24 hours while compliant validators and relay filters are expected to censor 52% of blocks. Execution options: - SUAVE private orderflow: 88% independent success, 0.12% fee, sub-one-block latency. - bloXroute private relay: 84% independent success, 0.18% fee, sub-one-block latency. - CowSwap batch auction: 78% independent success, 0.28% fee, about 12-minute latency. - Shielded rollup route: 99% success, 0.95% fee, two-hour latency. - Canonical L2 bridge: 96% success, 0.30% fee, five-day delay, not feasible. Constraints: complete within 24 hours, target at least 98% success, minimize expected cost percentage, remain non-custodial and on-chain. A plan may use sequential independent attempts, submitting the next route only if the previous one fails. Count a route fee when its attempt is submitted, including failed attempts; do not normalize cost by conditional success. The canonical bridge is infeasible because of delay. Choose the minimal-cost route sequence meeting the success target and report expected cost percentage.",1,0.350,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-026,L10,l10-L10-026,"Sell 1,200,000 TOKEN at $3.40 within 18 hours before a scheduled unlock. Venues: - Coinbase: 0.45% fee with $75,000 reusable depth per TWAP slice. - Binance: 0.70% fee with $100,000 reusable depth per slice, but TOKEN deposits from Arbitrum will not clear within 18 hours. - Camelot on Arbitrum: 1.20% all-in price impact for the full Arbitrum sale. - Uniswap on Ethereum: 1.80% all-in price impact but no TOKEN inventory is on Ethereum. Holdings: 700,000 TOKEN already on Coinbase and 500,000 TOKEN on Arbitrum. Inventory can only be sold where it already sits unless explicitly bridged; for this scenario, bridging Arbitrum TOKEN to CEX venues misses the 18-hour deadline. Sell the 700,000 Coinbase TOKEN through TWAP slices and the 500,000 Arbitrum TOKEN through Camelot. Do not use Binance or Uniswap. Treat Camelot's 1.20% impact and Coinbase's 0.45% fee as all-in execution haircuts, and ignore gas. Design the execution schedule and report expected USD proceeds.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-027,L10,l10-L10-027,"Buy 250,000 RWA at $12.50 within 12 hours before an index inclusion announcement. Venues: - Kraken: 0.60% fee with $80,000 reusable depth per TWAP slice. - Coinbase: 0.80% fee with $70,000 reusable depth per slice, but no USDC is available there. - Aerodrome on Base: 1.40% all-in price impact for the required Base purchase. - Uniswap on Ethereum: 2.10% all-in price impact, but Base USDC cannot be bridged to Ethereum within the deadline. Capital: $2,000,000 USDC already on Kraken and $1,500,000 USDC on Base. Funds cannot move between venues within 12 hours. Use Kraken to buy as many RWA as its USDC balance permits at the stated price plus fee, then buy the remaining RWA on Base through Aerodrome. Do not use Coinbase or Uniswap. Ignore gas and assume the TWAP depth is reusable over the full window. Compute the minimum deterministic total USD cost to acquire exactly 250,000 RWA.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-029,L10,l10-L10-029,"You control $6,000,000 of veFXS. A Frax governance vote in 6 weeks may reduce veFXS-directed emissions, causing a 20% veFXS price drop and a 30% pump in a liquid bribe-aggregator token called FXTL if the vote passes. The vote has a 70% probability of passing; if it fails, both token prices are unchanged. Options for a 10-week strategy: 1. Stay in veFXS and earn 24% APR bribes, compounded weekly, while retaining full exposure to the possible veFXS price drop. 2. Move to a wrapper earning a total 17% APR reward rate, compounded weekly, while retaining veFXS-linked price exposure and no FXTL pump. 3. Convert the full position to FXTL at time zero before any weekly bribes accrue. This forfeits all veFXS bribes after conversion but receives the probability-weighted FXTL price move. Ignore trading costs, taxes, and slippage. For bribe options, compute rewards as principal * ((1 + APR / 52) ^ 10 - 1). For token moves, use probability-weighted price change on the full $6,000,000 exposure. Choose the strategy maximizing expected USD profit over 10 weeks and report that profit.",1,0.350,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-032,L10,l10-L10-032,"A DAO treasury holds $75,000,000: 65% GOV token, 15% stables, and 20% ETH LP. A compliance mandate requires GOV exposure below 30% of final treasury value and stables above 60%. Execution facts: - A governance delay happens first and leaves exactly 21 execution days. - The full $15,000,000 ETH LP is exited into stables with a 3.0% impermanent-loss hit before the GOV sale completes. - GOV price impact is execution slippage only on the GOV sold. Daily impact percentage = 15% * (daily GOV sold / $3,000,000). - Sell the minimum GOV amount needed so final GOV exposure is below 30% of final treasury value. Spread GOV sales evenly across the 21 execution days. - For the numeric answer, solve the equality boundary for the strict ""below 30%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result. Compute the optimal sell schedule and final treasury value after meeting the mandate.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-033,L10,l10-L10-033,"As an Ethereum block builder you observe these MEV opportunities for a 28M gas block: - Consented sandwich: $900,000 value, 14M gas, 90% success, explicitly permitted orderflow. - Oracle backrun: $650,000 value, 8M gas, 80% success. - Liquidation: $400,000 value, 6M gas, 92% success. - NFT backrun: $180,000 value, 2M gas, 75% success. - LST arbitrage: $300,000 value, 5M gas, 85% success. - Toxic frontrun: $250,000 value, 4M gas, 99% success, unethical and excluded. Builder profit is expected opportunity value * success probability * 12% builder keep after proposer share, minus a fixed $10,000 inclusion and gas cost for the selected bundle. The gas limit is a hard knapsack constraint. The only excluded opportunity is the one explicitly labeled unethical; the consented sandwich is allowed. Select the ethical bundle that maximizes builder profit and report USD profit after the fixed cost.",1,0.550,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
