question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L9-001,L9,l9-L9-001,"Design a delta-neutral funding-rate arbitrage between Hyperliquid HYPE-PERP ($28.50, -0.017% per 8 hours) and spot HYPE ($28.20 on Base). You have $500 000 USDC, 5× leverage, hold the position for 1 year, rebalance entry/exit once, < 0.3% slippage, Base gas $0.02 / tx. Funding rate -0.017%/8h is the rate paid by longs to shorts (Hyperliquid convention: F<0 means longs receive). For this scenario, the short-perp leg of this delta-neutral structure earns |F|. Compute expected_value as funding-only APR on unlevered notional: abs(funding_rate_per_8h) × 3 × 365 × 100. Do not multiply by 5× leverage, and exclude unquantified bridge, slippage-cap, liquidation-buffer, and spot/perp basis PnL from expected_value; gas is de minimis at the APR precision used.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-009,L9,l9-L9-009,"Restake 100 stETH across 5 AVSs and pick exactly 3 eligible AVSs by max risk-adjusted return. Net score = headline yield - multiplier × slashing_loss, with all terms in APR percentage points. Eligibility constraints: net score must be at least 6%, slashing multiplier must be ≤3, withdrawal delay must be ≤7 days, and oracle freshness must be ≤30 minutes. Data: A1 yield 8%, slashing 2 × 0.5%, delay 2 days, oracle age 10 minutes; A2 yield 12%, slashing 3 × 1%, delay 7 days, oracle age 25 minutes; A3 yield 6%, slashing 0.5 × 0.2%, delay 1 day, oracle age 5 minutes; A4 yield 15%, slashing 5 × 2%, delay 14 days, oracle age 10 minutes; A5 yield 10%, slashing 2.5 × 0.8%, delay 3 days, oracle age 15 minutes. Return only the unordered set of selected AVS IDs; do not allocate weights across the 100 stETH.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-010,L9,l9-L9-010,"Flash loan 10 M USDC (0.05 % fee) → pump price +4 % → liquidations $850 k profit. Costs = $85 k total (loan + gas + slippage + MEV). 30 % frontrun risk. If frontrun (30 %), attacker also incurs $25 K MEV protection costs (total loss $110 K). Compute expected value.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-020,L9,l9-L9-020,"Refuse-to-trade decision, liquidation backrun during stale oracle window. Evaluate a $1,000,000 USDC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.40%, oracle age <= 60 seconds, settlement <= 12 minutes, and required capital <= $1,000,000. Option A Uniswap v3 ETH to Arb backrun: gross edge $14,200, fixed costs $4,100, slippage 0.52% of notional, expected risk 25.0% * $28,000, oracle age 45 seconds, settlement 9 minutes, required capital $900,000; Option B RFQ solver bridge: gross edge $26,000, fixed costs $5,200, slippage 0.15% of notional, expected risk 6.0% * $420,000, oracle age 38 seconds, settlement 18 minutes, required capital $950,000; Option C CEX hedge plus bridge unwind: gross edge $11,800, fixed costs $4,600, slippage 0.20% of notional, expected risk 3.0% * $300,000, oracle age 72 seconds, settlement 10 minutes, required capital $980,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-024,L9,l9-L9-024,"Staking/restaking risk selection, high-yield but delay-capped restaking. Restake 150 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6%, slashing multiplier <= 3.5, withdrawal delay <= 8 days, oracle freshness <= 25 minutes, and capacity >= 150 stETH. Data: A1 yield 7.4%, operator fee 0.3%, slashing 1.4 x 0.5%, delay 3 days, oracle age 12 minutes, capacity 180 stETH; A2 yield 11.2%, operator fee 0.8%, slashing 2.5 x 0.9%, delay 7 days, oracle age 20 minutes, capacity 220 stETH; A3 yield 13.5%, operator fee 1%, slashing 4 x 1.1%, delay 5 days, oracle age 18 minutes, capacity 400 stETH; A4 yield 9.4%, operator fee 0.4%, slashing 1.8 x 0.6%, delay 6 days, oracle age 23 minutes, capacity 170 stETH; A5 yield 10.1%, operator fee 0.5%, slashing 2 x 0.7%, delay 4 days, oracle age 10 minutes, capacity 260 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-036,L9,l9-L9-036,"Refuse-to-trade decision, cross-chain collateral seizure after price gap. Evaluate a $1,800,000 BTC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.25%, oracle age <= 50 seconds, settlement <= 15 minutes, and required capital <= $1,800,000. Option A CEX hedge then bridge: gross edge $34,000, fixed costs $9,000, slippage 0.18% of notional, expected risk 6.0% * $420,000, oracle age 42 seconds, settlement 18 minutes, required capital $1,700,000; Option B Uniswap WBTC route: gross edge $22,500, fixed costs $7,100, slippage 0.31% of notional, expected risk 4.0% * $260,000, oracle age 39 seconds, settlement 12 minutes, required capital $1,600,000; Option C solver auction fill: gross edge $28,000, fixed costs $11,800, slippage 0.14% of notional, expected risk 8.0% * $310,000, oracle age 61 seconds, settlement 13 minutes, required capital $1,750,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-040,L9,l9-L9-040,"Staking/restaking risk selection, capacity-constrained large restake. Restake 250 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6.2%, slashing multiplier <= 3, withdrawal delay <= 10 days, oracle freshness <= 30 minutes, and capacity >= 250 stETH. Data: A1 yield 8.8%, operator fee 0.5%, slashing 2 x 0.6%, delay 8 days, oracle age 14 minutes, capacity 300 stETH; A2 yield 14%, operator fee 1.2%, slashing 3.2 x 1.2%, delay 9 days, oracle age 20 minutes, capacity 500 stETH; A3 yield 9.1%, operator fee 0.4%, slashing 1.6 x 0.7%, delay 5 days, oracle age 24 minutes, capacity 260 stETH; A4 yield 7.5%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 4 days, oracle age 12 minutes, capacity 200 stETH; A5 yield 10.8%, operator fee 0.8%, slashing 2.4 x 0.8%, delay 6 days, oracle age 18 minutes, capacity 350 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-044,L9,l9-L9-044,"Refuse-to-trade decision, RFQ route during exchange halt. Evaluate a $1,200,000 SOL opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.45%, oracle age <= 55 seconds, settlement <= 11 minutes, and required capital <= $1,200,000. Option A CEX hedge route: gross edge $18,500, fixed costs $6,200, slippage 0.19% of notional, expected risk 5.0% * $260,000, oracle age 44 seconds, settlement 14 minutes, required capital $1,180,000; Option B Uniswap bridge route: gross edge $13,600, fixed costs $3,900, slippage 0.51% of notional, expected risk 6.0% * $120,000, oracle age 49 seconds, settlement 9 minutes, required capital $1,100,000; Option C solver route: gross edge $21,000, fixed costs $4,800, slippage 0.22% of notional, expected risk 7.0% * $260,000, oracle age 63 seconds, settlement 8 minutes, required capital $1,190,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-052,L9,l9-L9-052,"Refuse-to-trade decision, thin-liquidity funding capture rejection. Evaluate a $500,000 HYPE opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.60%, oracle age <= 40 seconds, settlement <= 8 minutes, and required capital <= $500,000. Option A Hyperliquid perp plus Base spot: gross edge $9,600, fixed costs $2,300, slippage 0.72% of notional, expected risk 4.0% * $90,000, oracle age 31 seconds, settlement 6 minutes, required capital $480,000; Option B solver spot route: gross edge $12,800, fixed costs $3,900, slippage 0.35% of notional, expected risk 8.0% * $140,000, oracle age 35 seconds, settlement 10 minutes, required capital $490,000; Option C CEX hedge route: gross edge $7,200, fixed costs $2,600, slippage 0.28% of notional, expected risk 6.0% * $85,000, oracle age 46 seconds, settlement 7 minutes, required capital $470,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-058,L9,l9-L9-058,"Fee APR annualization, blue-chip liquidation fee stream. A Compound liquidation auction pool BTC/USDC pool/hook strategy has $26,000,000 active liquidity, $38,000,000 daily volume, and 44% of volume eligible for the incremental fee. Incremental fee is 0.028%; LP capture is 82%, protocol skim is 10%, and keeper/gas/solver overhead is $2,100 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-060,L9,l9-L9-060,"Refuse-to-trade decision, restaking incident unwind abstention. Evaluate a $2,200,000 stETH opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.30%, oracle age <= 35 seconds, settlement <= 14 minutes, and required capital <= $2,200,000. Option A Aave repay via Uniswap: gross edge $31,000, fixed costs $8,400, slippage 0.36% of notional, expected risk 5.0% * $360,000, oracle age 28 seconds, settlement 12 minutes, required capital $2,100,000; Option B CEX hedge bridge unwind: gross edge $52,000, fixed costs $14,200, slippage 0.15% of notional, expected risk 9.0% * $430,000, oracle age 30 seconds, settlement 17 minutes, required capital $2,050,000; Option C solver liquidation fill: gross edge $38,000, fixed costs $9,300, slippage 0.22% of notional, expected risk 6.0% * $390,000, oracle age 41 seconds, settlement 11 minutes, required capital $2,150,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-078,L9,l9-L9-078,"Cross-chain route cost selection, Avalanche route where direct bridge misses the time cap. Swap $1,250,000 USDC into AVAX from Arbitrum to Avalanche; reference AVAX price is $42. Compare four Uniswap/Across/solver/bridge/CEX style routes and select the feasible route with lowest all-in USD cost before converting to output tokens. Hard constraints: settlement <= 15 minutes, oracle age <= 45 seconds, capacity >= notional, and slippage+risk must be included. Route A DEX hop bridge route: percent cost 0.58%, fixed $900, expected risk 0.02% of notional, settlement 14 minutes, oracle age 39 seconds, capacity $2,000,000; Route B solver inventory route: percent cost 0.33%, fixed $1,900, expected risk 0.03% of notional, settlement 8 minutes, oracle age 28 seconds, capacity $1,500,000; Route C CEX withdrawal hedge: percent cost 0.22%, fixed $4,200, expected risk 0.06% of notional, settlement 13 minutes, oracle age 31 seconds, capacity $1,300,000; Route D direct bridge route: percent cost 0.19%, fixed $1,300, expected risk 0.15% of notional, settlement 18 minutes, oracle age 34 seconds, capacity $1,600,000. Compute each route cost = percent cost*notional + fixed + expected risk*notional. expected_value is USD saved by the best feasible route versus the second-best feasible route; also mention resulting extra AVAX = USD_saved / price.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-080,L9,l9-L9-080,"Staking/restaking risk selection, fast-withdrawal wstETH AVS rotation. Restake 90 wstETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5.6%, slashing multiplier <= 2.7, withdrawal delay <= 6 days, oracle freshness <= 18 minutes, and capacity >= 90 wstETH. Data: V1 yield 7.3%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 3 days, oracle age 9 minutes, capacity 110 wstETH; V2 yield 9.8%, operator fee 0.7%, slashing 2.4 x 0.8%, delay 6 days, oracle age 15 minutes, capacity 130 wstETH; V3 yield 8.9%, operator fee 0.5%, slashing 1.8 x 0.7%, delay 5 days, oracle age 12 minutes, capacity 100 wstETH; V4 yield 11.6%, operator fee 0.9%, slashing 2.9 x 1%, delay 4 days, oracle age 10 minutes, capacity 160 wstETH; V5 yield 6.6%, operator fee 0.2%, slashing 0.7 x 0.4%, delay 2 days, oracle age 8 minutes, capacity 80 wstETH; V6 yield 8.1%, operator fee 0.4%, slashing 1.5 x 0.6%, delay 4 days, oracle age 20 minutes, capacity 120 wstETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-005,L10,l10-L10-005,"Sell 500,000 ALT at $8.20 within 24 hours across venues: - Binance: 0.8% fee with $50,000 depth. - OKX: 1.2% fee with $30,000 depth. - Uniswap: 2.0% impact with $120,000 depth. - MEXC: 1.5% fee with $80,000 depth. Holdings: 300,000 ALT already on Binance, 200,000 on Ethereum (bridge cost 0.1% plus $50 gas). Price likely pumps 40% tomorrow due to unreleased news. Execution convention: venue depth is reusable per TWAP slice over the 24-hour window, but inventory can only be sold where it already sits unless explicitly bridged. For this scenario, the Ethereum ALT cannot be deposited to CEX venues within 24 hours, so sell the 300,000 ALT already on Binance through Binance TWAP slices and sell the 200,000 ALT already on Ethereum through Uniswap. Do not use OKX or MEXC unless Binance inventory exceeds Binance's executable inventory. Treat Uniswap's 2.0% impact as the all-in execution haircut for the Ethereum sale. Design a TWAP execution that minimizes slippage under those settlement constraints, finishes before the pump, and report expected proceeds.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-009,L10,l10-L10-009,"As an Ethereum block builder (slot 8,234,567) you observe these MEV opportunities: - Sandwich: $800,000 value, 18M gas, 95% success, ethical concerns. - Liquidation: $300,000 value, 5M gas, 90% success. - NFT backrun: $150,000 value, 1M gas, 80% success. - Frontrun: $120,000 value, 3M gas, 99% success, unethical. - CEX-DEX arbitrage: $500,000 value, 6M gas, 85% success. Gas limit is 30M. For this scenario, ""ethical"" excludes only the opportunity explicitly labeled unethical; the sandwich's ethical concerns are treated as resolved by consented/limited orderflow and it may be included. Builder profit is expected opportunity value * success probability * 10% builder keep after the 90% proposer share, minus a fixed $12,000 gas/inclusion cost for a full 30M-gas bundle. Use the gas limit as a hard knapsack constraint. Select an ethical bundle that maximizes profit after the proposer share and fixed gas/inclusion cost.",1,0.550,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-010,L10,l10-L10-010,"Predict Ethereum gas prices one hour ahead to minimize cost for 10 transactions (200,000 gas each, ETH at $3,000). Current gas is 25 base plus 2 priority (27 gwei). Events: - US market open: +80% gas with 5% probability, magnitude above 200%. - NFT mint: +120% gas with 0.6 probability, 0.4 chance of delay. - Maintenance window at 16:00: -30% gas with 0.6 probability, 0.4 chance of cancellation. - Bot wars: +40% gas. Execution options: - Low scenario at 25 gwei (100% fill). - Medium scenario at 71 gwei (60% fill). - High scenario leaves orders unfilled. - For this scenario, execute all 10 transactions only in the Low scenario. Treat the current 27 gwei line as market context, not the execution gas price. Treat the event bullets as context already summarized by the Low/Medium/High execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the task requires all 10 transactions to execute. Design an execution schedule minimizing expected USD spend and report the expected cost.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-012,L10,l10-L10-012,"Operate a Lightning routing node managing $2,000,000 BTC. Current state: 32 BTC across 47 channels, 87% payment success, 0.15% fee rate, $18,000,000 monthly volume, and 13% failures due to inbound imbalance. Objectives: - Reach 95% success rate. - Double monthly revenue. - Spend no more than $5,000 on-chain. - Cap channels at 60. For this scenario, the $18,000,000 monthly volume is successful routed volume already earning the 0.15% fee rate, not attempted volume. Higher success and direct institutional channels should be sized so the final successful routed volume is exactly $36,000,000 per month at the same fee rate; rebalancing costs are one-time and excluded from monthly revenue. Higher success attracts retry traffic, and direct institutional channels can add flow. Devise a rebalancing and channel strategy meeting the targets and report expected monthly revenue.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-017,L10,l10-L10-017,"Operate a Solana validator with 500,000 SOL staked at $140 per SOL (~$70,000,000). Current performance is 89% with 8% commission and delegations declining 5% per quarter. Target: restore performance to 95% and reach 15% ROI within six months under a $200,000 budget. For this scenario, ROI means incremental six-month net profit divided by the upgrade spend selected for the plan, not return on the $70,000,000 self-stake principal. Upgrade options: 1. Hardware refresh ($50,000) reaching 93-95% performance. 2. Asia replica ($64,000) for 94-96% performance. 3. Lower commission from 8% to 6%. 4. Add Jito MEV (15% earnings boost, $15,000 setup). 5. Launch premium RPC (adds $180,000 revenue, $150,000 year-one cost). Economic constants for the six-month ROI calculation: the hardware refresh plus Jito setup is the targetable $65,000 package; restoring performance from 89% to 95% adds $6,750 of six-month net profit, and Jito adds $3,000 of six-month net MEV profit after setup effects. The Asia replica is a redundancy alternative, not additive with the hardware refresh for this target. Lowering commission stabilizes delegation but has no direct six-month incremental-profit credit in this ROI calculation. Premium RPC is evaluated on year-one economics and is not part of the six-month ROI numerator. Devise a three-phase plan within budget that hits the targets and stabilizes delegations.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-019,L10,l10-L10-019,"You manage an $8,000,000 USDT portfolio over 60 days across Maker, Fluid, Pendle, and Ethena: 1. Maker sUSDS: fixed 5.0% APR and liquid within 24 hours. 2. Fluid USDC/USDT vault: 50% chance of 6.4% APR, 30% chance of 8.5% APR, 20% chance of 3.5% APR, liquid within 24 hours. 3. Pendle eUSDe fixed-yield position: 16.0% nominal APR with a 4% chance of a -25% loss. 4. Ethena delta-neutral USDe: 13.0% nominal APR with a 6% chance of a -40% shutdown loss. Constraints: - At most 25% allocation per protocol. - At least 50% of capital must be liquid within 24 hours, and only Maker and Fluid count as liquid. - Target pre-tail-loss nominal APR above 8.0%. - Portfolio expected catastrophic loss must be below 1.5% of capital. - Report risk-adjusted annualized yield by subtracting probability times severity from each risky protocol's APR as percentage points, without annualizing tail losses. Treat Fluid's APR as the scenario-weighted average. Compute the optimal allocation and resulting risk-adjusted APR percentage.",1,0.550,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L10-026,L10,l10-L10-026,"Sell 1,200,000 TOKEN at $3.40 within 18 hours before a scheduled unlock. Venues: - Coinbase: 0.45% fee with $75,000 reusable depth per TWAP slice. - Binance: 0.70% fee with $100,000 reusable depth per slice, but TOKEN deposits from Arbitrum will not clear within 18 hours. - Camelot on Arbitrum: 1.20% all-in price impact for the full Arbitrum sale. - Uniswap on Ethereum: 1.80% all-in price impact but no TOKEN inventory is on Ethereum. Holdings: 700,000 TOKEN already on Coinbase and 500,000 TOKEN on Arbitrum. Inventory can only be sold where it already sits unless explicitly bridged; for this scenario, bridging Arbitrum TOKEN to CEX venues misses the 18-hour deadline. Sell the 700,000 Coinbase TOKEN through TWAP slices and the 500,000 Arbitrum TOKEN through Camelot. Do not use Binance or Uniswap. Treat Camelot's 1.20% impact and Coinbase's 0.45% fee as all-in execution haircuts, and ignore gas. Design the execution schedule and report expected USD proceeds.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-027,L10,l10-L10-027,"Buy 250,000 RWA at $12.50 within 12 hours before an index inclusion announcement. Venues: - Kraken: 0.60% fee with $80,000 reusable depth per TWAP slice. - Coinbase: 0.80% fee with $70,000 reusable depth per slice, but no USDC is available there. - Aerodrome on Base: 1.40% all-in price impact for the required Base purchase. - Uniswap on Ethereum: 2.10% all-in price impact, but Base USDC cannot be bridged to Ethereum within the deadline. Capital: $2,000,000 USDC already on Kraken and $1,500,000 USDC on Base. Funds cannot move between venues within 12 hours. Use Kraken to buy as many RWA as its USDC balance permits at the stated price plus fee, then buy the remaining RWA on Base through Aerodrome. Do not use Coinbase or Uniswap. Ignore gas and assume the TWAP depth is reusable over the full window. Compute the minimum deterministic total USD cost to acquire exactly 250,000 RWA.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-031,L10,l10-L10-031,"A DAO treasury holds $30,000,000: 70% GOV token, 20% stables, and 10% ETH LP. New policy requires GOV exposure below 35% of final treasury value and stables above 55%. Execution facts: - A governance delay happens first and leaves exactly 10 execution days. - The full $3,000,000 ETH LP is exited into stables with a 1.5% impermanent-loss hit before the GOV sale completes. - GOV daily liquidity causes execution slippage only on the GOV sold, not on remaining GOV. Daily impact percentage = 12% * (daily GOV sold / $2,000,000). - Sell the minimum GOV amount needed so final GOV exposure is below 35% of final treasury value. Spread GOV sales evenly across the 10 days. - For the numeric answer, solve the equality boundary for the strict ""below 35%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result. Compute the optimal sell schedule and final treasury value after meeting the mandate.",1,0.350,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L10-032,L10,l10-L10-032,"A DAO treasury holds $75,000,000: 65% GOV token, 15% stables, and 20% ETH LP. A compliance mandate requires GOV exposure below 30% of final treasury value and stables above 60%. Execution facts: - A governance delay happens first and leaves exactly 21 execution days. - The full $15,000,000 ETH LP is exited into stables with a 3.0% impermanent-loss hit before the GOV sale completes. - GOV price impact is execution slippage only on the GOV sold. Daily impact percentage = 15% * (daily GOV sold / $3,000,000). - Sell the minimum GOV amount needed so final GOV exposure is below 30% of final treasury value. Spread GOV sales evenly across the 21 execution days. - For the numeric answer, solve the equality boundary for the strict ""below 30%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result. Compute the optimal sell schedule and final treasury value after meeting the mandate.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
