question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,{aliases[m]}_error,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,{aliases[m]}_error,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,{aliases[m]}_error,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures,{aliases[m]}_error
L9-040,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1850,1,1.000,1446,,,1,1.000,1596,,,1,1.000,2990,,,0,0.000,1366,l9_expected_value_mismatch,
L9-043,9,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,1185,0,0.000,1659,l9_expected_value_mismatch,,0,0.000,1125,l9_expected_value_mismatch,,1,1.000,612,,,0,0.000,1343,l9_expected_value_mismatch,
L9-044,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1638,1,1.000,1701,,,1,1.000,986,,,1,1.000,1831,,,0,0.000,2032,l9_expected_value_mismatch,
L9-048,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,1891,1,1.000,3840,,,1,1.000,991,,,0,0.000,1539,l9_expected_value_mismatch,,0,0.000,1195,l9_expected_value_mismatch,
L9-049,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,2350,1,1.000,3187,,,1,1.000,2368,,,0,0.000,1790,l9_expected_value_mismatch,,0,0.000,2054,l9_expected_value_mismatch,
L9-052,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1904,1,1.000,1343,,,1,1.000,648,,,1,1.000,4631,,,0,0.000,993,l9_expected_value_mismatch,
L9-056,9,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,2048,0,0.000,1791,l9_expected_value_mismatch,,0,0.000,1464,l9_expected_value_mismatch,,1,1.000,3651,,,0,0.000,1284,l9_expected_value_mismatch,
L9-072,9,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,2109,0,0.000,1777,l9_expected_value_mismatch,,0,0.000,1766,l9_expected_value_mismatch,,1,1.000,2951,,,0,0.000,1942,l9_expected_value_mismatch,
L9-080,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2315,1,1.000,1695,,,0,0.000,4149,l9_expected_value_mismatch,,0,0.000,729,l9_expected_value_mismatch,,0,0.000,2688,l9_expected_value_mismatch,
L10-002,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1635,0,0.000,1538,l10_expected_value_out_of_range,,1,1.000,3676,,,0,0.000,854,l10_expected_value_out_of_range,,0,0.000,473,l10_expected_value_out_of_range,
L10-003,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,1612,0,0.000,2261,l10_expected_value_out_of_range,,0,0.000,1404,l10_expected_value_out_of_range,,1,1.000,1078,,,0,0.000,1705,l10_expected_value_out_of_range,
L10-005,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.425,1617,1,0.700,2269,,,0,0.000,1389,mismatch_fieldname,,1,1.000,739,,,0,0.000,2070,l10_expected_value_out_of_range,
L10-008,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.525,2435,1,1.000,3520,,,0,0.000,1685,mismatch_fieldname,,1,0.700,2921,,,0,0.400,1614,,
L10-012,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2983,1,1.000,4321,,,0,0.000,1224,l10_expected_value_out_of_range,,0,0.000,3792,l10_expected_value_out_of_range,,0,0.000,2594,l10_expected_value_out_of_range,
L10-013,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2431,0,0.000,2697,l10_expected_value_out_of_range,,0,0.000,1367,l10_expected_value_out_of_range,,0,0.000,4408,l10_expected_value_out_of_range,,1,1.000,1253,,
L10-016,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.500,2298,1,1.000,3156,,,0,0.000,2602,mismatch_fieldname,,0,0.000,1335,mismatch_fieldname,,1,1.000,2098,,
L10-017,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3550,0,0.000,3074,l10_expected_value_out_of_range,,1,1.000,2458,,,0,0.000,1458,l10_expected_value_out_of_range,,0,0.000,7211,l10_expected_value_out_of_range,
L10-019,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.450,2103,0,0.400,4416,,,0,0.000,1550,mismatch_fieldname,,0,0.400,811,,,1,1.000,1636,,
L10-020,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2267,1,1.000,3759,,,0,0.000,1496,mismatch_fieldname,,0,0.000,1281,l10_expected_value_out_of_range,,0,0.000,2533,l10_expected_value_out_of_range,
L10-024,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,1876,0,0.000,2485,l10_expected_value_out_of_range,,0,0.000,1152,l10_expected_value_out_of_range,,0,0.000,2722,l10_expected_value_out_of_range,,1,1.000,1146,,
L10-026,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.500,4258,0,0.000,9239,l10_expected_value_out_of_range,,0,0.000,2241,mismatch_fieldname,,1,1.000,3583,,,1,1.000,1967,,
L10-027,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.500,3041,1,1.000,1685,,,0,0.000,3097,mismatch_fieldname,,0,0.000,4800,mismatch_fieldname,,1,1.000,2582,,
L10-029,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.450,4469,0,0.400,12904,,,0,0.000,1541,l10_expected_value_out_of_range,,0,0.400,1199,,,1,1.000,2233,,
L10-030,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,1846,0,0.000,2271,l10_expected_value_out_of_range,,0,0.000,1459,l10_expected_value_out_of_range,,1,1.000,1625,,,0,0.000,2030,l10_expected_value_out_of_range,
L10-031,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.275,4000,1,0.700,4977,,,0,0.000,5170,mismatch_fieldname,,0,0.000,4739,l10_expected_value_out_of_range,,0,0.400,1113,,
L10-032,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,1924,1,0.700,3918,,,0,0.000,1832,mismatch_fieldname,,0,0.000,419,l10_expected_value_out_of_range,,0,0.000,1526,l10_expected_value_out_of_range,
L10-034,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.275,2280,1,0.700,1455,,,0,0.400,2832,,,0,0.000,1043,l10_expected_value_out_of_range,,0,0.000,3788,l10_expected_value_out_of_range,
L10-035,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,2432,0,0.000,3308,l10_expected_value_out_of_range,,0,0.000,942,l10_expected_value_out_of_range,,1,0.700,4165,,,0,0.000,1311,l10_expected_value_out_of_range,
L10-036,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,2026,0,0.000,3286,l10_expected_value_out_of_range,,0,0.000,1345,l10_expected_value_out_of_range,,1,1.000,2335,,,0,0.000,1136,l10_expected_value_out_of_range,
L10-037,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3015,0,0.000,2884,l10_expected_value_out_of_range,,1,1.000,2238,,,0,0.000,4629,l10_expected_value_out_of_range,,0,0.000,2310,l10_expected_value_out_of_range,
L10-039,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.350,2096,0,0.000,2195,l10_expected_value_out_of_range,,1,1.000,1802,,,0,0.400,798,,,0,0.000,3589,l10_expected_value_out_of_range,
L10-040,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,2317,1,1.000,1004,,,1,1.000,1825,,,1,1.000,4685,,,0,0.000,1752,l10_expected_value_out_of_range,
L10-045,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,3160,1,1.000,3526,,,0,0.000,2882,mismatch_fieldname,,1,1.000,4251,,,1,1.000,1982,,
L10-047,10,2,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,0.500,3340,0,0.000,5755,l10_expected_value_out_of_range,,1,1.000,2792,,,0,0.000,2773,l10_expected_value_out_of_range,,1,1.000,2041,,
L10-048,10,2,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,0.500,4977,0,0.000,5812,l10_expected_value_out_of_range,,1,1.000,9097,,,0,0.000,2858,l10_expected_value_out_of_range,,1,1.000,2141,,
L10-049,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.675,2036,1,0.700,3011,,,0,0.000,2046,l10_expected_value_out_of_range,,1,1.000,792,,,1,1.000,2293,,
L10-056,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.175,2258,0,0.000,2757,l10_expected_value_out_of_range,,0,0.000,1603,l10_expected_value_out_of_range,,0,0.000,705,l10_expected_value_out_of_range,,1,0.700,3966,,
L10-059,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,2227,1,1.000,1112,,,0,0.000,1968,mismatch_fieldname,,1,1.000,3780,,,1,1.000,2047,,
L10-069,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,1257,0,0.000,1025,l10_expected_value_out_of_range,,0,0.000,1483,l10_expected_value_out_of_range,,1,0.700,1457,,,0,0.000,1061,l10_expected_value_out_of_range,
