question_id,model,score,confidence,model_expected_value,failure_reasons,duration_ms,raw_excerpt
L10-049,meta-llama/llama-3.3-70b-instruct,0.700,1.00,10.92,,3011,"{ ""intent"": ""allocate"", ""expected_value"": 10.92, ""reasoning"": ""Optimized allocation: Tokenized Treasury repo (20%), FraxBP LP (30%), Ethena sUSDe lock (20%), Maple senior loan (30%); risk-adjusted yield calculated by subtracting probability times severity from each venue's APR"" }"
L10-049,meta-llama/llama-4-scout,1.000,1.00,11.4,,792,"{ ""intent"": ""allocate"", ""expected_value"": 11.4, ""reasoning"": ""Optimized allocation: 30% Tokenized Treasury repo (5.4% APR), 30% FraxBP LP (9.8% APR), 20% Maple senior loan (13.0% APR), 20% Ethena sUSDe lock (16.5% APR); balances risk and return within constraints."" }"
L10-049,meta-llama/llama-3.1-8b-instruct,1.000,1.00,11.32,,2293,"{ ""intent"": ""allocate"", ""expected_value"": 11.32, ""reasoning"": ""Maximize risk-adjusted annualized yield by allocating 25% to Tokenized Treasury repo, 20% to FraxBP LP, 20% to Maple senior loan, and 35% to Ethena sUSDe lock, while satisfying all constraints."" }"
L10-056,meta-llama/llama-3.1-8b-instruct,0.700,1.00,8.32,,3966,"{ ""intent"": ""allocate"", ""expected_value"": 8.32, ""reasoning"": ""Native staking: 35% ($8,750,000), AVS A: 30% ($7,500,000), AVS B: 20% ($5,000,000), AVS C: 15% ($3,750,000)"" }"
L10-059,meta-llama/llama-3.3-70b-instruct,1.000,1.00,31907916,,1112,"{ ""intent"": ""rebalance"", ""expected_value"": 31907916.0, ""reasoning"": ""calculated costs of selling and buying assets to reach target basket"" }"
L10-059,meta-llama/llama-4-scout,1.000,1.00,32000000,,3780,"{ ""intent"": ""rebalance"", ""expected_value"": 32000000, ""reasoning"": ""Calculated target basket values: USDC $9600000, DAI $9600000, FRAX $4800000, tokenized T-bills $8000000. Applied execution costs: USDC -0.05% $4800, DAI -0.08% $7680, FRAX -0.35% $16800, TUSD -2.20% $105600, tokenized T-bills 0.02% $1600. Final costs $177680. Resulting basket value $32,000,000 - $177,680 = $31,822,320."" }"
L10-059,meta-llama/llama-3.1-8b-instruct,1.000,1.00,32000000,,2047,"{ ""intent"": ""rebalance"", ""expected_value"": 32000000, ""reasoning"": ""Rebalanced basket to target allocation with execution costs applied"" }"
L10-063,meta-llama/llama-3.3-70b-instruct,0.700,1.00,7682431.2,,2395,"{ ""intent"": ""sell"", ""expected_value"": 7682431.2, ""reasoning"": ""TWAP execution with lit-market participation capped at 12% per hour, residual sold via dark-pool block at 2.10% haircut"" }"
L10-063,meta-llama/llama-4-maverick,0.700,1.00,7505280,,1501,"{""intent"": ""sell"", ""order_type"": ""twap"", ""asset"": ""XYZ"", ""size"": 1200000, ""unit"": ""xyz"", ""price"": 6.40, ""venue"": ""lit"", ""venue_name"": ""multiplex"", ""risk_controls"": {""slippage_tolerance"": 0.005, ""max_gas"": 40}, ""follow_up"": ""dark block"", ""reasoning"": ""12% lit cap, lit impact 0.45%*(0.12/0.1)^2, dark haircut 2.10%"", ""expected_value"": 7505280, ""requires_follow_up"": true, ""follow_up_description"": ""cro"
L10-063,meta-llama/llama-4-scout,1.000,0.60,7660800,,1949," ""intent"": ""sell"", ""expected_value"": 7660800, ing"": ""Calculated by applying 12% lit and 0.45% impact hour, then adding dark-pool for unsold amount."" }"
L10-063,meta-llama/llama-3.1-8b-instruct,1.000,1.00,7632000,,2218,"{ ""intent"": ""sell"", ""expected_value"": 7632000.0, ""reasoning"": ""Lit capacity used in 5 hours, 800,000 XYZ in dark pool. 12% participation, 0.45% impact cost, 2.10% dark pool haircut."" }"
L10-069,meta-llama/llama-4-scout,0.700,1.00,26666666.67,,1457,"{ ""intent"": ""reduce crypto sleeve"", ""expected_value"": 26666666.67, ""reasoning"": ""Computed portfolio volatility with given weights and reduced pro rata to meet 3.20% target"" }"
