question_id,model,pass,score,confidence,pass_models_for_question,pass_count_for_question,failure_reasons,raw_excerpt
AGI-084,meta-llama/llama-3.3-70b-instruct,0,0.667,0.80,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""order_type"": ""dex"", ""asset"": ""TAO"", ""size"": ""3560000"", ""unit"": ""usd"", ""venue"": ""multiple"", ""venue_name"": ""Binance, OTC_Block, Kraken, Bybit, CoW_RFQ, Uniswap_Base"", ""risk_controls"": { ""slippage_tolerance"": ""1%"", ""max_gas"": ""none"" }, ""follow_up"": ""none"", ""reasoning"": ""Optimized venue allocation to minimize public visibility and avoid copied-flow repricing"", ""requires_follow_up"": false, ""follow_up_description"": ""none"", ""chosen_strategy"": ""multi-venue allocation"", ""venue_allocation_usd"": { ""Binance"": 800000, ""OTC_Block"": 900000, ""Kraken"": 500000, ""Bybit"": 650000, ""CoW_RFQ"": 450000, ""Uniswap_Base"": 300000 "
AGI-092,meta-llama/llama-4-maverick,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_net_apy_pct,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid allocation"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.94, ""expected_90d_profit_usd"": 2203.56, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocated $100,000 across Aave_USDC, Curve_3pool, Ethena_USDe, and GMX_GLP to maximize risk-adjusted returns while meeting liquidity requirements""}"
AGI-092,meta-llama/llama-4-scout,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""diversified_allocation"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000, ""fifth_venue"": 0 }, ""expected_net_apy_pct"": 8.88, ""expected_90d_profit_usd"": 7191, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Maximize risk-adjusted returns by allocating across 4 venues with liquid 48h exits, skipping the fifth uncapped venue with lower APY and potential redemption queue issues."" }"
AGI-093,meta-llama/llama-4-maverick,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:liquidity_48h_usd,"{""intent"": ""restaking yield allocation"", ""chosen_strategy"": ""diversified liquid staking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.84, ""expected_90d_profit_usd"": 1931.51, ""liquidity_48h_usd"": 45000, ""reasoning"": ""Allocated to maximize liquid capital within 48h while balancing APY across venues""}"
AGI-014,meta-llama/llama-4-scout,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct,"{ ""intent"": ""maximize funding-plus-basis carry"", ""chosen_strategy"": ""delta-neutral short-perp with spot custody"", ""perp_short_allocation_usd"": { ""Binance"": 150000, ""Bybit"": 100000, ""Hyperliquid"": 100000, ""OKX"": 100000, ""dYdX"": 50000 }, ""leverage"": 5, ""apr_pct"": 24.5, ""pnl_30d_usd"": 11811, ""survives_cascade"": true, ""reasoning"": ""Allocated to maximize funding-plus-basis carry while staying within venue risk caps and ensuring delta-neutrality and survival of a 2.85 ETH cascade."" }"
AGI-024,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""ABC"", ""size"": 50000, ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""hidden_public"", ""RFQ_A""], ""venue_fills"": {""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000}, ""hidden_public_qty"": 7000, ""expected_avg_price"": 1.20705, ""expected_slippage_pct"": 0.5875, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and slippage""}"
AGI-025,meta-llama/llama-3.3-70b-instruct,0,0.636,0.80,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""chosen_strategy"": ""hybrid"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8223, ""expected_slippage_pct"": 0.41, ""self_check"": ""copied-flow trigger not activated"", ""reasoning"": ""fill largest dark RFQs first, then hidden public to avoid repricing"" } ```"
AGI-025,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""RHO"", ""size"": ""80000"", ""unit"": ""RHO"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue sweep with hidden public"", ""execution_sequence"": [ ""CEX_Y"", ""hidden_public"", ""Dark_RFQ"", ""RFQ_A"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8227, ""expected_slippage_pct"": 0.45, ""self_check"": true, ""reasoning"": ""Optimized multi-venue sweep minimizing footprint and slippage"" }"
AGI-026,meta-llama/llama-3.3-70b-instruct,0,0.636,1.00,meta-llama/llama-4-scout,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""market"", ""asset"": ""KAP"", ""size"": 120000, ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""confirm fill"", ""reasoning"": ""Optimized execution route to minimize slippage and avoid triggering copy-trading bot"", ""chosen_strategy"": ""multi-venue execution"", ""execution_sequence"": [ ""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public"" ], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.927, ""expected_slippage_pct"": 0.16, ""self_check"": ""No trigger of copy-tradin"
AGI-026,meta-llama/llama-4-maverick,0,0.636,1.00,meta-llama/llama-4-scout,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": ""120,000"", ""unit"": ""KAP"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""hidden_public"", ""CEX_Y""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.928, ""expected_slippage_pct"": 0.366, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and slippage"" }"
AGI-064,meta-llama/llama-3.1-8b-instruct,0,0.636,1.00,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:self_check,"{ ""intent"": ""swap"", ""chosen_strategy"": ""private"", ""venue_allocation_usd"": { ""Binance"": 600000, ""Kraken"": 500000, ""Coinbase"": 300000, ""Curve_BTC"": 300000, ""OTC_Circle"": 300000 }, ""largest_visible_clip_usd"": 600000, ""expected_asset_received"": ""BTC"", ""effective_price"": 59940, ""self_check"": true, ""reasoning"": ""Route via private OTC_Circle and Curve_BTC to minimize public clip visibility, then use Binance and Kraken to complete the full notional."" }"
AGI-065,meta-llama/llama-4-maverick,0,0.636,1.00,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""otc"", ""asset"": ""SOL"", ""size"": ""2000000"", ""unit"": ""usd"", ""venue"": ""multiple"", ""venue_name"": ""binance,jupiter_solana,uniswap_arbitrum,otc_circle,coinbase"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"" }, ""follow_up"": ""confirm fill"", ""reasoning"": ""split order across venues to minimize visible clip size"", ""chosen_strategy"": ""venue_allocation"", ""venue_allocation_usd"": { ""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Circle"": 350000, ""Coinbase"": 300000 }, ""largest_visible_clip_usd"": 550000, ""expected_asset_received"": 13266.67, ""effective_price"": 150.09, ""self_check"": true"
AGI-086,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{""intent"": ""buy"", ""order_type"": ""smart_order_routing"", ""asset"": ""ABC"", ""size"": ""50000"", ""venue"": ""multi-venue"", ""risk_controls"": {""slippage_tolerance"": ""0.5%""}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""hidden_public"", ""RFQ_A""], ""venue_fills"": {""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000}, ""hidden_public_qty"": 7000, ""expected_avg_price"": 1.207, ""expected_slippage_pct"": 0.5833, ""self_check"": true, ""reasoning"": ""Optimized multi-venue route to minimize footprint and slippage""}"
AGI-087,meta-llama/llama-3.3-70b-instruct,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""chosen_strategy"": ""multi-venue execution"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8223, ""expected_slippage_pct"": 0.41, ""self_check"": ""copy-trading bot not triggered"", ""reasoning"": ""fill largest private venues first to minimize public footprint"" }"
AGI-087,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""RHO"", ""size"": ""80000"", ""unit"": ""RHO"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue sweep with hidden public"", ""execution_sequence"": [ ""CEX_Y"", ""hidden_public"", ""Dark_RFQ"", ""RFQ_A"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8227, ""expected_slippage_pct"": 0.45, ""self_check"": true, ""reasoning"": ""Optimized multi-venue sweep to minimize footprint and slippage"" }"
AGI-088,meta-llama/llama-3.3-70b-instruct,0,0.636,0.80,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,2,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""chosen_strategy"": ""minimize_slippage"", ""execution_sequence"": [ ""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public"" ], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.927, ""expected_slippage_pct"": 0.016, ""self_check"": ""copy-bot trigger not activated"", ""reasoning"": ""fill largest internalizer and dark RFQs first to minimize slippage"" } ```"
AGI-053,meta-llama/llama-4-maverick,0,0.625,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{""intent"": ""exit"", ""decision"": ""exit"", ""chosen_strategy"": ""private_then_public"", ""exit_sequence"": [""private_mm"", ""dex_slice""], ""private_sale_usd"": 99300, ""expected_exit_value_usd"": 148680, ""expected_stay_value_usd"": 120000, ""self_check"": true, ""reasoning"": ""Private sale first at 99.3% for $100,000, then dex_slice for $50,000 at 98.4%. Expected exit value = $100,000 * 0.993 + $50,000 * 0.984 = $148,680. Expected stay value = $600,000 * 0.2 = $120,000. Exit is chosen as it yields higher expected value.""}"
AGI-061,meta-llama/llama-4-maverick,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""hedge"", ""order_type"": ""multi-venue perp short"", ""asset"": ""SOL"", ""size"": ""1x delta-neutral"", ""unit"": ""delta"", ""venue"": ""multi-venue"", ""venue_name"": ""Binance, Bybit, OKX, Hyperliquid, dYdX"", ""risk_controls"": { ""position_size_limit"": ""500,000"" }, ""follow_up"": ""monitor funding and cascade risk"", ""reasoning"": ""Diversified short allocation across venues to maximize capacity while maintaining cascade buffer"", ""chosen_strategy"": ""diversified perp short"", ""perp_short_allocation_usd"": { ""Binance"": 120000, ""Bybit"": 120000, ""OKX"": 110000, ""Hyperliquid"": 90000, ""dYdX"": 60000 }, ""leverage"": 1, ""apr_pct"": 30.8, ""pnl_30d_usd"": 4620, ""c"
AGI-062,meta-llama/llama-4-maverick,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""hedge"", ""order_type"": ""custom"", ""asset"": ""BTC"", ""size"": ""1"", ""unit"": ""delta-neutral"", ""venue"": ""multi-venue"", ""venue_name"": ""Binance, OKX, Bybit, Hyperliquid, dYdX"", ""risk_controls"": { ""position_size_limit"": ""500000"" }, ""follow_up"": ""monitor basis and funding"", ""reasoning"": ""Diversified short allocation across venues to maximize cascade buffer and net carry"", ""chosen_strategy"": ""diversified short allocation"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.3, ""pnl_30d_usd"": 3645, ""cascade_buffer_pct"": 35, ""survives_cas"
AGI-110,meta-llama/llama-3.1-8b-instruct,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral short ladder"", ""chosen_strategy"": ""resilient funding-basis ladder"", ""perp_short_allocation_usd"": { ""Binance"": 150000, ""Hyperliquid"": 100000, ""Bybit"": 100000, ""OKX"": 100000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 29, ""pnl_30d_usd"": -100000, ""cascade_buffer_pct"": 10, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""Allocate short capacity across venues to maximize resilience, leveraging 1x delta-neutral ladder to avoid forced deleveraging in exchange cascade."" }"
AGI-058,meta-llama/llama-4-maverick,0,0.600,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:self_check,"{""intent"": ""tax_loss_harvest"", ""chosen_strategy"": ""deepest_lot_first"", ""assets_to_sell"": [""AVAX"", ""DOGE"", ""OP""], ""sale_sequence"": [""AVAX"", ""DOGE"", ""OP""], ""replacement_assets"": {""DOGE"": ""MEME_largecap_basket"", ""OP"": ""ARB_IMX_basket"", ""AVAX"": ""TIA_ATOM_basket""}, ""net_tax_benefit"": 16120.8, ""remaining_unoffset_gains"": 12000, ""self_check"": true, ""reasoning"": ""Sorted lots by exit-depth score, sold AVAX first, then DOGE, then OP; calculated tax benefit with 37% rate and 0.60% round-trip cost""}"
