=== TOP20 NO OPENAI PRO N3 START Sun Jun 14 21:20:29 PDT 2026 ===
models_file=models.tradebench-top20-no-openai-pro.yaml base_dir=results/top20-no-openai-pro-n3 concurrency=30 max_retries=2 timeout_ms=600000
[gen 79/5959] ok qwen/qwen3.7-plus L10-010
[gen 80/5959] ok qwen/qwen3.7-plus L10-009
[gen 81/5959] ok qwen/qwen3.7-plus L10-012
[gen 82/5959] ok qwen/qwen3.7-plus L10-011
[gen 83/5959] ok qwen/qwen3.7-plus L10-014
[gen 84/5959] ok qwen/qwen3.7-plus L8-001
[gen 85/5959] ok qwen/qwen3.7-plus L10-025
[gen 86/5959] ok qwen/qwen3.7-plus L10-017
[gen 87/5959] ok qwen/qwen3.7-plus L10-013
[gen 88/5959] ok qwen/qwen3.7-plus L10-020
[gen 89/5959] ok qwen/qwen3.7-plus L10-024
[gen 90/5959] ok qwen/qwen3.7-plus L10-021
[gen 91/5959] ok qwen/qwen3.7-plus L10-007
[gen 92/5959] ok qwen/qwen3.7-plus L9-079
[gen 93/5959] ok qwen/qwen3.7-plus L8-003
[gen 94/5959] ok qwen/qwen3.7-plus L10-016
[gen 95/5959] ok qwen/qwen3.7-plus L10-026
[gen 96/5959] ok qwen/qwen3.7-plus L10-015
[gen 97/5959] ok qwen/qwen3.7-plus L9-073
[gen 98/5959] ok qwen/qwen3.7-plus L10-001
[gen 99/5959] ok qwen/qwen3.7-plus L10-006
[gen 100/5959] ok qwen/qwen3.7-plus L9-045
[gen 101/5959] ok qwen/qwen3.7-plus L10-040
[gen 102/5959] ok qwen/qwen3.7-plus L10-035
[gen 103/5959] ok qwen/qwen3.7-plus L10-019
[gen 104/5959] ok qwen/qwen3.7-plus L10-022
[gen 105/5959] ok qwen/qwen3.7-plus L10-036
[gen 106/5959] ok qwen/qwen3.7-plus L10-023
[gen 107/5959] ok qwen/qwen3.7-plus L10-046
[gen 108/5959] ok qwen/qwen3.7-plus L10-037
[gen 109/5959] ok qwen/qwen3.7-plus L10-041
[gen 110/5959] ok qwen/qwen3.7-plus L10-027
[gen 111/5959] ok qwen/qwen3.7-plus L10-008
[gen 112/5959] ok qwen/qwen3.7-plus L10-003
[gen 113/5959] ok qwen/qwen3.7-plus L10-029
[gen 114/5959] ok qwen/qwen3.7-plus L10-018
[gen 115/5959] ok qwen/qwen3.7-plus L10-048
[gen 116/5959] ok qwen/qwen3.7-plus L10-038
[gen 117/5959] ok qwen/qwen3.7-plus L10-042
[gen 118/5959] ok qwen/qwen3.7-plus L10-028
[gen 119/5959] ok qwen/qwen3.7-plus L10-047
[gen 120/5959] ok qwen/qwen3.7-plus L10-033
[gen 121/5959] ok qwen/qwen3.7-plus L10-034
[gen 122/5959] ok qwen/qwen3.7-plus L10-043
[gen 123/5959] ok qwen/qwen3.7-plus L10-045
[gen 124/5959] ok qwen/qwen3.7-plus L10-059
[gen 125/5959] ok qwen/qwen3.7-plus L10-062
[gen 126/5959] ok qwen/qwen3.7-plus L10-055
[gen 127/5959] ok qwen/qwen3.7-plus L10-058
[gen 128/5959] ok qwen/qwen3.7-plus L10-044
[gen 129/5959] ok qwen/qwen3.7-plus L10-066
[gen 130/5959] ok qwen/qwen3.7-plus L10-051
[gen 131/5959] ok qwen/qwen3.7-plus L10-054
[gen 132/5959] ok qwen/qwen3.7-plus L10-057
[gen 133/5959] ok qwen/qwen3.7-plus L10-039
[gen 134/5959] ok qwen/qwen3.7-plus L10-053
[gen 135/5959] ok qwen/qwen3.7-plus L10-052
[gen 136/5959] ok qwen/qwen3.7-plus L10-031
[gen 137/5959] ok qwen/qwen3.7-plus L10-049
[gen 138/5959] ok qwen/qwen3.7-plus L10-030
[gen 139/5959] ok qwen/qwen3.7-plus L10-032
[gen 140/5959] ok qwen/qwen3.7-plus L10-056
[gen 141/5959] ok qwen/qwen3.7-plus L10-067
[gen 142/5959] ok qwen/qwen3.7-plus L10-050
[gen 143/5959] ok qwen/qwen3.7-plus AGI-006
[gen 144/5959] ok qwen/qwen3.7-plus L10-064
[gen 145/5959] ok qwen/qwen3.7-plus AGI-011
[gen 146/5959] ok qwen/qwen3.7-plus L10-060
[gen 147/5959] ok qwen/qwen3.7-plus L10-065
[gen 148/5959] ok qwen/qwen3.7-plus AGI-008
[gen 149/5959] ok qwen/qwen3.7-plus AGI-009
[gen 150/5959] ok qwen/qwen3.7-plus L10-068
[gen 151/5959] ok qwen/qwen3.7-plus L10-069
[gen 152/5959] ok qwen/qwen3.7-plus AGI-001
[gen 153/5959] ok qwen/qwen3.7-plus AGI-007
[gen 154/5959] ok qwen/qwen3.7-plus AGI-005
[gen 155/5959] ok qwen/qwen3.7-plus AGI-004
[gen 156/5959] ok qwen/qwen3.7-plus AGI-013
[gen 157/5959] ok qwen/qwen3.7-plus AGI-022
[gen 158/5959] ok qwen/qwen3.7-plus AGI-025
[gen 159/5959] ok qwen/qwen3.7-plus AGI-024
[gen 160/5959] ok qwen/qwen3.7-plus AGI-010
[gen 161/5959] ok qwen/qwen3.7-plus AGI-023
[gen 162/5959] ok qwen/qwen3.7-plus AGI-026
[gen 163/5959] ok qwen/qwen3.7-plus AGI-028
[gen 164/5959] ok qwen/qwen3.7-plus AGI-002
[gen 165/5959] ok qwen/qwen3.7-plus AGI-038
[gen 166/5959] ok qwen/qwen3.7-plus AGI-033
[gen 167/5959] ok qwen/qwen3.7-plus AGI-021
[gen 168/5959] ok qwen/qwen3.7-plus AGI-014
[gen 169/5959] ok qwen/qwen3.7-plus AGI-012
[gen 170/5959] ok qwen/qwen3.7-plus AGI-034
[gen 171/5959] ok qwen/qwen3.7-plus AGI-036
[gen 172/5959] ok qwen/qwen3.7-plus AGI-035
[gen 173/5959] ok qwen/qwen3.7-plus AGI-027
[gen 174/5959] ok qwen/qwen3.7-plus AGI-048
[gen 175/5959] ok qwen/qwen3.7-plus AGI-046
[gen 176/5959] ok qwen/qwen3.7-plus AGI-049
[gen 177/5959] ok qwen/qwen3.7-plus AGI-053
[gen 178/5959] ok qwen/qwen3.7-plus AGI-047
[gen 179/5959] ok qwen/qwen3.7-plus AGI-030
[gen 180/5959] ok qwen/qwen3.7-plus AGI-037
[gen 181/5959] ok qwen/qwen3.7-plus AGI-051
[gen 182/5959] ok qwen/qwen3.7-plus AGI-050
[gen 183/5959] ok qwen/qwen3.7-plus AGI-055
[gen 184/5959] ok qwen/qwen3.7-plus AGI-043
[gen 185/5959] ok qwen/qwen3.7-plus AGI-044
[gen 186/5959] ok qwen/qwen3.7-plus AGI-039
[gen 187/5959] ok qwen/qwen3.7-plus AGI-054
[gen 188/5959] ok qwen/qwen3.7-plus AGI-058
[gen 189/5959] ok qwen/qwen3.7-plus AGI-052
[gen 190/5959] ok qwen/qwen3.7-plus AGI-057
[gen 191/5959] ok qwen/qwen3.7-plus AGI-031
[gen 192/5959] ok qwen/qwen3.7-plus AGI-056
[gen 193/5959] ok qwen/qwen3.7-plus AGI-059
[gen 194/5959] ok qwen/qwen3.7-plus AGI-061
[gen 195/5959] ok qwen/qwen3.7-plus AGI-029
[gen 196/5959] ok qwen/qwen3.7-plus AGI-042
[gen 197/5959] ok qwen/qwen3.7-plus AGI-062
[gen 198/5959] ok qwen/qwen3.7-plus AGI-041
[gen 199/5959] ok qwen/qwen3.7-plus AGI-015
[gen 200/5959] ok qwen/qwen3.7-plus AGI-040
[gen 201/5959] ok qwen/qwen3.7-plus L10-063
[gen 202/5959] ok qwen/qwen3.7-plus AGI-045
[gen 203/5959] ok qwen/qwen3.7-plus AGI-063
[gen 204/5959] ok qwen/qwen3.7-plus AGI-065
[gen 205/5959] ok qwen/qwen3.7-plus AGI-064
[gen 206/5959] ok qwen/qwen3.7-plus AGI-003
[gen 207/5959] ok qwen/qwen3.7-plus AGI-086
[gen 208/5959] ok qwen/qwen3.7-plus AGI-075
[gen 209/5959] ok qwen/qwen3.7-plus AGI-088
[gen 210/5959] ok qwen/qwen3.7-plus AGI-060
[gen 211/5959] ok qwen/qwen3.7-plus AGI-032
[gen 212/5959] ok qwen/qwen3.7-plus AGI-087
[gen 213/5959] ok qwen/qwen3.7-plus AGI-077
[gen 214/5959] ok qwen/qwen3.7-plus AGI-068
[gen 215/5959] ok qwen/qwen3.7-plus AGI-074
[gen 216/5959] ok qwen/qwen3.7-plus AGI-066
[gen 217/5959] ok qwen/qwen3.7-plus AGI-089
[gen 218/5959] ok qwen/qwen3.7-plus AGI-067
[gen 219/5959] ok qwen/qwen3.7-plus AGI-072
[gen 220/5959] ok qwen/qwen3.7-plus AGI-090
[gen 221/5959] ok qwen/qwen3.7-plus AGI-100
[gen 222/5959] ok qwen/qwen3.7-plus AGI-091
[gen 223/5959] ok qwen/qwen3.7-plus AGI-084
[gen 224/5959] ok qwen/qwen3.7-plus AGI-095
[gen 225/5959] ok qwen/qwen3.7-plus AGI-069
[gen 226/5959] ok qwen/qwen3.7-plus AGI-083
[gen 227/5959] ok qwen/qwen3.7-plus AGI-076
[gen 228/5959] ok qwen/qwen3.7-plus AGI-096
[gen 229/5959] ok qwen/qwen3.7-plus AGI-097
[gen 230/5959] ok qwen/qwen3.7-plus AGI-079
[gen 231/5959] ok qwen/qwen3.7-plus AGI-092
[gen 232/5959] ok qwen/qwen3.7-plus AGI-105
[gen 233/5959] ok qwen/qwen3.7-plus L10-061
[gen 234/5959] ok qwen/qwen3.6-max-preview L1-001
[gen 235/5959] ok qwen/qwen3.7-plus AGI-106
[gen 236/5959] ok qwen/qwen3.7-plus AGI-082
[gen 237/5959] ok qwen/qwen3.7-plus AGI-070
[gen 238/5959] ok qwen/qwen3.6-max-preview L1-002
[gen 239/5959] ok qwen/qwen3.6-max-preview L2-001
[gen 240/5959] ok qwen/qwen3.6-max-preview L1-003
[gen 241/5959] ok qwen/qwen3.7-plus AGI-098
[gen 242/5959] ok qwen/qwen3.7-plus AGI-107
[gen 243/5959] ok qwen/qwen3.6-max-preview L2-002
[gen 244/5959] ok qwen/qwen3.6-max-preview L2-003
[gen 245/5959] ok qwen/qwen3.7-plus AGI-099
[gen 246/5959] ok qwen/qwen3.7-plus AGI-104
[gen 247/5959] ok qwen/qwen3.6-max-preview L3-001
[gen 248/5959] ok qwen/qwen3.6-max-preview L4-003
[gen 249/5959] ok qwen/qwen3.7-plus AGI-101
[gen 250/5959] ok qwen/qwen3.7-plus AGI-111
[gen 251/5959] ok qwen/qwen3.7-plus AGI-112
[gen 252/5959] ok qwen/qwen3.6-max-preview L4-001
[gen 253/5959] ok qwen/qwen3.6-max-preview L3-003
[gen 254/5959] ok qwen/qwen3.7-plus AGI-114
[gen 255/5959] ok qwen/qwen3.7-plus AGI-109
[gen 256/5959] ok qwen/qwen3.6-max-preview L2-004
[gen 257/5959] ok qwen/qwen3.6-max-preview L6-002
[gen 258/5959] ok qwen/qwen3.6-max-preview L4-005
[gen 259/5959] ok qwen/qwen3.6-max-preview L3-002
[gen 260/5959] ok qwen/qwen3.7-plus AGI-093
[gen 261/5959] ok qwen/qwen3.6-max-preview L4-004
[gen 262/5959] ok qwen/qwen3.7-plus AGI-110
[gen 263/5959] ok qwen/qwen3.6-max-preview L5-005
[gen 264/5959] ok qwen/qwen3.7-plus AGI-080
[gen 265/5959] ok qwen/qwen3.7-plus AGI-113
[gen 266/5959] ok qwen/qwen3.6-max-preview L6-005
[gen 267/5959] ok qwen/qwen3.6-max-preview L6-004
[gen 268/5959] ok qwen/qwen3.6-max-preview L5-004
[gen 269/5959] ok qwen/qwen3.6-max-preview L4-002
[gen 270/5959] ok qwen/qwen3.6-max-preview L6-001
[gen 271/5959] ok qwen/qwen3.6-max-preview L5-002
[gen 272/5959] ok qwen/qwen3.6-max-preview L6-003
[gen 273/5959] ok qwen/qwen3.6-max-preview L7-002
[gen 274/5959] ok qwen/qwen3.7-plus AGI-102
[gen 275/5959] ok qwen/qwen3.6-max-preview L7-001
[gen 276/5959] ok qwen/qwen3.7-plus AGI-081
[gen 277/5959] ok qwen/qwen3.6-max-preview L5-001
[gen 278/5959] ok qwen/qwen3.6-max-preview L5-003
[gen 279/5959] ok qwen/qwen3.7-plus AGI-103
[gen 280/5959] ok qwen/qwen3.6-max-preview L7-004
[gen 281/5959] ok qwen/qwen3.7-plus AGI-085
[gen 282/5959] ok qwen/qwen3.7-plus AGI-115
[gen 283/5959] ok qwen/qwen3.6-max-preview L9-002
[gen 284/5959] ok qwen/qwen3.6-max-preview L8-006
[gen 285/5959] ok qwen/qwen3.6-max-preview L7-003
[gen 286/5959] ok qwen/qwen3.7-plus AGI-094
[gen 287/5959] ok qwen/qwen3.6-max-preview L7-005
[gen 288/5959] ok qwen/qwen3.6-max-preview L8-002
[gen 289/5959] ok qwen/qwen3.6-max-preview L9-005
[gen 290/5959] ok qwen/qwen3.6-max-preview L9-001
[gen 291/5959] ok qwen/qwen3.6-max-preview L9-004
[gen 292/5959] ok qwen/qwen3.6-max-preview L9-003
[gen 293/5959] ok qwen/qwen3.6-max-preview L8-007
[gen 294/5959] ok qwen/qwen3.6-max-preview L9-007
[gen 295/5959] ok qwen/qwen3.6-max-preview L9-009
[gen 296/5959] ok qwen/qwen3.6-max-preview L9-010
[gen 297/5959] ok qwen/qwen3.6-max-preview L8-010
[gen 298/5959] ok qwen/qwen3.7-plus AGI-108
[gen 299/5959] ok qwen/qwen3.6-max-preview L8-008
[gen 300/5959] ok qwen/qwen3.6-max-preview L9-008
[gen 301/5959] ok qwen/qwen3.6-max-preview L9-012
[gen 302/5959] ok qwen/qwen3.6-max-preview L9-011
[gen 303/5959] ok qwen/qwen3.6-max-preview L8-009
[gen 304/5959] ok qwen/qwen3.6-max-preview L8-004
