question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
L9-020,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1798,1,1.000,1607,1,1.000,1848,1,1.000,1198,0,0.000,2540
L9-024,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2582,0,0.000,3574,1,1.000,2432,0,0.000,3321,0,0.000,999
L9-025,9,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2684,0,0.000,2691,1,1.000,3760,1,1.000,3775,0,0.000,509
L9-032,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,2305,1,1.000,2027,1,1.000,1638,0,0.000,2105,0,0.000,3451
L9-036,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,2228,1,1.000,3387,1,1.000,1355,1,1.000,2957,0,0.000,1212
L9-040,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3043,1,1.000,2652,1,1.000,4019,1,1.000,2875,0,0.000,2624
L9-044,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1561,1,1.000,1523,1,1.000,2070,1,1.000,880,0,0.000,1770
L9-047,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1262,0,0.000,627,1,1.000,1855,0,0.000,1237,0,0.000,1328
L9-048,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,3421,1,1.000,6692,1,1.000,2283,0,0.000,3296,0,0.000,1414
L9-049,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,8293,1,1.000,24578,1,1.000,3946,0,0.000,2815,0,0.000,1831
L9-051,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2824,1,1.000,1452,0,0.000,2800,0,0.000,4421,0,0.000,2623
L9-052,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1610,1,1.000,2445,1,1.000,890,1,1.000,1459,0,0.000,1646
L9-060,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1766,1,1.000,1263,1,1.000,1567,1,1.000,2904,0,0.000,1331
L10-002,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2868,0,0.000,5116,1,1.000,2966,1,1.000,1623,0,0.000,1767
L10-003,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3877,0,0.000,3078,1,1.000,7327,0,0.000,3598,0,0.000,1505
L10-005,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.425,4240,0,0.000,1251,1,1.000,7007,1,0.700,2014,0,0.000,6688
L10-008,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.675,3659,1,1.000,1413,0,0.000,4678,1,0.700,6672,1,1.000,1871
L10-012,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3438,1,1.000,2392,1,1.000,4403,1,1.000,4975,0,0.000,1980
L10-013,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2339,0,0.000,2281,0,0.000,4210,0,0.000,1782,1,1.000,1081
L10-016,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,3154,1,1.000,2393,0,0.000,5154,1,1.000,3913,1,1.000,1156
L10-019,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.350,3781,0,0.400,4498,0,0.000,3538,0,0.000,4903,1,1.000,2184
L10-020,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1554,0,0.000,525,1,1.000,3187,0,0.000,1594,0,0.000,909
L10-021,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2979,1,1.000,5348,0,0.000,3190,0,0.000,2378,0,0.000,999
L10-022,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2443,0,0.000,1920,1,0.700,2265,0,0.000,4589,0,0.000,997
L10-024,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.500,2597,0,0.000,4122,0,0.000,3264,1,1.000,1872,1,1.000,1129
L10-025,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2532,0,0.000,2682,0,0.000,3079,0,0.000,3493,1,1.000,872
L10-026,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,4182,1,1.000,2571,0,0.000,3734,1,1.000,5447,0,0.000,4976
L10-027,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.500,2510,1,1.000,2682,0,0.000,2714,0,0.000,2274,1,1.000,2370
L10-028,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,1426,1,0.700,1610,0,0.000,2114,0,0.000,868,0,0.000,1112
L10-029,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.450,4045,0,0.400,11199,0,0.000,2191,0,0.400,1274,1,1.000,1516
L10-032,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2873,1,0.700,3936,0,0.000,3701,0,0.000,2760,0,0.000,1096
L10-036,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,4487,0,0.000,12945,0,0.000,2333,1,1.000,1488,0,0.000,1183
L10-037,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.425,3418,1,0.700,3066,1,1.000,4074,0,0.000,4863,0,0.000,1670
L10-040,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,2355,1,1.000,2718,0,0.000,2663,1,1.000,1975,0,0.000,2064
L10-045,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,2393,1,1.000,3577,1,1.000,3375,0,0.000,2223,1,1.000,395
L10-046,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,4010,1,1.000,6688,1,1.000,4905,0,0.000,2645,1,1.000,1802
L10-047,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2916,0,0.000,2101,0,0.000,5928,0,0.000,1024,1,1.000,2611
L10-048,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2465,0,0.000,599,0,0.000,5552,0,0.000,2390,1,1.000,1320
L10-049,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.600,2617,0,0.000,2534,0,0.400,4516,1,1.000,1292,1,1.000,2124
L10-059,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,1660,1,1.000,1847,0,0.000,1549,1,1.000,2279,1,1.000,965
L10-068,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,2607,0,0.000,1673,0,0.000,3661,1,0.700,3321,0,0.000,1773
L10-069,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,1415,0,0.000,1197,0,0.000,1570,1,0.700,1943,0,0.000,948
AGI-006,11,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.618,3844,1,0.824,5189,1,0.765,3323,1,0.824,3464,0,0.059,3399
AGI-015,11,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.673,4177,0,0.192,4352,1,0.923,4959,1,0.885,3130,0,0.692,4266
AGI-063,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.591,3499,1,0.727,4108,0,0.545,2699,0,0.545,4740,0,0.545,2450
AGI-065,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.614,6632,1,0.727,11781,0,0.545,4526,0,0.636,5425,0,0.545,4796
AGI-088,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.432,5116,0,0.636,7886,1,0.727,2200,0,0.182,3259,0,0.182,7117
