question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
L4-005,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.492,3660,0,0.623,7462,0,0.492,2865,0,0.377,2565,0,0.478,1748
L5-001,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.508,3602,0,0.566,2931,0,0.473,4255,0,0.497,3675,0,0.497,3546
L5-002,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2983,0,0.000,1704,0,0.000,6090,0,0.000,1217,0,0.000,2920
L5-003,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.618,10786,0,0.617,31572,0,0.598,4236,0,0.581,2629,0,0.673,4706
L5-004,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.902,3250,1,1.000,2292,1,0.873,4884,1,0.879,2174,1,0.858,3649
L5-005,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.895,2829,1,0.947,3335,1,0.934,1391,1,0.853,2820,1,0.847,3771
L6-001,6,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2571,0,0.000,2853,0,0.000,4898,0,0.000,1001,0,0.000,1533
L6-002,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.831,3964,1,0.895,11550,1,0.895,2147,1,0.760,706,1,0.775,1453
L6-003,6,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.720,3323,1,0.775,3544,1,0.775,4960,0,0.673,2988,0,0.657,1799
L6-004,6,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.784,3845,0,0.576,5230,1,0.840,4770,1,0.863,3215,1,0.856,2165
L6-005,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.804,2670,1,0.783,2754,1,0.779,2100,1,0.870,3154,1,0.784,2670
L7-001,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4785,0,0.000,3384,0,0.000,5429,0,0.000,3989,0,0.000,6339
L7-002,7,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.562,3059,1,0.830,3800,1,0.830,3678,0,0.276,3237,0,0.312,1519
L7-003,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3406,0,0.000,2587,0,0.000,4526,0,0.000,3853,0,0.000,2658
L7-004,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,8644,0,0.000,15314,0,0.000,10419,0,0.000,4827,0,0.000,4014
L7-005,7,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.909,13041,1,0.909,18319,1,0.982,14257,1,0.893,10309,1,0.854,9279
L8-001,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5339,0,0.000,3205,0,0.000,12958,0,0.000,3697,0,0.000,1496
L8-002,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.633,4894,0,0.667,4986,0,0.600,5287,0,0.667,4045,0,0.600,5256
L8-003,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.807,7067,1,0.807,7221,1,0.807,8653,1,0.807,8905,1,0.807,3487
L8-004,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.779,14788,1,1.000,45094,1,0.744,4865,1,0.907,5433,0,0.467,3759
L8-005,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4001,1,1.000,4598,1,1.000,4743,1,1.000,3003,1,1.000,3661
L8-006,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.777,6541,0,0.279,14453,1,0.891,5812,1,1.000,3789,1,0.940,2108
L8-007,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.308,5394,0,0.232,2782,0,0.360,5028,0,0.320,2721,0,0.320,11044
L8-008,8,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.356,18266,1,0.713,59212,0,0.000,4853,1,0.713,5083,0,0.000,3916
L8-009,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.871,4875,0,0.484,2711,1,1.000,7486,1,1.000,3237,1,1.000,6067
L8-010,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.739,6808,1,0.826,18418,1,0.732,4029,1,0.738,3252,0,0.660,1531
L9-001,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3793,0,0.000,4940,0,0.000,5929,0,0.000,2231,0,0.000,2070
L9-002,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,13278,0,0.000,4009,0,0.000,6167,0,0.000,2267,0,0.000,40669
L9-003,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4645,0,0.000,8816,0,0.000,5557,0,0.000,1739,0,0.000,2466
L9-004,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3867,0,0.000,2729,0,0.000,5702,0,0.000,2824,0,0.000,4213
L9-005,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4298,0,0.000,1397,0,0.000,4168,0,0.000,9068,0,0.000,2558
L9-006,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3799,0,0.000,6087,0,0.000,6010,0,0.000,2355,0,0.000,743
L9-007,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3580,0,0.000,5472,0,0.000,4483,0,0.000,1425,0,0.000,2940
L9-008,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5163,0,0.000,7744,0,0.000,4807,0,0.000,2445,0,0.000,5655
L9-009,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2415,1,1.000,1605,0,0.000,971,0,0.000,3810,0,0.000,3274
L9-010,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2681,0,0.000,1267,0,0.000,4214,0,0.000,2356,0,0.000,2885
L9-011,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4674,1,1.000,10064,1,1.000,2386,1,1.000,2787,1,1.000,3458
L9-012,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,3501,1,1.000,6447,1,1.000,2072,1,1.000,4692,1,1.000,793
L9-013,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4511,0,0.000,7423,0,0.000,2891,0,0.000,6268,0,0.000,1463
L9-014,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5191,0,0.000,7769,0,0.000,3480,0,0.000,5567,0,0.000,3947
L9-015,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3649,0,0.000,1467,0,0.000,4843,0,0.000,6892,0,0.000,1394
L9-016,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2097,1,1.000,2374,0,0.000,1361,0,0.000,3564,0,0.000,1090
L9-017,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2531,0,0.000,1770,0,0.000,4129,0,0.000,1415,0,0.000,2808
L9-018,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,17654,0,0.000,2220,0,0.000,2249,0,0.000,1731,0,0.000,64415
L9-019,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1745,0,0.000,1403,0,0.000,1964,0,0.000,1715,0,0.000,1899
L9-020,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1798,1,1.000,1607,1,1.000,1848,1,1.000,1198,0,0.000,2540
L9-021,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2927,0,0.000,3498,0,0.000,4679,0,0.000,2277,0,0.000,1252
L9-022,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4564,0,0.000,1931,0,0.000,4406,0,0.000,5552,0,0.000,6366
L9-023,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2088,0,0.000,3312,0,0.000,1989,0,0.000,2286,0,0.000,763
L9-024,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2582,0,0.000,3574,1,1.000,2432,0,0.000,3321,0,0.000,999
L9-025,9,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2684,0,0.000,2691,1,1.000,3760,1,1.000,3775,0,0.000,509
L9-026,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3040,0,0.000,3531,0,0.000,2731,0,0.000,2128,0,0.000,3768
L9-027,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5072,0,0.000,7386,0,0.000,4898,0,0.000,5046,0,0.000,2959
L9-028,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2400,1,1.000,3344,1,1.000,2230,1,1.000,2309,1,1.000,1717
L9-029,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3401,0,0.000,3043,0,0.000,5386,0,0.000,3715,0,0.000,1458
L9-030,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,21253,0,0.000,17444,0,0.000,1576,0,0.000,5315,0,0.000,60677
L9-031,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2231,0,0.000,2251,0,0.000,2555,0,0.000,2107,0,0.000,2009
L9-032,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,2305,1,1.000,2027,1,1.000,1638,0,0.000,2105,0,0.000,3451
L9-033,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2915,0,0.000,2523,0,0.000,4332,0,0.000,3919,0,0.000,885
L9-034,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2529,0,0.000,4550,0,0.000,1893,0,0.000,1125,0,0.000,2548
L9-035,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2373,0,0.000,4325,0,0.000,2480,0,0.000,1584,0,0.000,1101
L9-036,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,2228,1,1.000,3387,1,1.000,1355,1,1.000,2957,0,0.000,1212
L9-037,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1708,0,0.000,1331,0,0.000,1707,0,0.000,1775,0,0.000,2017
L9-038,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6412,0,0.000,1334,0,0.000,3605,0,0.000,14180,0,0.000,6530
L9-039,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2872,0,0.000,5019,0,0.000,3355,0,0.000,1468,0,0.000,1646
L9-040,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3043,1,1.000,2652,1,1.000,4019,1,1.000,2875,0,0.000,2624
L9-041,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2866,0,0.000,1456,0,0.000,4963,0,0.000,2949,0,0.000,2096
L9-042,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1809,0,0.000,653,0,0.000,3275,0,0.000,1673,0,0.000,1635
L9-043,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15683,0,0.000,4522,0,0.000,1811,0,0.000,1880,0,0.000,54519
L9-044,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1561,1,1.000,1523,1,1.000,2070,1,1.000,880,0,0.000,1770
L9-045,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2451,0,0.000,933,0,0.000,6018,0,0.000,1394,0,0.000,1458
L9-046,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3706,0,0.000,1474,0,0.000,3924,0,0.000,6378,0,0.000,3046
L9-047,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1262,0,0.000,627,1,1.000,1855,0,0.000,1237,0,0.000,1328
L9-048,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,3421,1,1.000,6692,1,1.000,2283,0,0.000,3296,0,0.000,1414
L9-049,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,8293,1,1.000,24578,1,1.000,3946,0,0.000,2815,0,0.000,1831
L9-050,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3399,0,0.000,2605,0,0.000,2832,0,0.000,6432,0,0.000,1728
L9-051,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2824,1,1.000,1452,0,0.000,2800,0,0.000,4421,0,0.000,2623
L9-052,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1610,1,1.000,2445,1,1.000,890,1,1.000,1459,0,0.000,1646
L9-053,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2602,0,0.000,2930,0,0.000,2664,0,0.000,2498,0,0.000,2314
L9-054,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6293,0,0.000,7701,0,0.000,4190,0,0.000,8728,0,0.000,4553
L9-055,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3917,0,0.000,2234,0,0.000,4352,0,0.000,2069,0,0.000,7013
L9-056,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3249,0,0.000,4137,0,0.000,2875,0,0.000,4416,0,0.000,1567
L9-057,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2959,0,0.000,2995,0,0.000,2557,0,0.000,5294,0,0.000,990
L9-058,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2500,0,0.000,1466,0,0.000,4226,0,0.000,2333,0,0.000,1975
L9-059,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15887,0,0.000,1860,0,0.000,3191,0,0.000,1538,0,0.000,56959
L9-060,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1766,1,1.000,1263,1,1.000,1567,1,1.000,2904,0,0.000,1331
L9-061,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3771,0,0.000,7803,0,0.000,2820,0,0.000,2069,0,0.000,2391
L9-062,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,10616,0,0.000,33267,0,0.000,2925,0,0.000,2919,0,0.000,3353
L9-063,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2547,0,0.000,6385,0,0.000,1882,0,0.000,1034,0,0.000,887
L9-064,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3570,0,0.000,6207,0,0.000,1542,0,0.000,5159,0,0.000,1372
L9-065,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2612,0,0.000,1823,0,0.000,4350,0,0.000,3320,0,0.000,955
L9-066,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2920,0,0.000,3244,0,0.000,4242,0,0.000,2129,0,0.000,2065
L9-067,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3445,0,0.000,5395,0,0.000,3364,0,0.000,2835,0,0.000,2187
L9-068,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2627,1,1.000,2071,1,1.000,989,1,1.000,3651,1,1.000,3798
L9-069,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3509,0,0.000,2268,0,0.000,3914,0,0.000,5788,0,0.000,2066
L9-070,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15611,0,0.000,2452,0,0.000,49086,0,0.000,5550,0,0.000,5354
L9-071,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2980,0,0.000,2971,0,0.000,4413,0,0.000,3196,0,0.000,1339
L9-072,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1799,0,0.000,1669,0,0.000,2071,0,0.000,1802,0,0.000,1655
