question_id,tier,basic_proximity,best_score,closest_model,codex_analysis
AGI-034,AGI,close,0.625,qwen/qwen3.7-plus,"Audit Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-035,AGI,close,0.625,qwen/qwen3.7-plus,"TVL Shock Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-036,AGI,way_off,0.500,qwen/qwen3.7-plus,"OOD Adverse Flow: BTC Spoof Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-037,AGI,way_off,0.500,qwen/qwen3.7-plus,"OOD Adverse Flow: ETH Sweep Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-038,AGI,way_off,0.429,qwen/qwen3.7-max,"SOL Thin Venue Recovery Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-039,AGI,way_off,0.375,qwen/qwen3.6-flash,Emissions Cut Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-040,AGI,way_off,0.375,qwen/qwen3.7-plus,Unlock Delay Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-041,AGI,way_off,0.375,qwen/qwen3.5-plus-20260420,Bribe APR Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-042,AGI,way_off,0.556,qwen/qwen3.6-max-preview,"Exchange Halt Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-043,AGI,way_off,0.444,qwen/qwen3.6-max-preview,"Depeg Print Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-044,AGI,way_off,0.444,qwen/qwen3.7-plus,"Redemption Queue Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-045,AGI,way_off,0.286,qwen/qwen3.7-plus,OP Airdrop Chase Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-046,AGI,way_off,0.286,qwen/qwen3.7-plus,ARB Snapshot Route Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-047,AGI,way_off,0.429,moonshotai/kimi-k2.6,"Base Listing Window Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-048,AGI,close,0.625,anthropic/claude-sonnet-4.5,"New Listing Market Maker A Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-049,AGI,way_off,0.500,qwen/qwen3.7-max,"New Listing Market Maker B Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-050,AGI,way_off,0.500,qwen/qwen3.7-plus,"New Listing Market Maker C Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-051,AGI,close,0.625,qwen/qwen3.7-plus,"Protocol Pause Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-052,AGI,close,0.625,qwen/qwen3.7-plus,"Bridge Exploit Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-053,AGI,close,0.625,qwen/qwen3.7-plus,"Meme Pool Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-054,AGI,way_off,0.429,prime-intellect/intellect-3,"SOL Crisis Correlation Hedge Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-055,AGI,close,0.667,moonshotai/kimi-k2.5,"OOD Correlation Hedge: ETH Crisis has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-056,AGI,close,0.667,qwen/qwen3.6-max-preview,"OOD Correlation Hedge: BTC Crisis has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-060,AGI,close,0.692,qwen/qwen3.7-plus,"ETH Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-061,AGI,close,0.692,qwen/qwen3.7-plus,"SOL Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-062,AGI,close,0.692,qwen/qwen3.7-plus,"BTC Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-066,AGI,close,0.667,qwen/qwen3.7-plus,"Korea Basis Ban Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-067,AGI,close,0.667,qwen/qwen3.7-plus,"ETF Rebalance Crowd Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-068,AGI,close,0.667,qwen/qwen3.7-plus,"Stable Reserve Rumor Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-069,AGI,close,0.667,qwen/qwen3.7-plus,"Perp Auto-Deleveraging Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-071,AGI,close,0.636,qwen/qwen3.7-max,"FDUSD Cascade Exit has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-072,AGI,way_off,0.455,qwen/qwen3.7-plus,"USDe Cascade Exit shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-073,AGI,close,0.636,moonshotai/kimi-k2.7-code,"TUSD Cascade Exit has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-078,AGI,way_off,0.571,qwen/qwen3.7-plus,"BTC miner default Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-079,AGI,way_off,0.571,qwen/qwen3.7-plus,"ETH validator slashing Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-080,AGI,way_off,0.571,qwen/qwen3.7-plus,"SOL outage Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-081,AGI,way_off,0.571,qwen/qwen3.7-plus,"DeFi oracle exploit Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-089,AGI,way_off,0.286,qwen/qwen3.6-max-preview,Basis Cascade Window Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-090,AGI,way_off,0.429,moonshotai/kimi-k2.5,"Short Squeeze Window Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-091,AGI,way_off,0.286,qwen/qwen3.7-max,Funding Credit Trap Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-093,AGI,close,0.667,qwen/qwen3.7-plus,"OOD Composite Risk: Restaking Yield Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-095,AGI,close,0.625,qwen/qwen3.7-plus,"Insurance Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-096,AGI,close,0.625,qwen/qwen3.7-plus,"Audit Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-097,AGI,close,0.625,qwen/qwen3.7-plus,"TVL Shock Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-098,AGI,way_off,0.500,qwen/qwen3.7-plus,"OOD Adverse Flow: BTC Spoof Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-099,AGI,way_off,0.545,qwen/qwen3.6-max-preview,"Toxic Midpoint Peg Rescue shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-100,AGI,way_off,0.571,qwen/qwen3.6-max-preview,"SOL Thin Venue Recovery Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-101,AGI,way_off,0.375,qwen/qwen3.6-max-preview,Emissions Cut Governance Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-102,AGI,way_off,0.375,qwen/qwen3.7-plus,Unlock Delay Governance Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-103,AGI,way_off,0.000,qwen/qwen3.7-plus,Protocol Emission Reflexivity Vote has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-104,AGI,close,0.625,anthropic/claude-sonnet-4.5,"New Listing Market Maker A Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-105,AGI,way_off,0.111,z-ai/glm-5,Oracle-Lag Inventory Skew Maker has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-106,AGI,way_off,0.500,meta-llama/llama-3.3-70b-instruct,"AMM-CEX Hedge-Lag Maker shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-107,AGI,way_off,0.429,moonshotai/kimi-k2.5,"SOL Crisis Correlation Hedge Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-109,AGI,way_off,0.500,qwen/qwen3.5-plus-20260420,"Lead-Lag Correlation Break Hedge shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-110,AGI,close,0.692,qwen/qwen3.7-plus,"ETH Premium Funding Basis Diverse Holdout has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-111,AGI,close,0.692,qwen/qwen3.7-plus,"SOL Premium Funding Basis Diverse Holdout has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-112,AGI,way_off,0.500,qwen/qwen3.7-max,"Borrow-Constrained Basis Rotation shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-114,AGI,close,0.636,qwen/qwen3.7-plus,"Year-End Factor-Neutral Harvest has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
