question_id,tier,title,proximity_band,best_score,best_model,top3_models,common_failure_reasons,verifier_status,skill_failure_modes,recommended_action,codex_analysis
AGI-011,AGI,The Flash Loan Attack Predictor,close,0.600,qwen/qwen3.6-35b-a3b,qwen/qwen3.6-35b-a3b:0.6 | qwen/qwen3.6-max-preview:0.4 | moonshotai/kimi-k2.7-code:0.4,agi_validation_failed:chosen_strategy:64; agi_validation_failed:ev_stay:63; agi_validation_failed:withdrawal_sequence:56; agi_validation_failed:decision:43; missing_field:21,close_but_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","The Flash Loan Attack Predictor has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-012,AGI,The Correlation Regime Arbitrage,way_off,0.167,qwen/qwen3.7-max,qwen/qwen3.7-max:0.16666666666666666 | z-ai/glm-5.1:0.16666666666666666 | qwen/qwen3.5-122b-a10b:0.16666666666666666,missing_field:80; agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:52; agi_validation_failed:residual_1d_var_usd:51; agi_validation_failed:expected_vol_reduction_pct:47,way_off_or_too_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Manual verifier review required before training; if sound, reserve for advanced/GRPO-style curriculum.",The Correlation Regime Arbitrage has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-021,AGI,OOD Beta Hedge: 2008 Credit Shock,partial,0.429,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.42857142857142855 | qwen/qwen3.6-max-preview:0.42857142857142855 | qwen/qwen3.7-max:0.42857142857142855,missing_field:70; agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:60; agi_validation_failed:execution_sequence:57; agi_validation_failed:worst_case_residual_pnl_usd:57,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Beta Hedge: 2008 Credit Shock shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-022,AGI,OOD Beta Hedge: March 2020 Liquidation,partial,0.429,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.42857142857142855 | qwen/qwen3.6-max-preview:0.42857142857142855 | qwen/qwen3.7-max:0.42857142857142855,agi_validation_failed:intent:64; agi_validation_failed:chosen_strategy:61; agi_validation_failed:execution_sequence:58; agi_validation_failed:worst_case_residual_pnl_usd:58; missing_field:40,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Beta Hedge: March 2020 Liquidation shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-023,AGI,OOD Beta Hedge: Yen Unwind Holdout,partial,0.429,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.42857142857142855 | qwen/qwen3.6-max-preview:0.42857142857142855 | qwen/qwen3.7-max:0.42857142857142855,agi_validation_failed:intent:62; missing_field:59; agi_validation_failed:chosen_strategy:57; agi_validation_failed:execution_sequence:54; agi_validation_failed:worst_case_residual_pnl_usd:54,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Beta Hedge: Yen Unwind Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-027,AGI,Basis Cascade Window Rebuild,far,0.286,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.2857142857142857 | qwen/qwen3.6-27b:0.2857142857142857 | qwen/qwen3.5-plus-20260420:0.2857142857142857,agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:62; agi_validation_failed:worst_case_margin_drawdown_pct:60; agi_validation_failed:funding_window_pnl_usd:58; agi_validation_failed:self_check:57,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Basis Cascade Window Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-028,AGI,Short Squeeze Window Rebuild,partial,0.429,z-ai/glm-5-turbo,z-ai/glm-5-turbo:0.42857142857142855 | qwen/qwen3.7-plus:0.2857142857142857 | qwen/qwen3.6-max-preview:0.2857142857142857,agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:61; agi_validation_failed:worst_case_margin_drawdown_pct:61; agi_validation_failed:funding_window_pnl_usd:58; agi_validation_failed:self_check:55,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Short Squeeze Window Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-029,AGI,Funding Credit Trap Rebuild,far,0.286,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.2857142857142857 | qwen/qwen3.6-flash:0.2857142857142857 | moonshotai/kimi-k2.5:0.2857142857142857,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:59; agi_validation_failed:worst_case_margin_drawdown_pct:57; agi_validation_failed:funding_window_pnl_usd:57; agi_validation_failed:self_check:57,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Funding Credit Trap Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-032,AGI,Lending Market Holdout Rebuild,partial,0.500,qwen/qwen3.6-27b,qwen/qwen3.6-27b:0.5 | qwen/qwen3.5-plus-20260420:0.5 | qwen/qwen3.6-flash:0.5,missing_field:73; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:64; agi_validation_failed:self_check:60; agi_validation_failed:expected_net_apy_pct:59,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Lending Market Holdout Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-033,AGI,Insurance Bridge Matrix Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,agi_validation_failed:intent:67; missing_field:67; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:57; agi_validation_failed:expected_loss_usd:33,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Insurance Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-034,AGI,Audit Bridge Matrix Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,missing_field:72; agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:58; agi_validation_failed:expected_loss_usd:26,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Audit Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-035,AGI,TVL Shock Bridge Matrix Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,missing_field:72; agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:58; agi_validation_failed:expected_loss_usd:33,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","TVL Shock Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-036,AGI,OOD Adverse Flow: BTC Spoof Recovery,partial,0.500,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5 | qwen/qwen3.6-max-preview:0.5 | qwen/qwen3.7-max:0.5,agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:58; agi_validation_failed:price_band:58; missing_field:50; agi_validation_failed:child_order_units:3,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Adverse Flow: BTC Spoof Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-037,AGI,OOD Adverse Flow: ETH Sweep Recovery,partial,0.500,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5 | qwen/qwen3.6-max-preview:0.5 | qwen/qwen3.7-max:0.5,agi_validation_failed:intent:69; missing_field:60; agi_validation_failed:chosen_strategy:57; agi_validation_failed:price_band:57; agi_validation_failed:child_order_units:5,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Adverse Flow: ETH Sweep Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-038,AGI,SOL Thin Venue Recovery Rebuild,partial,0.429,qwen/qwen3.7-max,qwen/qwen3.7-max:0.42857142857142855 | arcee-ai/trinity-mini:0.42857142857142855 | deepseek/deepseek-v3.2:0.42857142857142855,agi_validation_failed:intent:67; missing_field:59; agi_validation_failed:price_band:58; agi_validation_failed:chosen_strategy:57; agi_validation_failed:self_check:56,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"SOL Thin Venue Recovery Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-039,AGI,Emissions Cut Governance Rebuild,far,0.375,qwen/qwen3.6-flash,qwen/qwen3.6-flash:0.375 | openai/gpt-5.5:0.375 | anthropic/claude-fable-5:0.375,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:61; agi_validation_failed:position:59; agi_validation_failed:net_sell_pressure_delta_per_day:59; agi_validation_failed:self_check:57,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Emissions Cut Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-040,AGI,Unlock Delay Governance Rebuild,far,0.375,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.375 | qwen/qwen3.6-max-preview:0.375 | qwen/qwen3.7-max:0.375,agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:61; agi_validation_failed:net_sell_pressure_delta_per_day:61; agi_validation_failed:position:59; agi_validation_failed:self_check:59,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Unlock Delay Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-041,AGI,Bribe APR Governance Rebuild,far,0.375,qwen/qwen3.5-plus-20260420,qwen/qwen3.5-plus-20260420:0.375 | qwen/qwen3.6-flash:0.375 | moonshotai/kimi-k2.5:0.375,agi_validation_failed:intent:64; agi_validation_failed:chosen_strategy:57; agi_validation_failed:net_sell_pressure_delta_per_day:56; agi_validation_failed:position:55; agi_validation_failed:self_check:55,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Bribe APR Governance Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-042,AGI,Exchange Halt Stablecoin Cascade Rebuild,partial,0.556,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.5555555555555556 | moonshotai/kimi-k2.5:0.5555555555555556 | openai/gpt-5.3-codex:0.5555555555555556,missing_field:100; agi_validation_failed:intent:69; agi_validation_failed:actions:54; agi_validation_failed:self_check:54; agi_validation_failed:priority_order:50,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Exchange Halt Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-043,AGI,Depeg Print Stablecoin Cascade Rebuild,partial,0.444,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.4444444444444444 | moonshotai/kimi-k2.7-code:0.4444444444444444 | openai/gpt-5.3-codex:0.4444444444444444,missing_field:84; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:60; agi_validation_failed:actions:56; agi_validation_failed:self_check:56,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Depeg Print Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-044,AGI,Redemption Queue Stablecoin Cascade Rebuild,partial,0.444,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.4444444444444444 | qwen/qwen3.7-max:0.4444444444444444 | qwen/qwen3.6-flash:0.4444444444444444,missing_field:81; agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:64; agi_validation_failed:self_check:54; agi_validation_failed:actions:53,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Redemption Queue Stablecoin Cascade Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-045,AGI,OP Airdrop Chase Rebuild,far,0.286,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.2857142857142857 | qwen/qwen3.6-max-preview:0.2857142857142857 | qwen/qwen3.7-max:0.2857142857142857,missing_field:112; agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:52; agi_validation_failed:completion_minutes:51; agi_validation_failed:self_check:50,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",OP Airdrop Chase Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-046,AGI,ARB Snapshot Route Rebuild,far,0.286,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.2857142857142857 | qwen/qwen3.6-max-preview:0.2857142857142857 | qwen/qwen3.6-27b:0.2857142857142857,missing_field:96; agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:55; agi_validation_failed:route_steps:52; agi_validation_failed:self_check:52,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",ARB Snapshot Route Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-047,AGI,Base Listing Window Rebuild,partial,0.429,moonshotai/kimi-k2.6,moonshotai/kimi-k2.6:0.42857142857142855 | qwen/qwen3.7-plus:0.2857142857142857 | qwen/qwen3.6-max-preview:0.2857142857142857,missing_field:101; agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:53; agi_validation_failed:self_check:51; agi_validation_failed:route_steps:50,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Base Listing Window Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-048,AGI,New Listing Market Maker A Rebuild,close,0.625,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5:0.625 | deepseek/deepseek-v3.2-exp:0.625 | qwen/qwen3.7-plus:0.5,agi_validation_failed:intent:69; agi_validation_failed:toxic_defense:63; agi_validation_failed:self_check:63; agi_validation_failed:update_ms:58; agi_validation_failed:expected_1h_pnl_usd:37,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","New Listing Market Maker A Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-049,AGI,New Listing Market Maker B Rebuild,partial,0.500,qwen/qwen3.7-max,qwen/qwen3.7-max:0.5 | qwen/qwen3.5-plus-20260420:0.5 | qwen/qwen3.6-flash:0.5,agi_validation_failed:intent:69; agi_validation_failed:toxic_defense:61; agi_validation_failed:self_check:61; agi_validation_failed:update_ms:54; agi_validation_failed:expected_1h_pnl_usd:50,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"New Listing Market Maker B Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-050,AGI,New Listing Market Maker C Rebuild,partial,0.500,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5 | qwen/qwen3.6-flash:0.5 | openai/gpt-5.3-codex:0.5,agi_validation_failed:intent:69; agi_validation_failed:toxic_defense:63; agi_validation_failed:self_check:62; agi_validation_failed:update_ms:60; agi_validation_failed:half_spread_bps:58,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"New Listing Market Maker C Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-051,AGI,Protocol Pause Exit Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:64; agi_validation_failed:self_check:62; agi_validation_failed:exit_sequence:51; missing_field:41,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Protocol Pause Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-052,AGI,Bridge Exploit Exit Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:64; agi_validation_failed:self_check:63; agi_validation_failed:exit_sequence:44; missing_field:39,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Bridge Exploit Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-053,AGI,Meme Pool Exit Rebuild,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.7-max:0.625 | qwen/qwen3.6-27b:0.625,agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:67; agi_validation_failed:self_check:64; agi_validation_failed:exit_sequence:47; missing_field:27,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Meme Pool Exit Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-054,AGI,SOL Crisis Correlation Hedge Rebuild,partial,0.429,prime-intellect/intellect-3,prime-intellect/intellect-3:0.42857142857142855 | anthropic/claude-sonnet-4.6:0.42857142857142855 | qwen/qwen3-max-thinking:0.42857142857142855,agi_validation_failed:intent:67; agi_validation_failed:residual_1d_var_usd:59; agi_validation_failed:self_check:58; agi_validation_failed:chosen_strategy:57; missing_field:54,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"SOL Crisis Correlation Hedge Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-055,AGI,OOD Correlation Hedge: ETH Crisis,close,0.667,moonshotai/kimi-k2.5,moonshotai/kimi-k2.5:0.6666666666666666 | moonshotai/kimi-k2.6:0.6666666666666666 | anthropic/claude-sonnet-4.6:0.6666666666666666,agi_validation_failed:intent:69; agi_validation_failed:residual_1d_var_usd:63; agi_validation_failed:chosen_strategy:60; missing_field:39; agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd:24,close_but_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","OOD Correlation Hedge: ETH Crisis has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
