id,problem_rubric_hash,full_review_hash,answer_key_verdict,tier_tagged,tier_observed,tier_variance,notes
SB-L9-007,7070e9a9a7e2a62775ce72e3a8fdb8b1c490b95b73f191a3ce488f09aaf0b5a7,319fdf40c31511a18cb0ad8864878f0f2bbb65794a62be70599938353817d44e,VERIFIED,L9,L9,0,numeric_derivable_and_no_blocking_label
SB-L10-001,33605f74d135c64ec80c0160607bfb65f93bad85157007c4693a1a67642ed372,b07f59f1b7b3eae1885e4046fc5d38ed1bacee3083ada36633ecdd56b3220cb6,VERIFIED,L10,L10,0,numeric_derivable_and_no_blocking_label
SB-L10-002,ac69ab80bad1e0480c2ba1ca66e8f3093581bac5d457d177108c39f4ffe100dd,0a6b8d7eebaeef314bc77c69d3a14049b881c63ade3ffddafaa3aa417e7a7800,PARTIAL,L10,L10,0,underivable_required_labels:rejected_routes[]
SB-L10-003,5f5adbf0d9386877598764798835544f84cabfccf4c9644cc6a1ab0d39e9d780,12fe8292fced47a96c3c920b961f6acd74fc157727e626d3999fb671688067f1,PARTIAL,L10,L10,0,underivable_required_labels:decision|rejected_routes[]
SB-L10-004,914776d7fb1a60df2fd4b1522f1e39f0914e2ad956756c6e86d82e5a83ed483a,f9362ef184be864e32aa33c7ce4103564612ce43718b094859a8fc32975b3c78,VERIFIED,L10,L10,0,numeric_derivable_and_no_blocking_label
SB-L10-005,a7f8116cb4367e31771c20aaba32bdf4e8eeb8c877648bb197ee4e70a496c1d2,2995a7af55d24393c51b7e9ee0586d80e2b94d074191ccd176095668cc1ddea8,PARTIAL,L10,L10,0,underivable_required_labels:rejected_routes[]
SB-L10-006,768629c00d265ee2cc1cd7b45e56f98340d994de4408391f4432fe6be29d4caa,618c160d26aa4344b48cfff0695fe4e5ba31734cbde73e5042de4826fef0f55b,PARTIAL,L10,L10,0,underivable_required_labels:rejected_routes[]
SB-L10-007,ba998d94ffa34d1555290d7e9de0d46b87939066e16f1904c7ec02ae0d7c191d,7b0819bebf6e0d8e39e9e16ca1d117e8763f391994c23b5841f14cb1bd29a8b2,PARTIAL,L10,L10,0,underivable_required_labels:decision
SB-AGI-002,ed7092a310b720a781dbf53973f8bbb96857c378e082a0f362d4179504d275dd,bb8eff3341fa8149c6f5accde5b39472566a9036507415187ffd8ad0f17e2405,PARTIAL,AGI,AGI,0,underivable_required_labels:decision|rejected_routes[]|self_check[]
SB-AGI-003,8ce37afa12fb60ef430ebec9e555a6e64cf39f76f4d7e7cb438c8a08fc01c7bf,58889f55bbe70e81b97ba76bcabd5352b3f859583cae176545a4019e56d6a2ca,PARTIAL,AGI,AGI,0,underivable_required_labels:decision|rejected_routes[]|self_check[]
SB-AGI-004,77cc0ae9b6b4d280041f89ed2c1f7ad7cc68d52ed7537babfff58040bb3dbe2e,40d6aecffb5f59aaf4d82744b9fcdc12f2fb6ed6090248ce46466c8becf95f60,PARTIAL,AGI,AGI,0,underivable_required_labels:decision|self_check[]
SB-AGI-005,108a8519fe575220cac5dad1788c461e07ebc04fd9f385f9898f7dd80098a92f,27b884c438801326942c68a111ab2e6bcb802634aa21ec680fbc668a8f8067e0,PARTIAL,AGI,AGI,0,underivable_required_labels:self_check[]
SB-AGI-006,70b7418d332ab705f9a785f152775d154e93ef7afc24c19e4c4a2209425b032d,1f1e28e509b575e8c322839d652ff5a06fb81e24695836350fb43b63e396cac5,PARTIAL,AGI,AGI,0,underivable_required_labels:decision|self_check[]
SB-AGI-007,7e5d43daace88aab57d75cd1889f3c37acd62c56b4132dbf4330aac58e05bfb7,5a548c64a5ca2419a4441df878391fd968f8f1b9dae1ba9e5c32704e6b5ec0b5,PARTIAL,AGI,AGI,0,underivable_required_labels:self_check[]
SB-AGI-008,6823ec72ed5c0d9937319432ee159f374a333758b861fab4502d1a2b929cd96f,abefd5e2438834fd9ccbe657df40ff9c49396145a43ee9f76cfa8489a5b0f219,PARTIAL,AGI,AGI,0,underivable_required_labels:decision|rejected_routes[]
SB-L1-002,b2effee1d57c20c22cc587d47b50e18689a99877121588256c6abf34e2f9d743,b2f6f07423741f343e02a13dcf975517e16880bf900406a8428fb3b56e089045,VERIFIED,L1,L1,0,numeric_derivable_and_no_blocking_label
SB-L1-003,3a1dc8ae308656f7c2d8b68bdc8bdd49d06d0bd9c12f7242d94467659b78a5e2,e413cdc778c1463daadcdb4972e67b4e461c64dbbfc2957e9ecb237883e9da6c,VERIFIED,L1,L1,0,numeric_derivable_and_no_blocking_label
SB-L2-002,c8f7bb7adfd67aba18a134aacfc07ad09a7de3558f244050093d58fd23c7866b,0ba33f364a105e77daa9ea570deb567c4db3a9e3b214e15bb2e8d42548f81099,PARTIAL,L2,L2,0,underivable_required_labels:decision
SB-L2-003,ce02cec06ed129a0334011c05b2f5d8e5959b019959001642e9e2b66c6df8fcd,fa1e80f6dd460b8313617f357749505578ea6edae774261d4a188220e3d786af,PARTIAL,L2,L2,0,underivable_required_labels:decision
SB-L2-004,58e27dd750608a7c52e8d75fcfa60358933c7461ce1c8a4110733741a4e58d62,d9f4ffd6348f337ec4738f448bf88de768747e8716ea72348ebd7e47b873a1bc,VERIFIED,L2,L2,0,numeric_derivable_and_no_blocking_label
SB-L3-002,a0033314d336b2557adff9201c917b8482dcd326203f53e7575eba1fdfdc209d,d0b95557d761221daa17d951d4ce0ead52c1daf1e99302cb3452c3df53e569c8,PARTIAL,L3,L3,0,underivable_required_labels:decision
SB-L3-003,5078ba5f1bcf30dc3955f2c87b80aad130d5b9e5cf79463329b330f36b9cebbb,a46c5f42068a71dbf921818b98500315b9667ebcf84346723bc3ac9562fdb3a3,PARTIAL,L3,L3,0,underivable_required_labels:decision
SB-L4-002,978173cff2ecc6edfdc2fd031806ca30780be4f54d037d78b5a8b76e548468db,394f8fb1e42d7363307b7a0596b19af57e97108b66699c41cbfabcecf8150955,VERIFIED,L4,L4,0,numeric_derivable_and_no_blocking_label
SB-L4-003,4a307f3bb9ee653a7f1ed7ae94642510b660516d2ddd66dff259bd0f1c5c3bf3,426b89f25a4ec70693a0232ad63ced3844f664a5e7c89998cfdb32ed4e286729,VERIFIED,L4,L4,0,numeric_derivable_and_no_blocking_label
SB-L4-004,dc6607cdf691671d8d86074a631965df66b6bbc57f19c3119ff82d7490884746,d8304827df5c4e2009df3f1b7568935516f3b6e8fe1bc893b829886fb4edb86a,VERIFIED,L4,L4,0,numeric_derivable_and_no_blocking_label
SB-L4-005,cbc5af29e1334ce5d5cfff3872acc85203a16d087487ae89d0d9f8a2c2ca36a2,48ff8a984d360b3c1c3e5909f869f879d1195a49c632748b481531cde48dd238,VERIFIED,L4,L4,0,numeric_derivable_and_no_blocking_label
SB-L5-002,3f537fde508b5d2fa8787812edb77871fe27c02ea7b4efbe6881c9630267510b,7029caac00de66cede5a8ae3fbb8c44bbcc6a9b5695a1a347d57c4bd576cdde0,PARTIAL,L5,L5,0,underivable_required_labels:decision|side
SB-L5-003,b520cc11ff818da2f70cd296bcf9d4b527f080bcf1d4cc41c958113448661c71,17e1ba540878d542cc682ad9d0940cdccf9d7447d602fd74947e5fe76c778225,PARTIAL,L5,L5,0,underivable_required_labels:decision|side
SB-L5-004,caa04c4a5ee8272e1fe9a170f871de97f5674245dd0a8950c5d9d307b8cbeaf3,b9f82f42d7bd56b0e07650988e31eb4abd6e688209100e5fb5868f8489fc155f,PARTIAL,L5,L5,0,underivable_required_labels:decision|side
SB-L5-005,8f0e8dc5ebc2ca63d1e6e91c6a1a5b6c1159de8bfda1179e7455ff4e42dc47ec,64eae3dfac029f38f1207ada4ca488627d3fc57b3e22dc5979fad69ca8eaf931,PARTIAL,L5,L5,0,underivable_required_labels:decision|side
SB-L6-002,7367978699ff57f80fb90182d499b48125c7ef43625a6f9d060c582d1968a291,1bc0a54af45b840d6d560e0265929a0dafb347a2b522a2ea1a1671ee12928d5c,PARTIAL,L6,L6,0,underivable_required_labels:execution_sequence[]
SB-L6-003,7bdfab5a77c2af59a408f60b338a062b00cceacb3af1c7bdbeecd7d76371525f,31a2105fa13d4ac7c49145186000b260037616f11a96e1427461c206fef46b2e,PARTIAL,L6,L6,0,underivable_required_labels:execution_sequence[]
SB-L6-004,da0872bf2bb352e3ac7a771c9bf28ee4dd69ca367abb099f2858a700a8a6f29f,7f8d548d764815ed131ed0c6a64b2a932373d1a06929871069410fd1d406e8c8,PARTIAL,L6,L6,0,underivable_required_labels:execution_sequence[]
SB-L6-005,d1577ce8f44fc2ae41c233ee4923ed285291afef69b613c50689fdf872c6a72a,3b23529ea1ee5a1f8102c85518e9d779fddfe0738aef66c00a2c4c653565d40c,PARTIAL,L6,L6,0,underivable_required_labels:execution_sequence[]
SB-L7-002,22c98468d0416e35a4917304bddc0e82d370bbd7cd96adb7e1c8be2922c3cc2e,33352f166706be690c575236f81e78c8110c57614b5709330abe86dd00d1b94a,PARTIAL,L7,L7,0,underivable_required_labels:decision
SB-L7-003,0d24f2a2dfde4d5ffc417508152c7153390f34265c9aa04dbf141b3760a39ef2,537afa0d2026b182411d281747d6d86fb90a9a105d27aec5a7616e0c7027ce08,PARTIAL,L7,L7,0,underivable_required_labels:decision
SB-L7-004,775927c9f4f0562659534edec3796186f91eef08268d14159567e88cb3e37352,65786f63de637f51d4373c2a739f9173e83afb16ee6ca31257df4cbf058b3667,PARTIAL,L7,L7,0,underivable_required_labels:decision
SB-L7-005,6eb2d519519c7124bbc77a6ec15025c14699a5a715e6078cceb55e9f27db8a5b,42de9b7351f746a8dbd4cea823dcd453642ea702f2a183e472575c4b1fb177f3,PARTIAL,L7,L7,0,underivable_required_labels:decision
SB-L8-002,28e435fa2da3fbd58eefc73663852287f4c3ea01de59ac28b133f5f77347993f,b0e932f54e298ed3d94f7287dd04ac3c76acba7b714509cf7c1d482333ba3e10,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-003,a13897f67cb9abd5e197b8674f9f9abb89d074ee56b1ed0a517717d6c25d9e01,3069f7514fe290360cc3594adae5404d7ae8e9cef6bb6fb8f62b75644bf4945b,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-004,20737483d526dfdf1b374e6caae1525e94391b60cfba5b2ec268bdf44136259b,0f48b28fe481a6ad67f60bf8833a11be6bfc78604d1e5cbaed5bd612f551042a,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-005,f3eeebc947b5f3a23eea57e2ca58d2f02f8b12b8ff1c1794354b6a63f9677a51,7f509e15022d6ef8ed5a83b4e332ef5284da175be8435274f03eec869982c534,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-006,f796a26fdf22a00889cc8911b5515ce042f029fa84128cdd5185a0a5d0400c34,1142d5c931a9e38b47b42080567543dcaada01e689f844a2b9f59eaec97968dd,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-007,60fbaca877d592168397c8df48e3e5e3c061fba148ee05b240035516ce8d2e1e,98f2e338e638283dd31496e458bc79b556c768e3b86906cd5e9afcccceb53796,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-008,3ba0ee7b382299ba88dd7dd60c91898df7174531b10e90a3000f2216e2b9fe2c,64681c2774cc6824b25946b684dd8e7500f042113be24e08a8bb7f3707d68230,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-009,b91bb37de4505304fb650454a36202a803c05eeb83d06023292c9015cc3d8845,15f7a19ed6a7630340b8f00ae7768f0e6511ecc8d89bbbada83d5f34b565e3ec,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L8-010,3d2b8d6a5bf57dd63273e5c4db4f803ff64ca05c0fcf7c8f38b2be11079ec43b,e6b8f7ad0a361b657871e7f666efd624229e42dff8236138e96ba2795087f7b3,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L9-008,0e59a52f0f85b80ff6adc8693899cc7b54b4f4f1385da73a7effa04a61c96e37,b5919837d1eb26ff3325b1cd4ff6f2c841fa04392b34d4d0680e31ef229cfed2,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-009,efb4bdda60be33ab998ec2d7e5547c6194555614bf274096feb2a2198e8f5341,cd64ac52e6cb5ef2708c38cb0810df02681eab2fefbe0a94c583ea8d048e3b86,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-010,35bd2dbb753d4511dbcfe6df48fc09d1f3cbfef9182921b450e0bd54faf77411,9bc9447a9c2ef0a8541b95e55fc5ef58e4cb9cc70e2d2bfc98ad2e3ebd73ffa4,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-011,01f1a2356d8cb6f02eb142ec7f496d104bd497f135bf7528b88e6e06e51f85ae,4c70c085baa3ae044b5ec8a93fcd97b9035728bf8ae592318ce84b867d35032f,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-012,dd27301e12461029e4f5dd0259313b70729bfa58cab86cfc2a5ee4c0da228add,e645f4a3732ecf86591df0b969cd22944639cb4085e22eb8bf3010a36282b76e,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-013,e7553d00d75e0b096af9998525004d81410adb212a8fce4c0ead952769160eb6,b3b309841db1ee9bf8288547bd4a196014c038423b89bd022b15885f267c5e98,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-014,308baba8f79820158629c426a010af6bf0bed57ffc09201807f07f76b175a92b,147b0303187f0fd7c909ac2b684ca481111ab1827828931171b7f02c976a7391,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-015,af2e4fba10c2b7f4337aa61150d3f43c1313402855cabd88a3ef4c4eb123c70a,88e5d046562b2d67b38e18346f661fdfc4951feb4b458e85b3f94afbc7e3b0b5,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-016,bd16137f6633b061f18c235e21da210876100b02cf51da7414dbdf2c32457d04,f70369129cf040b19ddebe02bc71ca9e2524fae38baad3fe5d2096be211bf7b6,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-017,bb87c3001e821694ad18f65d5050eef4f4a478bc732e97c0b37c7c2fc773fd8b,12002e135390c9a7b2f2883cb4808b14e55635ce6d3b48343a927fef853dc3b6,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-018,be385b011a9f06cef20722c03b50210ab2d5d953b32e6f858623640837eac953,6d96a05a08dca3e11f92d96d334190bedc8194afb21dc8eec89bcd75eab19df6,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-019,bfdc2813b35ac31887f50f292a275bea973b5a396362a646ee8b839064a6faed,1d5bf0115c29d575275fad65c939d637952f600e5b514e31d22bd42a94906659,PARTIAL,L9,L9,0,exact_duplicate_prompt_x3; underivable_required_labels:rejected_routes[]
SB-L9-020,de2299d4a2fc684b75e406c5d467f3835f18d646290812a6c0e8ade9a10e764e,0d0e94b045f979902333e2b2ba96db3a66c01d76ae866b982f85a3f94dfdeea2,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-021,913f7e861732ff06e26e9ad6baeb92ba59e315978b125c7f9117a11116993ce7,9aac02d9df60e6bf1ee8d839cecb22c70924e64bb064756356d85d47d43be8b0,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-022,96014f8b2ffaf779b8a2ec8e7add4211026fd0e7f56e076341bcb4110cafc3b6,6ebc0ff780cd091ddf0643240f3282ceaa49f4540b2793eaad04d8d7a1f4e33b,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-023,c750403a30823bcaede1fd6f3d24d3f911027578c7db963f40a51bc7cd19455d,69a8ebe3b070aa436eb4c987ef8c2958bd5b23a953e9e172b441b01d9d080bd4,PARTIAL,L9,L9,0,exact_duplicate_prompt_x2; underivable_required_labels:rejected_routes[]
SB-L9-024,6ca4c45d02ba47aaae5797212095d15ccbf7b277df09fc5be6b2200b940b5d69,61b39586926f7245b9024b2f4083e390d080ecf2dbb90e0c51fabcb4b32d83d1,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-025,67e24f330cc0afa5ba665e9a9207f9240d510be77e75e2a3d0ce6afad364211d,c1af9e3652eb4cac6c9015897c42be09cdffbe0f9aede550492df145bf062864,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-026,de722b615a5897641a8146fcd90268c11943c74cfc0322ecd31afe237b77d551,efc2eedff2242968a09c3299ea6002ebe2f0c115535322f558beb7c492358c34,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-027,5a97153daf669bd113cbed08e1adda77cc8787d33c64410f635e7673a6b858c6,5debef890f0e4ce3453d2d30a63e41cf8c31e0973bb5ac7fa7ddadb1e9ad09a4,PARTIAL,L9,L9,0,exact_duplicate_prompt_x3; underivable_required_labels:rejected_routes[]
SB-L9-028,dd45ab3811ba6b734fb212c491933f6a5c5687a6ce28bee66e5411fe6f3bf79b,9dbca2bb3fbcd64566868f2b923306d30d6c4e9ad30fecc945da30e6c317d2ec,PARTIAL,L9,L9,0,underivable_required_labels:decision|chosen_strategy|rejected_routes[]
SB-L9-029,97e88369e29cb57e463233dcb26fcf602ae126eeff74385f459a11ae87f459c8,a90e25c7ddfe119046ab2a11e6b90781a8d74b17cf1542c76c140abc9bc40361,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-030,c9eccb967a4246cf15e71537d421f7ef358b35fbaafa94e65c03dc5413d00af8,22b7131a4ffdc94f9bfb6acf19f2f1b6627e87d3e5b9909b2e81c1e5c318cc4f,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-031,0d1e2508facd23dab6efb64f952576b91d3c31b028dad9a6e1405060c48601cc,adc68eae6ac44fe98fe923c493a321c5783c09cbe0f4cfb103340bb54dc39dfc,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-032,214e6490e0c67c7c380e8cd539c186a2211545870e1d334a3f52e900084ed307,7094094d86a269ab5627eec3d635b05a5ea3b57fc48f717df54448e6c08014c0,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-033,90b6a9f8f516dbcf5f07c8e92f216e9e2b23084977a7458895f08b2874c84b2b,10d648196169ec77a45131e2be8de57297b7bb4b1c203dc292e756ea1db86b3d,PARTIAL,L9,L9,0,exact_duplicate_prompt_x2; underivable_required_labels:rejected_routes[]
SB-L9-034,31ff032d17f5abb3235d8c525ada91b891cbe5ae3fd4c547c5889c62c1c6d47a,a8a80d279fd7d24f27c5818195add4b25862bbb28b6c8885c1719e38efed5cf8,PARTIAL,L9,L9,0,underivable_required_labels:decision|chosen_strategy|rejected_routes[]
SB-L9-035,7b985d2423f8b1f44f3ba6d28c4036183dbed3f2ad8970969f1f6406dd4275dc,124f2218e61da48d22a745a35610511c7eb112d69f02d5c8e055cab780c65cea,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-036,e397fc5d3c6739487cb01df06b45ef46ebf62312a50ee6440b8f431cad3f60ec,7dd9b372eefa6c7e457e3c68ca2f0c9a74c6c2f0c89309a30bd5ac3c0109a50f,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-037,790e75adb1c5a7c6eef39aa661784f03e97e15b3089dcd7bd98ca79c74e077da,143748b760de4ccc97df06088a377a3de819a7e5287c6e375f031b1c013dcfff,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-038,b7c5455e300e346478c9291dccacf79465afc672113dc5ee786cfea4fdf423c8,2f6f38d75103481233896dbc7625feb11e50897c3814093bf3bb0dbf8afb4b6c,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-039,c9db8d4b5dab49fd8096d2387e89f68bdc2a132157c1477653189ecbd9c0d659,a912c8c553959ae3b6db476bf881794eae06edf7e6dc46486c14ba78cabaa761,PARTIAL,L9,L9,0,exact_duplicate_prompt_x2; underivable_required_labels:rejected_routes[]
SB-L9-040,249697aa9aa8ea57b611ebe7bf101b2ca09d5ae88fcbad37b7cd3be4f84127ba,02b85991a90fa2c04c2938a03cbc63d42b28b3725da3fbf988ded8ad4f72b9dc,PARTIAL,L9,L9,0,underivable_required_labels:decision|chosen_strategy|rejected_routes[]
SB-L9-041,a9d244001c9940a983d8bd1ea8eff5e524281c493a304285b80477fbdeb0d000,0d5a6abfca339c1cd5712d2b245a23f3e3725c64d0d609f83538edec3d380da3,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-042,4f06e3f610739d4e5b5f91471a85ff6368f59a3ded83e8e4ff09a7cad99b00bf,439bc935c21b4b9ca5b91516858f7995b4afda847df115d8ccd4ae1a8c747b4d,PARTIAL,L9,L9,0,exact_duplicate_prompt_x2; underivable_required_labels:decision
SB-L9-043,cd61b094ee38f790331ce6799396551774e8acff409068023a02c1643acaa8f0,a9f7606eb066e7f736ee3393d315056cb9ca6a009bf73c468a86408d41cae585,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-044,aad2f0c0f68d68b0a9b67d7b1ef99adc5fe08a26bc72f69845ccd3e8500ab9e6,adde2d8ed560ec62a265897cb77c76e8d3f5a873a8af15edd6feded136ae2f57,PARTIAL,L9,L9,0,underivable_required_labels:self_check[]
SB-L9-045,674c3a43224cf0c99ec40789d3c994d9c01e1435ebcaf27ccdde1391fe39f4a1,889b550037d62813361cbdb7b1475807eead36c7618d5051f3de9c320f384207,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-046,0f2ec74c2c7d6bee36de042c78b0dd6d0a76a477345f9aac6d2ecb893906cafa,4c08074b989a4609a6986170719b1c37749fa0a6162dfe85a082f217a6451772,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-047,29303bde1f1818b5755ae4a1a2a8325e952c91beb27d880638cbeb8add0276b0,0f0ab4e20a6be52c9103575bc64348e588fb6ad464ecd16c805cb1a82892e0d7,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-048,f28b447fdb70edd4968cb08913eda5166a76987a210ea44672bf8d0f64b4b1f4,77e75eb9d3b808caf99df09f3554a202a0d92d49d254565a81f7e7e07396a8f7,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-049,cf95c6a9f2101adb235df48e4d4b24c0e11d303cb296980e4c507b9813f57a46,79fe0c7990dd590b17c1b009ae68411746e982c8c79de644ef0243080965c9b6,PARTIAL,L9,L9,0,underivable_required_labels:decision|chosen_strategy|rejected_routes[]
SB-L9-050,9be5ff3db9da6bc17df066f5a7e6d467f67e53cd3cecbe6646563370d0ff1c05,b127186d7705474094465d0523d34f2f4fdf53d13ecffea4e758752e7bb8296f,PARTIAL,L9,L9,0,underivable_required_labels:decision|rejected_routes[]
SB-L9-051,aedf1729b32ce93c3cec72cfa2f91a6aff86ac4f3f6961fd88625a9cdee49e0c,6f1059851a1a836cda8a0a5606ab57f982e33bb91c57e2c1ff5a64ea13c730ab,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-052,07e9b77cf89defcb5df0510c064e5ad7f402dcc2e5031aa183d99a1142b4d863,f3300d93f86914f888dfc8585e2955be8d7c1d9b693fd3383c6f37e5b669bbac,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-L9-053,48098b01c1c2eeb0cadf3a5b7ceb4f85296279003a0b2148edf9650cb502fe7f,473589601b5438dc3dc883293d4a2cacb423a2009465063f5eb1729d2200e3ff,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]|self_check[]
SB-L9-054,9f86e7be5a3c90420c6810f8bc7e57439589d1b4a2da5b6a1c207aaeb460d4ed,28930b6f61df0a018b591943e5bbceca5e13f5d03bd04c5b25f97dbc53ee4fbf,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-055,78ec4f2f59eea111615e0fc489cc34f5b87dcd7e876ac578d136f53b592ff4dd,54425c7e66a63a5b0c002b47f990c3d7a0337285a7071f6f0cae93f7f61841c2,PARTIAL,L9,L9,0,underivable_required_labels:decision
