ID,tier_tagged,tier_observed,tier_variance,answer_key_verdict,primary_domain,capability_tag,scenario_family,feasibility_trap,notes
SB-L4-001,L4,L4,0,VERIFIED,Shorting / borrow / margin / locates,judgment_risk_augmentation,borrow_cost_calendar,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-004,L10,L10,0,VERIFIED,Portfolio risk / rebalancing,judgment_risk_augmentation,multi_asset_drawdown_hedge,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-005,L10,L10,0,VERIFIED,Spot equities / ETFs,execution_action_quality,etf_sector_rebalance_t_plus_one,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-006,L10,L10,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,early_assignment_dividend_risk,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-007,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,cfd_margin_regional_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-002,AGI,AGI,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,locate_recall_options_substitution,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-003,AGI,AGI,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-004,AGI,AGI,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,span_margin_calendar_spread,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-005,AGI,AGI,0,VERIFIED,Portfolio risk / rebalancing,judgment_risk_augmentation,multi_asset_drawdown_hedge,false,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-006,AGI,AGI,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-007,AGI,AGI,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,commodity_roll_basis_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-008,AGI,AGI,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,event_vol_assignment_constrained,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L1-002,L1,L1,0,VERIFIED,Spot equities / ETFs,execution_action_quality,etf_sector_rebalance_t_plus_one,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L1-003,L1,L1,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,early_assignment_dividend_risk,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L2-002,L2,L2,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,twap_slippage_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L2-003,L2,L2,0,VERIFIED,Spot equities / ETFs,execution_action_quality,equity_order_ticket,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L2-004,L2,L2,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L3-002,L3,L3,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,commodity_roll_basis_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L3-003,L3,L3,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,risk_budget_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L4-002,L4,L4,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,order_book_liquidity_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L4-003,L4,L4,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,cfd_margin_regional_constraint,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L4-004,L4,L4,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,corporate_action_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L4-005,L4,L4,0,VERIFIED,Spot equities / ETFs,execution_action_quality,market_on_close_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L5-002,L5,L5,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L5-003,L5,L5,0,VERIFIED,Spot equities / ETFs,execution_action_quality,etf_sector_rebalance_t_plus_one,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L5-004,L5,L5,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,early_assignment_dividend_risk,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L5-005,L5,L5,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,span_margin_calendar_spread,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L6-002,L6,L6,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,short_locate_failure,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L6-003,L6,L6,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,cfd_margin_regional_constraint,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L6-004,L6,L6,0,VERIFIED,Spot equities / ETFs,judgment_risk_augmentation,opening_auction_limit,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L6-005,L6,L6,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L7-002,L7,L7,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L7-003,L7,L7,0,VERIFIED,Shorting / borrow / margin / locates,judgment_risk_augmentation,borrow_cost_vs_trade_edge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L7-004,L7,L7,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L7-005,L7,L7,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,forward_vs_spot_payment,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-002,L8,L8,0,VERIFIED,Spot equities / ETFs,judgment_risk_augmentation,equity_order_ticket,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-003,L8,L8,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-004,L8,L8,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,commodity_roll_basis_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-005,L8,L8,0,VERIFIED,Portfolio risk / rebalancing,judgment_risk_augmentation,risk_budget_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-006,L8,L8,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,short_locate_failure,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-007,L8,L8,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-008,L8,L8,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-009,L8,L8,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,regional_market_holiday,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-010,L8,L8,0,VERIFIED,Spot equities / ETFs,execution_action_quality,equity_order_ticket,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-008,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-009,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-010,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,twap_slippage_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-011,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,fx_settlement_mismatch,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-012,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-013,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-014,L9,L9,0,VERIFIED,Listed options strategy / Greeks,judgment_risk_augmentation,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-015,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-016,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-017,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-018,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-019,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-020,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-021,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-022,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-023,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-024,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,multi_asset_drawdown_hedge,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-025,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-026,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,forward_vs_spot_payment,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-027,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,ex_dividend_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-028,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,execution_action_quality,borrow_recall_margin_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-029,L9,L9,0,VERIFIED,Listed options strategy / Greeks,judgment_risk_augmentation,early_assignment_dividend_risk,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-030,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,span_margin_calendar_spread,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-031,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,beta_dollar_rebalance,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-032,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-033,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-034,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,regional_market_holiday,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-035,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,no_trade_invalid_route,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-036,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,etf_sector_rebalance_t_plus_one,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-037,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,early_assignment_dividend_risk,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-038,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,span_margin_calendar_spread,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-039,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,beta_dollar_rebalance,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-040,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,borrow_cost_vs_trade_edge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-041,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-042,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,forward_vs_spot_payment,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-043,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,ex_dividend_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-044,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,borrow_recall_margin_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-045,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,opening_auction_limit,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-046,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-047,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-048,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,multi_asset_drawdown_hedge,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-049,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,hard_to_borrow_margin_recall,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-050,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,twap_slippage_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-051,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,fx_settlement_mismatch,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-052,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,t_plus_one_settlement_sequence,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-053,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,unsupported_product_permission,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-054,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,market_on_close_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-055,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,covered_call_assignment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-056,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,futures_roll_calendar,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-057,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,cross_asset_var_liquidity_triage,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-058,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,locate_recall_options_substitution,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-059,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,order_book_liquidity_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-060,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,cfd_margin_regional_constraint,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-061,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,corporate_action_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-062,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,session_permission_rejection,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-063,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,equity_order_ticket,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-064,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-065,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,commodity_roll_basis_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-066,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,risk_budget_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-067,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,short_locate_failure,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-068,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-069,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-070,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,regional_market_holiday,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-071,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,no_trade_invalid_route,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-072,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,etf_sector_rebalance_t_plus_one,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-073,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,early_assignment_dividend_risk,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-074,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,span_margin_calendar_spread,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-075,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,beta_dollar_rebalance,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-076,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,borrow_cost_vs_trade_edge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-077,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-078,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,forward_vs_spot_payment,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-079,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,ex_dividend_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-080,L9,L9,0,VERIFIED,Feasibility / rejection / no-trade traps,judgment_risk_augmentation,borrow_recall_margin_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-081,L9,L9,0,VERIFIED,Spot equities / ETFs,execution_action_quality,opening_auction_limit,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-008,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,twap_slippage_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-009,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,order_book_liquidity_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-010,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-011,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-012,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,twap_slippage_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-013,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,fx_settlement_mismatch,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-014,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-015,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-016,L10,L10,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,exercise_assignment_roll_decision,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-017,L10,L10,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-018,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-019,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-020,L10,L10,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,regional_market_holiday,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-021,L10,L10,0,VERIFIED,Listed options strategy / Greeks,judgment_risk_augmentation,covered_call_assignment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-022,L10,L10,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_roll_calendar,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-023,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,auction_session_constraint,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-024,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,forward_vs_spot_payment,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-025,L10,L10,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,ex_dividend_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-026,L10,L10,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-027,L10,L10,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,commodity_roll_basis_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-028,L10,L10,0,VERIFIED,Portfolio risk / rebalancing,execution_action_quality,risk_budget_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-029,L10,L10,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,short_locate_failure,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-030,L10,L10,0,VERIFIED,Execution / liquidity / microstructure,judgment_risk_augmentation,invalid_route_session_trap,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-031,L10,L10,0,VERIFIED,Spot FX / CFDs / multi-currency,execution_action_quality,multi_currency_cash_buffer,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-032,L10,L10,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,regional_market_holiday,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-033,L10,L10,0,VERIFIED,Spot equities / ETFs,judgment_risk_augmentation,equity_order_ticket,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-034,L10,L10,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
