question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L6-004,6,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.784,3845,0,0.576,5230,mismatch_fieldname,1,0.840,4770,,1,0.863,3215,,1,0.856,2165,
L7-002,7,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.562,3059,1,0.830,3800,,1,0.830,3678,,0,0.276,3237,,0,0.312,1519,
L8-004,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.779,14788,1,1.000,45094,,1,0.744,4865,,1,0.907,5433,,0,0.467,3759,
L8-006,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.777,6541,0,0.279,14453,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname,1,0.891,5812,,1,1.000,3789,,1,0.940,2108,
L8-008,8,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.356,18266,1,0.713,59212,l8_008_total_notional_mismatch,0,0.000,4853,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan,1,0.713,5083,l8_008_total_notional_mismatch,0,0.000,3916,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan
L8-009,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.871,4875,0,0.484,2711,,1,1.000,7486,,1,1.000,3237,,1,1.000,6067,
L8-010,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.739,6808,1,0.826,18418,,1,0.732,4029,,1,0.738,3252,,0,0.660,1531,
L9-009,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2415,1,1.000,1605,,0,0.000,971,l9_expected_value_mismatch,0,0.000,3810,l9_expected_value_mismatch,0,0.000,3274,l9_expected_value_mismatch
L9-016,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2097,1,1.000,2374,,0,0.000,1361,l9_expected_value_mismatch,0,0.000,3564,mismatch_fieldname,0,0.000,1090,l9_expected_value_mismatch
L9-020,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1798,1,1.000,1607,,1,1.000,1848,,1,1.000,1198,,0,0.000,2540,l9_expected_value_mismatch
L9-024,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2582,0,0.000,3574,l9_expected_value_mismatch,1,1.000,2432,,0,0.000,3321,mismatch_fieldname,0,0.000,999,l9_expected_value_mismatch
L9-025,9,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2684,0,0.000,2691,l9_expected_value_mismatch,1,1.000,3760,,1,1.000,3775,,0,0.000,509,l9_expected_value_mismatch
L9-032,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,2305,1,1.000,2027,,1,1.000,1638,,0,0.000,2105,mismatch_fieldname,0,0.000,3451,l9_expected_value_mismatch
L9-036,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,2228,1,1.000,3387,,1,1.000,1355,,1,1.000,2957,,0,0.000,1212,l9_expected_value_mismatch
L9-040,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3043,1,1.000,2652,,1,1.000,4019,,1,1.000,2875,,0,0.000,2624,l9_expected_value_mismatch
L9-044,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1561,1,1.000,1523,,1,1.000,2070,,1,1.000,880,,0,0.000,1770,l9_expected_value_mismatch
L9-047,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1262,0,0.000,627,l9_expected_value_mismatch,1,1.000,1855,,0,0.000,1237,l9_expected_value_mismatch,0,0.000,1328,l9_expected_value_mismatch
L9-048,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,3421,1,1.000,6692,,1,1.000,2283,,0,0.000,3296,mismatch_fieldname,0,0.000,1414,l9_expected_value_mismatch
L9-049,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,8293,1,1.000,24578,,1,1.000,3946,,0,0.000,2815,l9_expected_value_mismatch,0,0.000,1831,l9_expected_value_mismatch
L9-051,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2824,1,1.000,1452,,0,0.000,2800,l9_expected_value_mismatch,0,0.000,4421,l9_expected_value_mismatch,0,0.000,2623,l9_expected_value_mismatch
L9-052,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1610,1,1.000,2445,,1,1.000,890,,1,1.000,1459,,0,0.000,1646,l9_expected_value_mismatch
L9-060,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1766,1,1.000,1263,,1,1.000,1567,,1,1.000,2904,,0,0.000,1331,l9_expected_value_mismatch
L10-002,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2868,0,0.000,5116,l10_expected_value_out_of_range,1,1.000,2966,,1,1.000,1623,,0,0.000,1767,l10_expected_value_out_of_range
L10-003,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3877,0,0.000,3078,l10_expected_value_out_of_range,1,1.000,7327,,0,0.000,3598,mismatch_fieldname,0,0.000,1505,l10_expected_value_out_of_range
L10-005,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.425,4240,0,0.000,1251,l10_expected_value_out_of_range,1,1.000,7007,,1,0.700,2014,,0,0.000,6688,l10_expected_value_out_of_range
L10-008,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.675,3659,1,1.000,1413,,0,0.000,4678,mismatch_fieldname,1,0.700,6672,,1,1.000,1871,
L10-012,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3438,1,1.000,2392,,1,1.000,4403,,1,1.000,4975,,0,0.000,1980,l10_expected_value_out_of_range
L10-013,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2339,0,0.000,2281,l10_expected_value_out_of_range,0,0.000,4210,mismatch_fieldname,0,0.000,1782,l10_expected_value_out_of_range,1,1.000,1081,
L10-016,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,3154,1,1.000,2393,,0,0.000,5154,mismatch_fieldname,1,1.000,3913,,1,1.000,1156,
L10-019,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.350,3781,0,0.400,4498,,0,0.000,3538,mismatch_fieldname,0,0.000,4903,l10_expected_value_out_of_range,1,1.000,2184,
L10-020,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1554,0,0.000,525,l10_expected_value_out_of_range,1,1.000,3187,,0,0.000,1594,l10_expected_value_out_of_range,0,0.000,909,l10_expected_value_out_of_range
L10-021,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2979,1,1.000,5348,,0,0.000,3190,mismatch_fieldname,0,0.000,2378,l10_expected_value_out_of_range,0,0.000,999,l10_expected_value_out_of_range
L10-022,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2443,0,0.000,1920,l10_expected_value_out_of_range,1,0.700,2265,,0,0.000,4589,l10_expected_value_out_of_range,0,0.000,997,l10_expected_value_out_of_range
L10-024,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.500,2597,0,0.000,4122,l10_expected_value_out_of_range,0,0.000,3264,l10_expected_value_out_of_range,1,1.000,1872,,1,1.000,1129,
L10-025,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2532,0,0.000,2682,l10_expected_value_out_of_range,0,0.000,3079,l10_expected_value_out_of_range,0,0.000,3493,l10_expected_value_out_of_range,1,1.000,872,
L10-026,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,4182,1,1.000,2571,,0,0.000,3734,mismatch_fieldname,1,1.000,5447,,0,0.000,4976,l10_expected_value_out_of_range
L10-027,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.500,2510,1,1.000,2682,,0,0.000,2714,mismatch_fieldname,0,0.000,2274,mismatch_fieldname,1,1.000,2370,
L10-028,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,1426,1,0.700,1610,,0,0.000,2114,l10_expected_value_out_of_range,0,0.000,868,l10_expected_value_out_of_range,0,0.000,1112,l10_expected_value_out_of_range
L10-029,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.450,4045,0,0.400,11199,,0,0.000,2191,l10_expected_value_out_of_range,0,0.400,1274,,1,1.000,1516,
L10-032,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2873,1,0.700,3936,,0,0.000,3701,mismatch_fieldname,0,0.000,2760,l10_expected_value_out_of_range,0,0.000,1096,l10_expected_value_out_of_range
L10-036,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,4487,0,0.000,12945,l10_expected_value_out_of_range,0,0.000,2333,l10_expected_value_out_of_range,1,1.000,1488,,0,0.000,1183,l10_expected_value_out_of_range
L10-037,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.425,3418,1,0.700,3066,,1,1.000,4074,,0,0.000,4863,l10_expected_value_out_of_range,0,0.000,1670,l10_expected_value_out_of_range
L10-040,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,2355,1,1.000,2718,,0,0.000,2663,mismatch_fieldname,1,1.000,1975,,0,0.000,2064,l10_expected_value_out_of_range
L10-045,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,2393,1,1.000,3577,,1,1.000,3375,,0,0.000,2223,mismatch_fieldname,1,1.000,395,
L10-046,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,4010,1,1.000,6688,,1,1.000,4905,,0,0.000,2645,l10_expected_value_out_of_range,1,1.000,1802,
L10-047,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2916,0,0.000,2101,l10_expected_value_out_of_range,0,0.000,5928,mismatch_fieldname,0,0.000,1024,l10_expected_value_out_of_range,1,1.000,2611,
L10-048,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2465,0,0.000,599,l10_expected_value_out_of_range,0,0.000,5552,mismatch_fieldname,0,0.000,2390,l10_expected_value_out_of_range,1,1.000,1320,
L10-049,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.600,2617,0,0.000,2534,l10_expected_value_out_of_range,0,0.400,4516,,1,1.000,1292,,1,1.000,2124,
L10-059,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,1660,1,1.000,1847,,0,0.000,1549,mismatch_fieldname,1,1.000,2279,,1,1.000,965,
L10-068,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,2607,0,0.000,1673,l10_expected_value_out_of_range,0,0.000,3661,l10_expected_value_out_of_range,1,0.700,3321,,0,0.000,1773,l10_expected_value_out_of_range
L10-069,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,1415,0,0.000,1197,l10_expected_value_out_of_range,0,0.000,1570,l10_expected_value_out_of_range,1,0.700,1943,,0,0.000,948,l10_expected_value_out_of_range
AGI-015,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.528,4177,0,0.556,4352,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:expected_eth_received,1,0.778,4959,agi_validation_failed:intent|agi_validation_failed:effective_price,0,0.667,3130,agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:effective_price,0,0.111,4266,agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Velodrome_Optimism|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:venue_allocation_usd.Kraken|agi_validation_failed:venue_allocation_usd.Curve_ETH|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:expected_eth_received|agi_validation_failed:effective_price
AGI-030,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.444,4593,0,0.000,5158,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,1,0.778,3550,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,0,0.556,3799,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd,0,0.444,5864,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:allocation_usd.Curve_3pool|agi_validation_failed:allocation_usd.GMX_GLP
AGI-063,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.591,3499,1,0.727,4108,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,0,0.545,2699,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.545,4740,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.545,2450,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check
AGI-065,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.614,6632,1,0.727,11781,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,0,0.545,4526,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:self_check,0,0.636,5425,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:self_check,0,0.545,4796,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check
AGI-088,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.432,5116,0,0.636,7886,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,1,0.727,2200,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,0,0.182,3259,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,0,0.182,7117,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check
AGI-092,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.583,4163,0,0.222,3993,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd|missing_field|missing_field|missing_field|missing_field,1,0.778,2828,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,0,0.667,4278,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,0,0.667,5551,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd
