question_id,model,pass,score,confidence,pass_models_for_question,pass_count_for_question,failure_reasons,raw_excerpt
AGI-092,meta-llama/llama-3.1-8b-instruct,0,0.667,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""maximize risk-adjusted 90-day dollars"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000 }, ""expected_net_apy_pct"": 8.5, ""expected_90d_profit_usd"": 108000, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocate $100,000 across Aave_USDC, Curve_3pool, Ethena_USDe, and GMX_GLP, with Aave_USDC and Curve_3pool providing liquidity within 48 hours, and Ethena_USDe and GMX_GLP providing higher APYs with slower exit windows."" }"
AGI-093,meta-llama/llama-4-maverick,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:liquidity_48h_usd,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified_restaking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.89, ""expected_90d_profit_usd"": 1945.07, ""liquidity_48h_usd"": 45000, ""reasoning"": ""Optimized for liquidity and APY, avoiding tier with adversarial queue""}"
AGI-024,meta-llama/llama-3.3-70b-instruct,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""market"", ""asset"": ""ABC"", ""size"": 50000, ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""confirm fill"", ""chosen_strategy"": ""dark and hidden public execution"", ""execution_sequence"": [ ""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden public iceberg"" ], ""venue_fills"": { ""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000 }, ""hidden_public_qty"": 7000, ""expected_avg_price"": 1.2065, ""expected_slippage_pct"": 0.54, ""self_check"": ""copy-trading bot not triggered"", ""reasoning"": ""fill largest dark and hidden public venues first to minimize s"
AGI-024,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""ABC"", ""size"": ""50000"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""hidden_public"", ""RFQ_A""], ""venue_fills"": {""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000}, ""hidden_public_qty"": 7000, ""expected_avg_price"": 1.20705, ""expected_slippage_pct"": 0.5875, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and slippage""}"
AGI-025,meta-llama/llama-3.3-70b-instruct,0,0.636,0.80,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""chosen_strategy"": ""hybrid"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8223, ""expected_slippage_pct"": 0.41, ""self_check"": ""copied-flow trigger not activated"", ""reasoning"": ""fill largest private venues first, then hidden public to avoid repricing"" } ```"
AGI-025,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""RHO"", ""size"": ""80000"", ""unit"": ""RHO"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""chosen_strategy"": ""layered execution"", ""execution_sequence"": [""CEX_Y"", ""hidden_public"", ""Dark_RFQ"", ""RFQ_A""], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8225, ""expected_slippage_pct"": 0.427, ""self_check"": true, ""reasoning"": ""Layered execution to avoid copy bot: CEX_Y (22k), hidden public (9k), Dark_RFQ (25k), RFQ_A (24k). Total: 80k RHO. Average price = (22000*0.8218 + 9000*0.8205 + 25000*0.8229 + 24000*0.8242)"
AGI-026,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": ""120,000"", ""unit"": ""KAP"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""hidden_public"", ""CEX_Y""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.92815, ""expected_slippage_pct"": 0.37, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and slippage"" }"
AGI-065,meta-llama/llama-4-scout,0,0.636,1.00,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:self_check,"{ ""intent"": ""swap"", ""order_type"": ""cross-venue"", ""asset"": ""SOL"", ""size"": ""2000000"", ""unit"": ""usdc"", ""risk_controls"": {}, ""chosen_strategy"": ""sequential"", ""venue_allocation_usd"": { ""Binance"": 550000, ""Jupiter_Solana"": 450000, ""OTC_Circle"": 350000, ""Coinbase"": 300000, ""Uniswap_Arbitrum"": 0 }, ""largest_visible_clip_usd"": 550000, ""expected_asset_received"": 13333.33, ""effective_price"": 149.85, ""self_check"": true, ""reasoning"": ""sequential execution via Binance, Jupiter_Solana, OTC_Circle, Coinbase to avoid large visible clip"" }"
AGI-086,meta-llama/llama-4-scout,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential execution"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": { ""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000 }, ""hidden_public_qty"": 7000, ""expected_avg_price"": 1.2064, ""expected_slippage_pct"": 0.0333, ""self_check"": true, ""reasoning"": ""sequential execution to avoid triggering copy-trading bot, utilizing dark pools and hidden public iceberg for best price and minimal slippage"" }"
AGI-087,meta-llama/llama-3.3-70b-instruct,0,0.636,0.80,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""chosen_strategy"": ""minimize_slippage"", ""execution_sequence"": [ ""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public"" ], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 0, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8223, ""expected_slippage_pct"": 0.41, ""self_check"": ""copy_bot_not_triggered"", ""reasoning"": ""fill largest private venues first to minimize public footprint and slippage"" } ```"
AGI-087,meta-llama/llama-4-maverick,0,0.636,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""RHO"", ""size"": ""80000"", ""unit"": ""RHO"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""chosen_strategy"": ""layered execution"", ""execution_sequence"": [""CEX_Y"", ""hidden_public"", ""Dark_RFQ"", ""RFQ_A""], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9000, ""expected_avg_price"": 0.8227, ""expected_slippage_pct"": 0.45, ""self_check"": true, ""reasoning"": ""Layered execution to avoid copy bot: CEX_Y (22k), hidden public (9k), Dark_RFQ (25k), RFQ_A (24k). Total: 80k RHO. Average price calculated from venue fills."" }"
AGI-088,meta-llama/llama-3.3-70b-instruct,0,0.636,0.80,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""chosen_strategy"": ""minimize_slippage"", ""execution_sequence"": [ ""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public"" ], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.927, ""expected_slippage_pct"": 0.016, ""self_check"": ""copy-bot trigger not activated"", ""reasoning"": ""fill largest internalizer and dark RFQs first to minimize slippage"" } ```"
AGI-002,meta-llama/llama-4-maverick,0,0.625,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence,"{ ""intent"": ""buy"", ""order_type"": ""complex"", ""asset"": ""ALT"", ""size"": 25000, ""unit"": ""ALT"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""chosen_strategy"": ""split venues to minimize slippage and avoid triggering DEX-X bot"", ""execution_sequence"": [""CEX-Y"", ""Dark RFQ-B"", ""RFQ-A""], ""venue_fills"": { ""CEX_Y"": 8000, ""Dark_RFQ_B"": 10000, ""RFQ_A"": 7000 }, ""expected_avg_price"": 2.4722, ""expected_slippage_pct"": 0.702, ""reasoning"": ""CEX-Y for 8k ALT at $2.468 + 0.12% fee = $2.471; Dark RFQ-B for 10k ALT at $2.472; RFQ-A for 7k ALT at $2.474 before public sweep"" }"
AGI-060,meta-llama/llama-4-scout,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral short ladder"", ""chosen_strategy"": ""diversified venue allocation"", ""perp_short_allocation_usd"": { ""Binance"": 150000, ""Hyperliquid"": 100000, ""Bybit"": 100000, ""OKX"": 100000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 28.8, ""pnl_30d_usd"": 8640, ""cascade_buffer_pct"": 20, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""Allocated to venues to maximize capacity while maintaining delta-neutrality and resilience to exchange cascade. Weighted APR calculated as (32*150k + 31*100k + 29*100k + 26*100k + 22*50k) / 500k = 28.8%. 30-day PnL estimated as 28.8% * 500k / 12 = 8640. Cascade buffer assumed 20% of total allocati"
AGI-060,meta-llama/llama-3.1-8b-instruct,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral short ladder"", ""chosen_strategy"": ""resilient funding-basis ladder"", ""perp_short_allocation_usd"": { ""Binance"": 150000, ""Hyperliquid"": 100000, ""Bybit"": 100000, ""OKX"": 100000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 29, ""pnl_30d_usd"": -15000, ""cascade_buffer_pct"": 20, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""allocated perp short capacity across venues to maximize resilience, leveraging 1x delta-neutral strategy to survive exchange cascade"" }"
AGI-061,meta-llama/llama-4-maverick,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral short ladder"", ""order_type"": """", ""asset"": ""SOL"", ""size"": """", ""venue"": """", ""venue_name"": """", ""risk_controls"": {}, ""follow_up"": """", ""reasoning"": ""Diversified allocation across top venues to maximize carry while maintaining cascade buffer; allocation weighted by venue capacity and net carry signal"", ""chosen_strategy"": ""diversified short ladder"", ""perp_short_allocation_usd"": { ""Binance"": 120000, ""Bybit"": 120000, ""OKX"": 110000, ""Hyperliquid"": 90000, ""dYdX"": 60000 }, ""leverage"": 1, ""apr_pct"": 30.8, ""pnl_30d_usd"": 4620, ""cascade_buffer_pct"": 50, ""survives_cascade"": true, ""self_check"": true, ""requires_follow_u"
AGI-062,meta-llama/llama-4-maverick,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""hedge"", ""order_type"": ""multi-venue perp short"", ""asset"": ""BTC"", ""size"": ""1"", ""unit"": ""delta-neutral"", ""venue"": ""multi-venue"", ""venue_name"": ""Binance, OKX, Bybit, Hyperliquid, dYdX"", ""risk_controls"": { ""position_size_limit"": ""500000"" }, ""follow_up"": ""monitor funding and basis"", ""reasoning"": ""Diversified short allocation across venues to maximize cascade buffer and net carry"", ""chosen_strategy"": ""diversified perp short"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.3, ""pnl_30d_usd"": 3037.5, ""cascade_buffer_pct"": 50, """
AGI-062,meta-llama/llama-4-scout,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral short ladder"", ""chosen_strategy"": ""venue allocation for resilient funding-basis ladder"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.4, ""pnl_30d_usd"": 7200, ""cascade_buffer_pct"": 15, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""Allocated to venues up to resilient displayed capacity, weighted APR is 24.4%, 30-day PnL is $7200, maintains 15% cascade buffer and 1x leverage."" }"
AGI-111,meta-llama/llama-4-maverick,0,0.615,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,"{ ""intent"": ""hedge"", ""order_type"": ""basis ladder"", ""asset"": ""SOL"", ""size"": ""1x delta-neutral"", ""unit"": ""delta"", ""venue"": ""multi-venue"", ""venue_name"": ""binance, bybit, okx, hyperliquid, dydx"", ""risk_controls"": { ""position_size_limit"": ""500,000"" }, ""follow_up"": ""monitor funding and basis"", ""reasoning"": ""derived from venue capacity and net carry signals"", ""chosen_strategy"": ""multi-venue short ladder"", ""perp_short_allocation_usd"": { ""Binance"": 120000, ""Bybit"": 120000, ""OKX"": 110000, ""Hyperliquid"": 90000, ""dYdX"": 60000 }, ""leverage"": 1, ""apr_pct"": 30.8, ""pnl_30d_usd"": 4620, ""cascade_buffer_pct"": 33.33, ""survives_cascade"": true, ""self"
AGI-057,meta-llama/llama-4-maverick,0,0.600,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:self_check,"{""intent"": ""tax_loss_harvest"", ""order_type"": ""strategy"", ""asset"": ""multi_lot"", ""size"": ""multi_lot"", ""venue"": ""tax_efficient"", ""venue_name"": ""loss_harvesting"", ""risk_controls"": {""position_size_limit"": ""fully_invested""}, ""chosen_strategy"": ""depth_exit"", ""assets_to_sell"": [""LINK"", ""ARB"", ""SOL""], ""sale_sequence"": [""LINK"", ""ARB"", ""SOL""], ""replacement_assets"": {""LINK"": ""LST_beta_basket"", ""ARB"": ""OP_IMX_basket"", ""SOL"": ""JTO_PYTH_basket""}, ""net_tax_benefit"": 20350, ""remaining_unoffset_gains"": 15000, ""self_check"": true, ""follow_up"": ""monitor_replacements"", ""reasoning"": ""sorted lots by exit-depth score; calculated net tax benefit as (22000+15000+18000)*0.37 - (110000+90000+160000)*0.006""}"
