id,tier,base_pass,tuned_pass,base_score,tuned_score,delta,tuned_only,base_only,base_failures,tuned_failures
"AGI-011","AGI","false","false","0","0","0","false","false","missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:withdrawal_sequence|agi_validation_failed:ev_withdraw|agi_validation_failed:ev_stay"
"AGI-012","AGI","false","false","0","0","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd"
"AGI-013","AGI","false","false","0.4444444444444444","0.5555555555555556","0.111","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:remaining_unoffset_gains"
"AGI-014","AGI","false","false","0.5454545454545454","0.5454545454545454","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd"
"AGI-015","AGI","false","false","0.4444444444444444","0.3333333333333333","-0.111","false","false","agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Curve_ETH|missing_field|agi_validation_failed:expected_eth_received|agi_validation_failed:effective_price","agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:venue_allocation_usd.Curve_ETH|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:expected_eth_received|agi_validation_failed:effective_price"
"AGI-021","AGI","false","false","0.42857142857142855","0.42857142857142855","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd"
"AGI-022","AGI","false","false","0.42857142857142855","0.2857142857142857","-0.143","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:risk_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd"
"AGI-023","AGI","false","false","0.42857142857142855","0.42857142857142855","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd"
"AGI-024","AGI","false","false","0.2727272727272727","0.36363636363636365","0.091","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check"
"AGI-025","AGI","false","false","0.2727272727272727","0.2727272727272727","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check"
"AGI-026","AGI","false","false","0.2727272727272727","0.2727272727272727","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:self_check"
"AGI-027","AGI","false","false","0.2857142857142857","0.2857142857142857","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check"
"AGI-028","AGI","false","false","0.2857142857142857","0.2857142857142857","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check"
"AGI-029","AGI","false","false","0.2857142857142857","0.2857142857142857","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check"
"AGI-030","AGI","false","true","0.6666666666666666","0.7777777777777778","0.111","true","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy"
"AGI-031","AGI","false","false","0.3333333333333333","0.6666666666666666","0.333","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:liquidity_48h_usd|agi_validation_failed:allocation_usd.EigenLayer_AVS|agi_validation_failed:allocation_usd.Pendle_PT","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:liquidity_48h_usd"
"AGI-032","AGI","false","false","0.2","0.3","0.1","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd|agi_validation_failed:self_check"
"AGI-033","AGI","false","false","0.5","0.5","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check"
"AGI-034","AGI","false","false","0.5","0.375","-0.125","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check"
"AGI-035","AGI","false","false","0.5","0.25","-0.25","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check"
"AGI-036","AGI","false","false","0.5","0.3333333333333333","-0.167","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price"
"AGI-037","AGI","false","false","0","0.3333333333333333","0.333","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price"
"AGI-038","AGI","false","false","0","0.2857142857142857","0.286","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price|agi_validation_failed:self_check"
"AGI-039","AGI","false","false","0.25","0.125","-0.125","false","false","agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:net_sell_pressure_delta_per_day|agi_validation_failed:expected_12d_price_change_pct|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:vote|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:net_sell_pressure_delta_per_day|agi_validation_failed:expected_12d_price_change_pct|agi_validation_failed:self_check"
"AGI-040","AGI","false","false","0.25","0.125","-0.125","false","false","agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:net_sell_pressure_delta_per_day|agi_validation_failed:expected_12d_price_change_pct|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:vote|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:net_sell_pressure_delta_per_day|agi_validation_failed:expected_12d_price_change_pct|agi_validation_failed:self_check"
"AGI-041","AGI","false","false","0","0.25","0.25","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:net_sell_pressure_delta_per_day|agi_validation_failed:expected_12d_price_change_pct|agi_validation_failed:self_check"
"AGI-042","AGI","false","false","0","0.2222222222222222","0.222","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check"
"AGI-043","AGI","false","false","0","0.2222222222222222","0.222","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check"
"AGI-044","AGI","false","false","0.3333333333333333","0.2222222222222222","-0.111","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check"
"AGI-045","AGI","false","false","0.14285714285714285","0.2857142857142857","0.143","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:completion_minutes|agi_validation_failed:self_check"
"AGI-046","AGI","false","false","0","0.2857142857142857","0.286","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:completion_minutes|agi_validation_failed:self_check"
"AGI-047","AGI","false","false","0.14285714285714285","0.2857142857142857","0.143","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:completion_minutes|agi_validation_failed:self_check"
"AGI-048","AGI","false","false","0.375","0.375","0","false","false","agi_validation_failed:intent|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check"
"AGI-049","AGI","false","false","0.375","0.375","0","false","false","agi_validation_failed:intent|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check"
"AGI-050","AGI","false","false","0.25","0.25","0","false","false","agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check"
"AGI-051","AGI","false","false","0.25","0.375","0.125","false","false","agi_validation_failed:intent|agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:private_sale_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:private_sale_usd|agi_validation_failed:self_check"
"AGI-052","AGI","false","false","0.375","0.625","0.25","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:private_sale_usd|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check"
"AGI-053","AGI","false","false","0.375","0.375","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_stay_value_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:self_check"
"AGI-054","AGI","false","false","0","0.14285714285714285","0.143","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check"
"AGI-055","AGI","false","false","0.5","0.5","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:residual_1d_var_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:residual_1d_var_usd"
"AGI-056","AGI","false","false","0.3333333333333333","0.5","0.167","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:residual_1d_var_usd"
"AGI-057","AGI","false","false","0.5","0.6","0.1","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:self_check"
"AGI-058","AGI","false","true","0","0.7","0.7","true","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check"
"AGI-059","AGI","false","false","0.5","0.6","0.1","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:self_check"
"AGI-060","AGI","false","false","0.6923076923076923","0.6153846153846154","-0.077","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:survives_cascade|agi_validation_failed:self_check"
"AGI-061","AGI","false","false","0.23076923076923078","0.6923076923076923","0.462","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:perp_short_allocation_usd.Binance|agi_validation_failed:perp_short_allocation_usd.Bybit|agi_validation_failed:perp_short_allocation_usd.OKX|agi_validation_failed:perp_short_allocation_usd.Hyperliquid|agi_validation_failed:perp_short_allocation_usd.dYdX|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check"
"AGI-062","AGI","false","false","0.6923076923076923","0.6923076923076923","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check"
"AGI-063","AGI","true","false","0.7272727272727273","0.5454545454545454","-0.182","false","true","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check"
"AGI-064","AGI","true","true","0.7272727272727273","0.7272727272727273","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check"
"AGI-065","AGI","false","true","0","0.7272727272727273","0.727","true","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check"
"AGI-066","AGI","false","false","0.2222222222222222","0.3333333333333333","0.111","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.ARB|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check"
"AGI-067","AGI","false","false","0.4444444444444444","0.4444444444444444","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check"
"AGI-068","AGI","false","false","0.5555555555555556","0.5555555555555556","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check"
"AGI-069","AGI","false","false","0.4444444444444444","0.5555555555555556","0.111","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check"
"AGI-070","AGI","false","false","0.2727272727272727","0.2727272727272727","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.OTC_Tether|agi_validation_failed:exit_allocation_units.Aave_repay|agi_validation_failed:exit_allocation_units.DEX_thin|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.CEX_USDC|agi_validation_failed:exit_allocation_units.Curve_3pool|agi_validation_failed:exit_allocation_units.OTC_Tether|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:self_check"
"AGI-071","AGI","false","false","0.09090909090909091","0.2727272727272727","0.182","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.Binance_convert|agi_validation_failed:exit_allocation_units.Curve_stables|agi_validation_failed:exit_allocation_units.Aave_loop_close|agi_validation_failed:exit_allocation_units.DEX_BSC|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:largest_visible_exit_units|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.Curve_stables|agi_validation_failed:exit_allocation_units.Aave_loop_close|agi_validation_failed:exit_allocation_units.DEX_BSC|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:self_check"
"AGI-072","AGI","false","false","0.18181818181818182","0.36363636363636365","0.182","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.Ethena_redeem|agi_validation_failed:exit_allocation_units.Curve_USDe|agi_validation_failed:exit_allocation_units.OTC_block|agi_validation_failed:exit_allocation_units.DEX_thin|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_allocation_units.Curve_USDe|agi_validation_failed:exit_allocation_units.DEX_thin|agi_validation_failed:expected_recovered_usd|agi_validation_failed:fast_cash_usd|agi_validation_failed:self_check"
