id,derivable,unique,recomputed_ok,issue,fix
SB-AGI-030,ERROR,NON_UNIQUE,false,"Stated rule: assignment rational when dividend > remaining time value. Here dividend 1.30 > time value 0.80, so by the packet's own rule early_assignment_risk must be true and route_a (avoid) selected. Canonical says risk=false, route_b, and derivation asserts '1.3 <= 0.8' which is false. Canonical contradicts section A's stated decision rule.","Either flip canonical to early_assignment_risk=true / route_a / rejected=[route_b], or change the prompt rule to incorporate call moneyness (deep-OTM 190 call vs spot 185 is never exercised) and state that convention explicitly."
SB-AGI-031,VERIFIED,UNIQUE,true,"",""
SB-AGI-032,VERIFIED,UNIQUE,true,"",""
SB-AGI-033,VERIFIED,UNIQUE,true,"",""
SB-AGI-034,VERIFIED,UNIQUE,true,"",""
SB-AGI-035,VERIFIED,UNIQUE,true,"",""
SB-AGI-036,VERIFIED,UNIQUE,true,"",""
SB-AGI-037,VERIFIED,UNIQUE,true,"",""
SB-AGI-038,VERIFIED,UNIQUE,true,"",""
SB-AGI-039,VERIFIED,UNIQUE,true,"",""
SB-AGI-040,VERIFIED,UNIQUE,true,"",""
SB-AGI-041,VERIFIED,UNIQUE,true,"",""
SB-AGI-042,ERROR,NON_UNIQUE,false,"Dividend 1.30 > time value 0.80, so by the packet's own rule early assignment IS rational; correct answer is Route A / risk=true, but canonical says Route B / risk=false. Stated derivation '1.3 <= 0.8' is false. scenario_pnl/worst_case also reflect wrong route (route_a hedge effects differ).","Set selected_route=route_a, early_assignment_risk=true, rejected_routes=[route_b], decision=manage_assignment; recompute scenario_pnl with route_a effect (gap_down -143500, melt_up 55500, range_chop -72000, sector_rotation -60750 happen to coincide since effect values listed are the selected route's; verify hedge-effect assignment). Easier fix: change dividend to <0.80 to keep hold answer."
SB-AGI-043,VERIFIED,UNIQUE,true,"",""
SB-AGI-044,VERIFIED,UNIQUE,true,"",""
SB-AGI-045,VERIFIED,UNIQUE,true,"",""
SB-AGI-046,VERIFIED,UNIQUE,true,"",""
SB-AGI-047,VERIFIED,UNIQUE,true,"",""
SB-AGI-048,VERIFIED,UNIQUE,true,"",""
SB-AGI-049,VERIFIED,UNIQUE,true,"",""
SB-AGI-050,VERIFIED,UNIQUE,true,"",""
SB-AGI-051,VERIFIED,UNIQUE,true,"",""
SB-AGI-052,VERIFIED,UNIQUE,true,"",""
SB-AGI-053,VERIFIED,UNIQUE,true,"",""
SB-AGI-054,ERROR,UNIQUE,false,"Dividend 1.30 EXCEEDS time value 0.80, so by the packet's stated rule early_assignment_risk must be true and route_a selected; canonical says false/route_b. Derivation's '1.3 <= 0.8' is arithmetically false. Scenario PnL also use route_b effects.","Either lower dividend below 0.80 to match route_b, or flip canonical to early_assignment_risk=true, selected_route=route_a, rejected_routes=[route_b], and recompute scenario PnL with route_a hedge effects."
SB-AGI-055,VERIFIED,UNIQUE,true,"",""
SB-AGI-056,VERIFIED,UNIQUE,true,"",""
SB-AGI-057,VERIFIED,UNIQUE,true,"",""
SB-AGI-058,VERIFIED,UNIQUE,true,"",""
SB-AGI-059,VERIFIED,UNIQUE,true,"",""
SB-AGI-060,VERIFIED,UNIQUE,true,"",""
SB-AGI-061,VERIFIED,UNIQUE,true,"",""
SB-AGI-062,VERIFIED,UNIQUE,true,"",""
SB-AGI-063,VERIFIED,UNIQUE,true,"",""
SB-AGI-064,VERIFIED,UNIQUE,true,"",""
SB-AGI-065,VERIFIED,UNIQUE,true,"",""
SB-AGI-066,ERROR,UNIQUE,false,"Strike 210 > spot 205: OTM call, intrinsic 0, time value 0.80, dividend 1.30. Real-world the OTM call is never assigned (canonical risk=false is right), BUT the packet's ONLY stated rule is 'assignment rational when dividend exceeds time value'; applied literally 1.30>0.80 forces risk=true/route_a. Derivation text even claims 'Dividend 1.3 <= time value' which is false. A solver using only A+B reaches the opposite graded labels (risk=true, route_a, reject route_b). Not derivable from A+B without the unstated OTM-never-exercised convention.","State the OTM/ITM rule explicitly (early assignment only relevant for ITM calls), or change strike to <=205 / raise time value so the dividend<=time-value test alone yields hold. Fix the false 'Dividend 1.3 <= time value' derivation line."
SB-AGI-067,VERIFIED,UNIQUE,true,"",""
SB-AGI-068,VERIFIED,UNIQUE,true,"",""
SB-AGI-069,VERIFIED,UNIQUE,true,"",""
SB-AGI-070,VERIFIED,UNIQUE,true,"",""
SB-AGI-071,VERIFIED,UNIQUE,true,"",""
SB-AGI-072,VERIFIED,UNIQUE,true,"",""
SB-AGI-073,VERIFIED,UNIQUE,true,"",""
SB-AGI-074,VERIFIED,UNIQUE,true,"",""
SB-AGI-075,VERIFIED,UNIQUE,true,"",""
SB-AGI-076,VERIFIED,UNIQUE,true,"",""
SB-AGI-077,VERIFIED,UNIQUE,true,"",""
SB-AGI-078,ERROR,UNIQUE,false,"Stated rule: assignment rational when dividend > time value. Dividend 1.3 > time value 0.8, so risk=true and roll/close (route_a) is forced. Canonical has risk=false and hold (route_b); derivation falsely claims 1.3<=0.8.","Either change dividend to <0.8 (e.g. 0.5) to match hold/route_b, or flip canonical to risk=true, route_a, decision manage via close, and recompute scenario_pnl with route_a hedge effect."
SB-AGI-079,VERIFIED,UNIQUE,true,"",""
SB-AGI-080,VERIFIED,UNIQUE,true,"",""
SB-AGI-081,VERIFIED,UNIQUE,true,"",""
SB-AGI-082,VERIFIED,UNIQUE,true,"",""
SB-AGI-083,VERIFIED,UNIQUE,true,"",""
SB-AGI-084,VERIFIED,UNIQUE,true,"",""
SB-AGI-085,VERIFIED,UNIQUE,true,"",""
SB-AGI-086,VERIFIED,UNIQUE,true,"",""
SB-AGI-087,VERIFIED,UNIQUE,true,"",""
SB-AGI-088,VERIFIED,UNIQUE,true,"",""
SB-AGI-089,VERIFIED,UNIQUE,true,"",""
SB-AGI-090,ERROR,UNIQUE,false,"Stated rule: assignment rational when dividend > time value. Dividend 1.3 > time value 0.8, so risk=true and roll/close (route_a) is forced. Canonical has risk=false and hold (route_b); derivation falsely claims 1.3<=0.8.","Either lower dividend below 0.8 to match hold/route_b, or flip canonical to risk=true/route_a and recompute scenario_pnl with route_a hedge effect."
SB-AGI-091,VERIFIED,UNIQUE,true,"",""
SB-AGI-092,VERIFIED,UNIQUE,true,"",""
SB-AGI-093,VERIFIED,UNIQUE,true,"",""
SB-AGI-094,VERIFIED,UNIQUE,true,"",""
SB-AGI-095,VERIFIED,UNIQUE,true,"",""
SB-AGI-096,VERIFIED,UNIQUE,true,"",""
SB-AGI-097,VERIFIED,UNIQUE,true,"",""
SB-AGI-098,PARTIAL,UNIQUE,true,"Rejecting route_b (CFD) relies on the US-retail CFD ban, a regulatory convention not explicitly stated in the packet; only route_c is excluded by an explicit margin number. Solver must know US retail CFD unavailability to complete the exact_set.","State in the packet that CFDs are unavailable to this US retail account."
SB-AGI-099,VERIFIED,UNIQUE,true,"",""
SB-AGI-100,VERIFIED,UNIQUE,true,"",""
SB-AGI-101,VERIFIED,UNIQUE,true,"",""
SB-AGI-102,VERIFIED,UNIQUE,true,"",""
SB-AGI-103,VERIFIED,UNIQUE,true,"",""
SB-AGI-104,VERIFIED,UNIQUE,true,"",""
SB-AGI-105,VERIFIED,UNIQUE,true,"",""
SB-AGI-106,VERIFIED,UNIQUE,true,"",""
SB-AGI-107,VERIFIED,UNIQUE,true,"",""
SB-AGI-108,VERIFIED,UNIQUE,true,"",""
SB-AGI-109,VERIFIED,UNIQUE,true,"",""
SB-AGI-110,VERIFIED,UNIQUE,true,"",""
SB-L1-001,PARTIAL,UNIQUE,true,"Problem names instrument 'SPY ETF' but expected critical field is exactly 'SPY'; solver could plausibly emit 'SPY ETF' and fail.","Accept 'SPY ETF' as equivalent or state ticker-only convention in problem."
SB-L1-002,VERIFIED,UNIQUE,true,"",""
SB-L1-003,VERIFIED,UNIQUE,true,"",""
SB-L10-001,VERIFIED,UNIQUE,true,"",""
SB-L10-002,VERIFIED,UNIQUE,true,"",""
SB-L10-003,VERIFIED,UNIQUE,true,"",""
SB-L10-004,VERIFIED,UNIQUE,true,"",""
SB-L10-005,PARTIAL,NON_UNIQUE,true,"Problem fixes the XLU buy (1500) but never states how many XLK to sell; objective only requires no settlement deficit. Selling ~500-1000 XLK all fund the 105000 buy with net>=0, yet rubric grades sell_shares=1000 and net=105000 exactly. A solver selling 500 XLK (net 0) is equally feasible.","State the XLK sell quantity explicitly (sell entire 1000-share position) or add an objective that forces full liquidation."
SB-L10-006,VERIFIED,UNIQUE,true,"",""
SB-L10-007,VERIFIED,UNIQUE,true,"",""
SB-L10-008,VERIFIED,UNIQUE,true,"",""
SB-L10-009,VERIFIED,UNIQUE,true,"",""
SB-L10-010,VERIFIED,UNIQUE,true,"",""
SB-L10-011,VERIFIED,UNIQUE,true,"",""
SB-L10-012,VERIFIED,UNIQUE,true,"",""
SB-L10-013,VERIFIED,UNIQUE,true,"",""
SB-L10-014,VERIFIED,UNIQUE,true,"",""
SB-L10-015,VERIFIED,UNIQUE,true,"",""
SB-L10-016,PARTIAL,UNIQUE,true,"Derivation D says 'sell/roll, do not exercise' treating route_b and route_c as interchangeable, but rubric forces selected_route=route_b. Roll (route_c) economics are not quantified, so a solver who picks route_c as also 'not exercising' would fail the critical selected_route field.","Either give route_c quantified inferior economics or clarify objective so sell strictly dominates roll."
SB-L10-017,VERIFIED,UNIQUE,true,"",""
SB-L10-018,VERIFIED,UNIQUE,true,"",""
SB-L10-019,VERIFIED,UNIQUE,true,"",""
SB-L10-020,VERIFIED,UNIQUE,true,"",""
SB-L10-021,VERIFIED,UNIQUE,true,"",""
SB-L10-022,VERIFIED,UNIQUE,true,"",""
SB-L10-023,VERIFIED,UNIQUE,true,"",""
SB-L10-024,VERIFIED,UNIQUE,true,"",""
SB-L10-025,VERIFIED,UNIQUE,true,"",""
SB-L10-026,VERIFIED,UNIQUE,true,"",""
SB-L10-027,VERIFIED,UNIQUE,true,"",""
SB-L10-028,VERIFIED,UNIQUE,true,"",""
SB-L10-029,VERIFIED,UNIQUE,true,"",""
SB-L10-030,VERIFIED,UNIQUE,true,"",""
SB-L10-031,VERIFIED,UNIQUE,true,"",""
SB-L10-032,VERIFIED,UNIQUE,true,"",""
SB-L10-033,PARTIAL,UNIQUE,true,"trade_value_usd uses snapshot price 146.00 (600*146=87600) not the limit 146.25; the unstated convention could lead a solver to compute 87750 and fail the 0.01 tolerance","specify that trade value is computed at the snapshot/last price, or make limit==snapshot"
SB-L10-034,VERIFIED,UNIQUE,true,"",""
SB-L10-035,VERIFIED,UNIQUE,true,"",""
SB-L10-036,VERIFIED,UNIQUE,true,"",""
SB-L10-037,VERIFIED,UNIQUE,true,"",""
SB-L10-038,VERIFIED,UNIQUE,true,"",""
SB-L10-039,VERIFIED,UNIQUE,true,"",""
SB-L10-040,VERIFIED,UNIQUE,true,"",""
SB-L10-041,VERIFIED,UNIQUE,true,"",""
SB-L10-042,PARTIAL,NON_UNIQUE,true,"trade_value_usd basis unstated: canonical uses spot 173.00 (600*173=103800) not the order limit 173.25 (600*173.25=103950); a solver pricing the limit ticket at its limit fails the 0.01 tolerance","specify trade_value basis (mark-at-quote vs limit) or widen tolerance/use limit price"
SB-L10-043,VERIFIED,UNIQUE,true,"",""
SB-L10-044,VERIFIED,UNIQUE,true,"",""
SB-L10-045,VERIFIED,UNIQUE,true,"",""
SB-L10-046,VERIFIED,UNIQUE,true,"",""
SB-L10-047,VERIFIED,UNIQUE,true,"",""
SB-L10-048,VERIFIED,UNIQUE,true,"",""
SB-L10-049,VERIFIED,UNIQUE,true,"",""
SB-L10-050,VERIFIED,UNIQUE,true,"",""
SB-L10-051,VERIFIED,UNIQUE,true,"",""
SB-L10-052,PARTIAL,NON_UNIQUE,true,"exercise_early=false is forced, but the rubric forces selected_route=route_b (sell) and rejects route_c (roll) while A+B give no economics for the roll; both routes satisfy the do-not-exercise logic, so sell-vs-roll is not uniquely forced (only sell's value 11.00 is quantified)","either quantify roll economics so route_b is strictly best, or grade route choice as {route_b OR route_c} acceptable / drop route_c from rejected_routes requirement"
SB-L10-053,VERIFIED,UNIQUE,true,"",""
SB-L10-054,VERIFIED,UNIQUE,true,"",""
SB-L10-055,VERIFIED,UNIQUE,true,"",""
SB-L10-056,VERIFIED,UNIQUE,true,"",""
SB-L10-057,VERIFIED,UNIQUE,true,"",""
SB-L10-058,PARTIAL,UNIQUE,true,"graded decision label 'convert_fx' is a specific token not derivable from A+B without guessing; arithmetic/route forced","state allowed decision enum in prompt"
SB-L10-059,PARTIAL,UNIQUE,true,"graded decision label 'adjust_order_for_ex_dividend' is a specific token not derivable from A+B without guessing; arithmetic (274.70, strike 280 unchanged) forced","state allowed decision enum in prompt"
SB-L10-060,VERIFIED,UNIQUE,true,"",""
SB-L10-061,VERIFIED,UNIQUE,true,"",""
SB-L10-062,VERIFIED,UNIQUE,true,"",""
SB-L10-063,VERIFIED,UNIQUE,true,"",""
SB-L10-064,VERIFIED,UNIQUE,true,"",""
SB-L10-065,VERIFIED,UNIQUE,true,"",""
SB-L10-066,VERIFIED,UNIQUE,true,"",""
SB-L10-067,PARTIAL,UNIQUE,true,"graded decision label 'convert_fx' is a specific token not derivable from A+B without guessing; arithmetic (360400, T+2) forced","state allowed decision enum in prompt"
SB-L10-068,VERIFIED,UNIQUE,true,"",""
SB-L10-069,PARTIAL,UNIQUE,true,"trade_value_usd=80400 uses snapshot price 134.00 not limit 134.25; deriv text says 600*134; solver computing at limit (134.25) gets 80550 and fails. Convention (current price vs limit) unstated.","State that trade_value uses the snapshot/current price 134.00, or widen tolerance to admit limit-based fill."
SB-L2-001,PARTIAL,UNIQUE,true,"decision='calculate' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L2-002,PARTIAL,UNIQUE,true,"decision='calculate_notional' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L2-003,PARTIAL,UNIQUE,true,"decision='calculate_notional' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L2-004,PARTIAL,UNIQUE,true,"decision='calculate_option_premium' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L3-001,PARTIAL,UNIQUE,true,"gross_pnl_usd graded tolerance 0 but stored canonical is 899.9999999999897 (float artifact); a solver giving exact 900 could fail if grader compares to stored value. Also decision='calculate' string unstated.","Round stored canonical to 900 and/or set a small tolerance; state decision label."
SB-L3-002,PARTIAL,UNIQUE,true,"decision='calculate_initial_margin' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L3-003,PARTIAL,UNIQUE,true,"decision='calculate_trade_cash' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L4-001,VERIFIED,UNIQUE,true,"",""
SB-L4-002,PARTIAL,UNIQUE,true,"decision='calculate_financing_cost' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L4-003,PARTIAL,UNIQUE,true,"decision='calculate_financing_cost' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L4-004,PARTIAL,UNIQUE,true,"decision='calculate_financing_cost' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L4-005,PARTIAL,UNIQUE,true,"decision='calculate_financing_cost' is a critical-graded string not stated in the problem; solver must guess exact label.","State the required decision label or drop decision from critical_fields."
SB-L5-001,VERIFIED,UNIQUE,true,"",""
SB-L5-002,PARTIAL,UNIQUE,true,"Critical field decision=""trade"" is a graded enum-like string never stated in problem A; solver must guess the exact label.","State the required decision label in the prompt or drop decision from critical_fields."
SB-L5-003,PARTIAL,UNIQUE,true,"Critical field decision=""trade"" is a graded label never stated in problem A; solver must guess the exact string.","State the required decision label in the prompt or drop decision from critical_fields."
SB-L5-004,PARTIAL,UNIQUE,true,"Critical field decision=""trade"" is a graded label never stated in problem A; solver must guess it. (side/instrument strings are well-supported by the prompt text.)","State the required decision label or drop decision from critical_fields."
SB-L5-005,PARTIAL,UNIQUE,true,"Critical field decision=""trade"" is a graded label never stated in problem A; solver must guess it.","State the required decision label or drop decision from critical_fields."
SB-L6-001,PARTIAL,UNIQUE,true,"Arithmetic ok (200*500=100000; T+1 Mon 06-15 no holiday -> 06-16). Critical field decision=""settlement_schedule"" is a specific graded label never stated in problem A; solver must guess it.","State the required decision label or drop decision from critical_fields."
SB-L6-002,PARTIAL,UNIQUE,true,"Settlement rule/date given verbatim. decision=""sequence"" is a graded label not stated in A. Also execution_sequence is graded as exact_set so the ""locate first"" ordering it tests is not actually enforced.","State the decision label; if ordering matters, grade execution_sequence as ordered list."
SB-L6-003,PARTIAL,UNIQUE,true,"Settlement rule/date given verbatim. decision=""sequence"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L6-004,PARTIAL,UNIQUE,true,"Settlement rule/date given verbatim. decision=""sequence"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L6-005,PARTIAL,UNIQUE,true,"Settlement rule/date given verbatim. decision=""sequence"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L7-001,PARTIAL,UNIQUE,true,"Arithmetic ok: 652000 current; ceil(102000/504)=203 shares; post=549688. decision=""rebalance"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L7-002,PARTIAL,UNIQUE,true,"Arithmetic ok: floor(650000/253750)=2; used=507500; residual=142500. decision=""rebalance"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L7-003,PARTIAL,UNIQUE,true,"Arithmetic ok: min(floor(50000/100)=500, locate 300)=300; used=30000; residual=20000. decision=""rebalance"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L7-004,PARTIAL,UNIQUE,true,"Arithmetic ok: min(floor(70000/104)=673, cap 500)=500; used=52000; residual=18000. decision=""rebalance"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L7-005,PARTIAL,UNIQUE,true,"Arithmetic ok: floor((300000/1.06)/1000)=283 lots; eur=283000; used=299980; residual=20. decision=""rebalance"" is a graded label not stated in A; solver must guess it.","State the decision label or drop it from critical_fields."
SB-L8-001,PARTIAL,UNIQUE,true,"Arithmetic ok: div 1.20 > extrinsic 0.50 and call is ITM (181>175) so rule forces buy-to-close; premium=6.50*100=650. Wrinkles: critical decision=""reduce_assignment_risk"" is an unstated graded label, and critical instrument=""AAPL_175_call"" uses underscores while prompt writes ""AAPL 175 call"" (format mismatch a solver could fail).","State the decision label and the exact instrument string format, or relax those critical fields."
SB-L8-002,PARTIAL,UNIQUE,true,"trade_value_usd uses spot 80.00 (=64000) not the limit price 80.25 (=64200); a solver could reasonably price a limit ticket at the limit, which fails the 0.01 tolerance.","State that trade_value uses the snapshot spot/last, or widen tolerance to admit limit-price valuation."
SB-L8-003,VERIFIED,UNIQUE,true,"",""
SB-L8-004,VERIFIED,UNIQUE,true,"",""
SB-L8-005,VERIFIED,UNIQUE,true,"",""
SB-L8-006,VERIFIED,UNIQUE,true,"",""
SB-L8-007,VERIFIED,UNIQUE,true,"",""
SB-L8-008,VERIFIED,UNIQUE,true,"",""
SB-L8-009,VERIFIED,UNIQUE,true,"",""
SB-L8-010,PARTIAL,UNIQUE,true,"trade_value_usd uses spot 104.00 (=72800) not the limit price 104.25 (=72975); a solver could reasonably price a limit ticket at the limit, which fails the 0.01 tolerance.","State that trade_value uses the snapshot spot/last, or widen tolerance to admit limit-price valuation."
SB-L9-001,VERIFIED,UNIQUE,true,"",""
SB-L9-002,PARTIAL,UNIQUE,true,"chosen_strategy is a critical field requiring the exact string 'short_locate_plus_puts'; the naming convention is not given in A/B so the solver must guess it. Numerics all forced and correct.","Make chosen_strategy a free-form/non-critical field or provide the allowed label vocabulary in the prompt."
SB-L9-003,PARTIAL,UNIQUE,true,"chosen_strategy is a critical field requiring exact string 'SPY_500_470_put_spread'; naming convention not given in A/B so solver must guess it. Numerics all forced and correct (500/470 spread = -28000, only lowest-premium feasible).","Make chosen_strategy non-critical/free-form or supply the label vocabulary in the prompt."
SB-L9-004,PARTIAL,UNIQUE,true,"chosen_route is a critical exact-string field ('same_day_EURUSD'); the snake_case label is not specified in A/B, only descriptive route names, so solver must guess the exact token. Numerics forced and correct (1.1010*1M=1101000; only same-day settles today).","Make chosen_route non-critical/free-form or list the exact route id tokens in the prompt."
SB-L9-005,ERROR,NON_UNIQUE,true,"Canonical (1 ES + 4 MES, cost 45) is NOT the cost-minimal feasible hedge it claims to be. 1 ES + 2 MES gives beta reduction 300000 (=30%, meets target), margin 15600 (<=20000), cost only 35 < 45. A solver correctly minimizing upfront cost produces 1 ES + 2 MES and fails the rubric; canonical contradicts its own objective. (Its own displayed arithmetic 350000/18200/45 is self-consistent.)","Set canonical to 1 ES + 2 MES (beta 300000=30%, margin 15600, cost 35), or tighten the target so the intended 4-MES quantity becomes the true minimum."
SB-L9-006,VERIFIED,UNIQUE,true,"",""
SB-L9-007,VERIFIED,UNIQUE,true,"",""
SB-L9-008,VERIFIED,UNIQUE,true,"",""
SB-L9-009,VERIFIED,UNIQUE,true,"",""
SB-L9-010,VERIFIED,UNIQUE,true,"",""
SB-L9-011,VERIFIED,UNIQUE,true,"",""
SB-L9-012,VERIFIED,UNIQUE,true,"",""
SB-L9-013,VERIFIED,UNIQUE,true,"",""
SB-L9-014,VERIFIED,UNIQUE,true,"",""
SB-L9-015,VERIFIED,UNIQUE,true,"",""
SB-L9-016,VERIFIED,UNIQUE,true,"",""
SB-L9-017,VERIFIED,UNIQUE,true,"",""
SB-L9-018,VERIFIED,UNIQUE,true,"",""
SB-L9-019,VERIFIED,UNIQUE,true,"",""
SB-L9-020,VERIFIED,UNIQUE,true,"",""
SB-L9-021,VERIFIED,UNIQUE,true,"",""
SB-L9-022,VERIFIED,UNIQUE,true,"",""
SB-L9-023,VERIFIED,UNIQUE,true,"",""
SB-L9-024,VERIFIED,UNIQUE,true,"",""
SB-L9-025,VERIFIED,UNIQUE,true,"",""
SB-L9-026,VERIFIED,UNIQUE,true,"",""
SB-L9-027,VERIFIED,UNIQUE,true,"",""
SB-L9-028,VERIFIED,UNIQUE,true,"",""
SB-L9-029,VERIFIED,UNIQUE,true,"",""
SB-L9-030,VERIFIED,UNIQUE,true,"",""
SB-L9-031,VERIFIED,UNIQUE,true,"",""
SB-L9-032,VERIFIED,UNIQUE,true,"",""
SB-L9-033,VERIFIED,UNIQUE,true,"",""
SB-L9-034,VERIFIED,UNIQUE,true,"",""
SB-L9-035,VERIFIED,UNIQUE,true,"",""
SB-L9-036,PARTIAL,UNIQUE,true,"trade_value_usd=97600 uses spot 122.00 not limit 122.25; convention on which price to value the limit order is unstated. Solver valuing at limit (800*122.25=97800) fails the 0.01 tolerance.","State that trade value is computed at the current/spot price (or specify fill price)."
SB-L9-037,VERIFIED,UNIQUE,true,"",""
SB-L9-038,VERIFIED,UNIQUE,true,"",""
SB-L9-039,VERIFIED,UNIQUE,true,"",""
SB-L9-040,VERIFIED,UNIQUE,true,"",""
SB-L9-041,VERIFIED,UNIQUE,true,"",""
SB-L9-042,VERIFIED,UNIQUE,true,"",""
SB-L9-043,VERIFIED,UNIQUE,true,"",""
SB-L9-044,VERIFIED,UNIQUE,true,"",""
SB-L9-045,VERIFIED,UNIQUE,true,"",""
SB-L9-046,VERIFIED,UNIQUE,true,"",""
SB-L9-047,VERIFIED,UNIQUE,true,"",""
SB-L9-048,VERIFIED,UNIQUE,true,"",""
SB-L9-049,VERIFIED,UNIQUE,true,"",""
SB-L9-050,VERIFIED,UNIQUE,true,"",""
SB-L9-051,VERIFIED,UNIQUE,true,"",""
SB-L9-052,VERIFIED,UNIQUE,true,"",""
SB-L9-053,VERIFIED,UNIQUE,true,"",""
SB-L9-054,VERIFIED,UNIQUE,true,"",""
SB-L9-055,ERROR,UNIQUE,true,"Stated rule 'early assignment rational when dividend > time value' omits in-the-money requirement; div 1.30 > TV 0.80 forces early_assignment_risk=true/route_a, but canonical is false/route_b because call is OTM (spot 185 < strike 190). Stated rule contradicts canonical.","Reword rule to require the call be in-the-money (spot>strike) for early assignment, or use an ITM/dividend>TV scenario."
SB-L9-056,VERIFIED,UNIQUE,true,"",""
SB-L9-057,VERIFIED,UNIQUE,true,"",""
SB-L9-058,VERIFIED,UNIQUE,true,"",""
SB-L9-059,VERIFIED,UNIQUE,true,"",""
SB-L9-060,VERIFIED,UNIQUE,true,"",""
SB-L9-061,VERIFIED,UNIQUE,true,"",""
SB-L9-062,VERIFIED,UNIQUE,true,"",""
SB-L9-063,PARTIAL,UNIQUE,true,"trade_value_usd basis is unstated: canonical uses spot 83.00*800=66400, but a reasonable solver could use the limit price 83.25*800=66600 (the order's actual price), which fails the 0.01-tolerance critical field.","State that trade_value uses the reference/spot price, or compute at the limit price."
SB-L9-064,VERIFIED,UNIQUE,true,"",""
SB-L9-065,VERIFIED,UNIQUE,true,"",""
SB-L9-066,VERIFIED,UNIQUE,true,"",""
