question_id,level,rubric_id,prompt,model,pass_count_3,majority_pass,pass_bits_n1_n2_n3,scores_n1_n2_n3,avg_score,median_score,avg_duration_ms
L9-080,L9,l9-L9-080,"Staking/restaking risk selection, fast-withdrawal wstETH AVS rotation. Restake 90 wstETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5.6%, slashing multiplier <= 2.7, withdrawal delay <= 6 days, oracle freshness <= 18 minutes, and capacity >= 90 wstETH. Data: V1 yield 7.3%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 3 days, oracle age 9 minutes, capacity 110 wstETH; V2 yield 9.8%, operator fee 0.7%, slashing 2.4 x 0.8%, delay 6 days, oracle age 15 minutes, capacity 130 wstETH; V3 yield 8.9%, operator fee 0.5%, slashing 1.8 x 0.7%, delay 5 days, oracle age 12 minutes, capacity 100 wstETH; V4 yield 11.6%, operator fee 0.9%, slashing 2.9 x 1%, delay 4 days, oracle age 10 minutes, capacity 160 wstETH; V5 yield 6.6%, operator fee 0.2%, slashing 0.7 x 0.4%, delay 2 days, oracle age 8 minutes, capacity 80 wstETH; V6 yield 8.1%, operator fee 0.4%, slashing 1.5 x 0.6%, delay 4 days, oracle age 20 minutes, capacity 120 wstETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",mistralai/mistral-small-2603,2,1,0|1|1,0|1|1,0.667,1.000,1661
L10-009,L10,l10-L10-009,"As an Ethereum block builder (slot 8,234,567) you observe these MEV opportunities: - Sandwich: $800,000 value, 18M gas, 95% success, ethical concerns. - Liquidation: $300,000 value, 5M gas, 90% success. - NFT backrun: $150,000 value, 1M gas, 80% success. - Frontrun: $120,000 value, 3M gas, 99% success, unethical. - CEX-DEX arbitrage: $500,000 value, 6M gas, 85% success. Gas limit is 30M. For this scenario, ""ethical"" excludes only the opportunity explicitly labeled unethical; the sandwich's ethical concerns are treated as resolved by consented/limited orderflow and it may be included. Builder profit is expected opportunity value * success probability * 10% builder keep after the 90% proposer share, minus a fixed $12,000 gas/inclusion cost for a full 30M-gas bundle. Use the gas limit as a hard knapsack constraint. Select an ethical bundle that maximizes profit after the proposer share and fixed gas/inclusion cost.",mistralai/mistral-medium-3-5,2,1,1|0|1,0.7|0|0.7,0.467,0.700,8251
L10-010,L10,l10-L10-010,"Predict Ethereum gas prices one hour ahead to minimize cost for 10 transactions (200,000 gas each, ETH at $3,000). Current gas is 25 base plus 2 priority (27 gwei). Events: - US market open: +80% gas with 5% probability, magnitude above 200%. - NFT mint: +120% gas with 0.6 probability, 0.4 chance of delay. - Maintenance window at 16:00: -30% gas with 0.6 probability, 0.4 chance of cancellation. - Bot wars: +40% gas. Execution options: - Low scenario at 25 gwei (100% fill). - Medium scenario at 71 gwei (60% fill). - High scenario leaves orders unfilled. - For this scenario, execute all 10 transactions only in the Low scenario. Treat the current 27 gwei line as market context, not the execution gas price. Treat the event bullets as context already summarized by the Low/Medium/High execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the task requires all 10 transactions to execute. Design an execution schedule minimizing expected USD spend and report the expected cost.",mistralai/mistral-small-2603,1,0,0|0|1,0|0|0.7,0.233,0.000,1251
L10-016,L10,l10-L10-016,"Execute a $2,000,000 USDC to SOL swap via Jupiter on Solana. The network lacks a public mempool; 95% of stake uses Jito bundles for MEV extraction. Historical attack rate is 73% for swaps over $500,000 with an average 0.8% slippage loss. Options: 1. Submit a Jito bundle with a high tip ($3,000, 90% success). 2. Use a private RPC (Triton or Helius) costing $50 with 95% success. 3. Split into 20 micro-swaps of $100,000 each (adds 0.15% slippage, 80% success). 4. Hybrid: combine private RPC and splitting. Objective and cost convention: choose the highest protected-completion probability strategy with total expected cost at or below 0.6%, while also keeping each child order at or below $100,000. Private RPC alone fails the child-order constraint, and splitting alone fails the 90% protected-completion target. For the Hybrid, define success probability as 90% and expected total cost as 0.15% split slippage + $50 / $2,000,000 private RPC cost + 0.3975% residual Jito adverse-selection cost = 0.55% rounded. Do not apply the historical 73% attack rate again after using the prescribed residual-cost term. Design an optimal MEV defense strategy with maximum total cost of 0.6% and report expected total cost percentage, success probability, and execution steps.",mistralai/mistral-small-2603,1,0,0|1|0,0|1|0,0.333,0.000,1933
L10-019,L10,l10-L10-019,"You manage an $8,000,000 USDT portfolio over 60 days across Maker, Fluid, Pendle, and Ethena: 1. Maker sUSDS: fixed 5.0% APR and liquid within 24 hours. 2. Fluid USDC/USDT vault: 50% chance of 6.4% APR, 30% chance of 8.5% APR, 20% chance of 3.5% APR, liquid within 24 hours. 3. Pendle eUSDe fixed-yield position: 16.0% nominal APR with a 4% chance of a -25% loss. 4. Ethena delta-neutral USDe: 13.0% nominal APR with a 6% chance of a -40% shutdown loss. Constraints: - At most 25% allocation per protocol. - At least 50% of capital must be liquid within 24 hours, and only Maker and Fluid count as liquid. - Target pre-tail-loss nominal APR above 8.0%. - Portfolio expected catastrophic loss must be below 1.5% of capital. - Report risk-adjusted annualized yield by subtracting probability times severity from each risky protocol's APR as percentage points, without annualizing tail losses. Treat Fluid's APR as the scenario-weighted average. Compute the optimal allocation and resulting risk-adjusted APR percentage.",mistralai/mistral-medium-3-5,1,0,1|0|0,0.7|0.4|0.4,0.500,0.400,2925
L10-022,L10,l10-L10-022,"Execute a $15,000,000 on-chain settlement within 24 hours while compliant validators and relay filters are expected to censor 52% of blocks. Execution options: - SUAVE private orderflow: 88% independent success, 0.12% fee, sub-one-block latency. - bloXroute private relay: 84% independent success, 0.18% fee, sub-one-block latency. - CowSwap batch auction: 78% independent success, 0.28% fee, about 12-minute latency. - Shielded rollup route: 99% success, 0.95% fee, two-hour latency. - Canonical L2 bridge: 96% success, 0.30% fee, five-day delay, not feasible. Constraints: complete within 24 hours, target at least 98% success, minimize expected cost percentage, remain non-custodial and on-chain. A plan may use sequential independent attempts, submitting the next route only if the previous one fails. Count a route fee when its attempt is submitted, including failed attempts; do not normalize cost by conditional success. The canonical bridge is infeasible because of delay. Choose the minimal-cost route sequence meeting the success target and report expected cost percentage.",mistralai/mistral-medium-3-5,1,0,0|1|0,0|0.7|0,0.233,0.000,2315
L10-026,L10,l10-L10-026,"Sell 1,200,000 TOKEN at $3.40 within 18 hours before a scheduled unlock. Venues: - Coinbase: 0.45% fee with $75,000 reusable depth per TWAP slice. - Binance: 0.70% fee with $100,000 reusable depth per slice, but TOKEN deposits from Arbitrum will not clear within 18 hours. - Camelot on Arbitrum: 1.20% all-in price impact for the full Arbitrum sale. - Uniswap on Ethereum: 1.80% all-in price impact but no TOKEN inventory is on Ethereum. Holdings: 700,000 TOKEN already on Coinbase and 500,000 TOKEN on Arbitrum. Inventory can only be sold where it already sits unless explicitly bridged; for this scenario, bridging Arbitrum TOKEN to CEX venues misses the 18-hour deadline. Sell the 700,000 Coinbase TOKEN through TWAP slices and the 500,000 Arbitrum TOKEN through Camelot. Do not use Binance or Uniswap. Treat Camelot's 1.20% impact and Coinbase's 0.45% fee as all-in execution haircuts, and ignore gas. Design the execution schedule and report expected USD proceeds.",mistralai/mistral-medium-3-5,1,0,0|0|1,0|0|0.7,0.233,0.000,3629
L10-029,L10,l10-L10-029,"You control $6,000,000 of veFXS. A Frax governance vote in 6 weeks may reduce veFXS-directed emissions, causing a 20% veFXS price drop and a 30% pump in a liquid bribe-aggregator token called FXTL if the vote passes. The vote has a 70% probability of passing; if it fails, both token prices are unchanged. Options for a 10-week strategy: 1. Stay in veFXS and earn 24% APR bribes, compounded weekly, while retaining full exposure to the possible veFXS price drop. 2. Move to a wrapper earning a total 17% APR reward rate, compounded weekly, while retaining veFXS-linked price exposure and no FXTL pump. 3. Convert the full position to FXTL at time zero before any weekly bribes accrue. This forfeits all veFXS bribes after conversion but receives the probability-weighted FXTL price move. Ignore trading costs, taxes, and slippage. For bribe options, compute rewards as principal * ((1 + APR / 52) ^ 10 - 1). For token moves, use probability-weighted price change on the full $6,000,000 exposure. Choose the strategy maximizing expected USD profit over 10 weeks and report that profit.",mistralai/mistral-small-2603,1,0,0|1|0,0.4|0.7|0.4,0.500,0.400,2664
L10-031,L10,l10-L10-031,"A DAO treasury holds $30,000,000: 70% GOV token, 20% stables, and 10% ETH LP. New policy requires GOV exposure below 35% of final treasury value and stables above 55%. Execution facts: - A governance delay happens first and leaves exactly 10 execution days. - The full $3,000,000 ETH LP is exited into stables with a 1.5% impermanent-loss hit before the GOV sale completes. - GOV daily liquidity causes execution slippage only on the GOV sold, not on remaining GOV. Daily impact percentage = 12% * (daily GOV sold / $2,000,000). - Sell the minimum GOV amount needed so final GOV exposure is below 35% of final treasury value. Spread GOV sales evenly across the 10 days. - For the numeric answer, solve the equality boundary for the strict ""below 35%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result. Compute the optimal sell schedule and final treasury value after meeting the mandate.",mistralai/mistral-small-2603,1,0,1|0|0,0.7|0|0,0.233,0.000,3583
L10-036,L10,l10-L10-036,"Predict Ethereum gas costs for an eight-transaction DeFi migration, each transaction using 300,000 gas, with ETH at $2,800. Current gas is 41 base plus 3 priority gwei. Event context: - US market close may reduce activity. - A liquidation cascade may increase gas if it triggers. - A scheduled protocol migration can be delayed if gas is too high. Execution options already summarize those events: - Low scenario at 32 gwei, 100% fill for all eight transactions. - Medium scenario at 67 gwei, 75% fill. - High scenario at 115 gwei, migration remains incomplete. For this scenario, execute all eight transactions only in the Low scenario. Treat current gas and event bullets as context already summarized by the three execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the migration requires all eight transactions to execute. Compute USD cost as transactions * gas_per_transaction * gas_price_gwei * 1e-9 ETH/gwei * ETH price. Design the schedule minimizing expected spend and report expected USD cost.",mistralai/mistral-small-2603,1,0,1|0|0,0.7|0|0,0.233,0.000,1093
L10-039,L10,l10-L10-039,"Operate a Lightning routing node managing $1,200,000 BTC liquidity. Current state: 21 BTC across 38 channels, 88% payment success, 0.13% fee rate, $14,000,000 monthly successful routed volume, and 12% failures due to inbound imbalance. Objectives: - Reach 95% payment success. - Keep total channels at or below 55. - Spend no more than $4,000 in one-time on-chain rebalancing. - Grow final successful routed volume to exactly $28,000,000 per month at the same 0.13% fee rate. For this scenario, the $14,000,000 baseline is already successful routed volume, not attempted volume. Rebalancing costs are one-time and excluded from monthly revenue. Direct merchant channels and inbound leases should be sized so final successful routed volume is exactly $28,000,000 per month; do not apply any extra volume multiplier beyond that target. Devise the channel and rebalancing plan meeting the objectives and report expected monthly routing revenue. Optimize for satisfying all stated channel, success-rate, and rebalancing constraints while calculating revenue from final successful routed volume at the fee rate.",mistralai/mistral-medium-3-5,2,1,1|1|0,1|1|0,0.667,1.000,2501
L10-040,L10,l10-L10-040,"Operate a cross-rollup stablecoin routing desk with $3,000,000 inventory across Arbitrum, Base, and Optimism. Current state: $22,000,000 monthly successful routed volume, 91% fill success, 0.11% net routing fee after LP rebates, and 9% failures caused by inventory imbalance between rollups. Objectives: - Reach 97% fill success. - Keep total rebalancing spend below $6,000 per month. - Keep inventory on all three rollups, with no rollup below 20% of total inventory. - Grow final successful routed volume to exactly $45,000,000 per month at the same 0.11% net fee rate. For this scenario, the $22,000,000 baseline is successful routed volume, not attempted volume. Rebalancing spend is excluded from the reported monthly revenue. Institutional RFQ flow and solver integrations should be sized so final successful routed volume is exactly $45,000,000 per month; do not apply additional multipliers. Report revenue as final successful routed volume * 0.11%. Devise the liquidity routing plan and report expected monthly revenue.",mistralai/mistral-medium-3-5,1,0,1|0|0,1|0|0,0.333,0.000,1924
L10-047,L10,l10-L10-047,"Operate an Ethereum validator fleet with 1,200 validators (38,400 ETH) at ETH = $3,200. Current effective uptime is 96.8%, relay diversity is weak, and missed-attestation penalties are rising. Target: restore effective uptime to 99.2% and reach 15% ROI within six months under a $180,000 budget. For this scenario, ROI means incremental six-month net profit divided by the upgrade spend selected for the plan, not return on validator principal. Upgrade options: 1. Relay diversity automation ($40,000) contributing to the uptime target. 2. DVT failover cluster ($55,000) contributing to the uptime target. 3. MEV-Boost tuning ($10,000) adding six-month net MEV profit. 4. Lower operator fee from 8% to 6%, stabilizing delegations but with no direct six-month incremental-profit credit. 5. Premium RPC endpoint ($120,000) evaluated on year-one economics and not part of the six-month ROI numerator. Economic constants: the relay diversity + DVT failover + MEV tuning package costs $105,000; restoring uptime from 96.8% to 99.2% adds $9,450 of six-month net profit; MEV tuning adds $6,300 of six-month net profit after setup effects. Premium RPC is outside the six-month numerator. Devise a three-phase plan within budget and report six-month ROI percentage.",mistralai/mistral-medium-3-5,2,1,1|1|0,1|1|0,0.667,1.000,3555
L10-055,L10,l10-L10-055,"A USD treasury allocates EUR 10,000,000 into tokenized 91-day German T-bills at a EUR/USD spot rate of 1.08. The EUR bill yield is 3.2% APR. The treasury fully hedges EUR/USD back to USD for the holding period. Costs and conventions: - FX hedge carry cost is 0.55% APR on USD notional. - Custody/admin cost is 0.12% APR on USD notional. - Mint and redeem fees total 0.08% one-time on USD notional. - Use a 365-day year, simple interest, and the initial EUR/USD spot rate to define USD notional. - Ignore taxes, margin interest, and reinvestment. Compute the hedged net USD profit over 91 days and report it in USD.",mistralai/mistral-medium-3-5,1,0,0|0|1,0|0|1,0.333,0.000,3417
L10-058,L10,l10-L10-058,"A protocol has an $850,000 budget for one emissions epoch. Each $1 of bribe spend produces the expected protocol revenue shown below before subtracting the bribe. Pools: - Pool A: $1.38 expected revenue per $1 bribe, maximum bribe $250,000. - Pool B: $1.55 expected revenue per $1 bribe, maximum bribe $350,000. - Pool C: $1.24 expected revenue per $1 bribe, maximum bribe $500,000. - Pool D: $1.70 revenue per $1 bribe if governance passes, but governance has a 35% failure probability that makes revenue zero; maximum bribe $200,000. Constraints: - Spend the full $850,000. - Use at least three pools. - No pool may receive more than 40% of the total budget. - Maximize expected ROI, where ROI equals (expected revenue minus bribe spend) divided by bribe spend. Choose the allocation and report expected ROI percentage.",mistralai/mistral-small-2603,1,0,0|1|0,0|0.7|0.4,0.367,0.400,1791
