model,question_id,pass,score,confidence,failure_reasons,parsing_method,raw_snippet
mistralai/mistral-medium-3-5,L10-035,1,0.700,1.000,,json,"{""intent"": ""execute_gas_timed_batch"", ""order_type"": ""batch"", ""asset"": ""ETH"", ""size"": 15, ""unit"": ""transactions"", ""venue"": ""ethereum_mainnet"", ""venue_name"": ""Ethereum Mainnet"", ""risk_controls"": {""max_gas"": 18}, ""expected_value"": 202.5, ""reasoning"": ""15 transact"
mistralai/mistral-medium-3-5,L10-036,1,1.000,1.000,,json,"{""intent"": ""execute"", ""order_type"": ""batch"", ""asset"": ""ETH"", ""size"": 8, ""unit"": ""transactions"", ""venue"": ""mainnet"", ""venue_name"": ""ethereum"", ""risk_controls"": {""max_gas"": 32}, ""expected_value"": 213.312, ""reasoning"": ""8 transactions * 300,000 gas * 32 gwei * 1e"
mistralai/mistral-medium-3-5,L10-037,1,0.700,1.000,,json,"{""intent"": ""multi-leg strategy execution"", ""order_type"": ""portfolio allocation"", ""asset"": ""ETH"", ""size"": 4000000, ""unit"": ""usd"", ""venue"": ""multi-venue"", ""venue_name"": ""spot (coinbase), CME futures, perpetuals (bybit), options (deribit)"", ""risk_controls"": {""pos"
mistralai/mistral-small-2603,L10-037,1,0.700,1.000,,json,"{""intent"": ""multi_leg_strategy"", ""expected_value"": 21.85, ""reasoning"": ""Weighted returns: spot ETH (35% * 28% = 9.8%), CME basis (30% * 2.4% = 0.72%), perpetual funding (20% * 11% * 60/365 = 0.36%), options convexity (15% * 55% = 8.25%). Total = 9.8 + 0.72 + 0"
mistralai/mistral-small-2603,L10-038,1,0.700,1.000,,json,"{""intent"": ""multi_leg_strategy"", ""expected_value"": 18.85, ""reasoning"": ""Calculated as weighted sum: 30% spot SOL (+22%) = 6.6%, 25% JitoSOL carry (8% APR * 75/365) = 1.64%, 25% perpetual funding (18% APR * 75/365) = 3.69%, 20% options call-spread (+65%) = 13%."
mistralai/mistral-small-2603,L10-039,1,1.000,1.000,,json,"{""intent"": ""rebalance_and_optimize"", ""expected_value"": 36400, ""reasoning"": ""Baseline routed volume $14M at 0.13% fee yields $18,200/month. Doubling routed volume to $28M at same fee rate yields $36,400/month. Rebalancing plan: add 17 channels (total 55), alloc"
mistralai/mistral-small-2603,L10-047,1,1.000,1.000,,json,"{""intent"": ""execute_upgrade_plan"", ""expected_value"": 14.71, ""reasoning"": ""Phase 1: Relay diversity automation ($40k) + DVT failover cluster ($55k) = $95k (within $180k budget). Phase 2: MEV-Boost tuning ($10k) adds $6.3k six-month net profit. Phase 3: Lower op"
mistralai/mistral-small-2603,L10-048,1,1.000,1.000,,json,"{""intent"": ""execute_upgrade_plan"", ""expected_value"": 15, ""reasoning"": ""Phase 1: Deploy Horcrux threshold signer ($32k) + Skip MEV ($10k) = $42k. Phase 2: Add sentry nodes ($48k) = $90k total. Uptime restored to 98% adds $8.1k profit; Skip MEV adds $5.4k profit"
mistralai/mistral-medium-3-5,L10-055,1,1.000,1.000,,json,"{""intent"": ""compute_hedged_profit"", ""order_type"": ""n/a"", ""asset"": ""EUR/USD"", ""size"": 10000000, ""unit"": ""EUR"", ""venue"": ""n/a"", ""risk_controls"": {}, ""expected_value"": 58479.45, ""reasoning"": ""USD notional = 10,000,000 EUR * 1.08 = 10,800,000 USD. EUR bill interes"
mistralai/mistral-medium-3-5,L10-059,1,1.000,1.000,,json,"{""intent"": ""rebalance"", ""order_type"": ""portfolio"", ""asset"": ""stablecoin basket"", ""size"": 32000000, ""unit"": ""usd"", ""venue"": ""multi-venue"", ""risk_controls"": {}, ""expected_value"": 31905920, ""reasoning"": ""Initial basket: USDC=12.8M, DAI=8M, FRAX=6.4M, TUSD=4.8M. T"
mistralai/mistral-small-2603,L10-059,1,1.000,1.000,,json,"{""intent"": ""rebalance"", ""expected_value"": 31888800, ""reasoning"": ""Starting with $32,000,000, the basket is rebalanced to 30% USDC ($9,600,000), 30% DAI ($9,600,000), 15% FRAX ($4,800,000), and 25% tokenized T-bills ($8,000,000). Execution costs: USDC sold $3,2"
mistralai/mistral-medium-3-5,L10-063,1,0.700,1.000,,json,"{""intent"": ""sell"", ""order_type"": ""twap"", ""asset"": ""XYZ"", ""size"": 1200000, ""unit"": ""shares"", ""price"": 6.4, ""venue"": ""lit_market"", ""risk_controls"": {""slippage_tolerance"": ""0%"", ""position_size_limit"": ""12%""}, ""follow_up"": ""execute dark-pool block for residual"", """
mistralai/mistral-small-2603,L10-063,1,1.000,1.000,,json,"{""intent"": ""sell"", ""expected_value"": 7656000, ""reasoning"": ""Hourly lit participation capped at 12% of volume. Impact cost = 0.45% * (12/10)^2 = 0.648% per hour. Sold 1,200,000 XYZ at $6.40 = $7,680,000 notional. Total lit impact = 0.648% * 7,680,000 = $49,766."
