question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L9-019,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1745,0,0.000,1403,l9_expected_value_mismatch,0,0.000,1964,l9_expected_value_mismatch,0,0.000,1715,l9_expected_value_mismatch,0,0.000,1899,l9_expected_value_mismatch
L9-021,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2927,0,0.000,3498,l9_expected_value_mismatch,0,0.000,4679,l9_expected_value_mismatch,0,0.000,2277,l9_expected_value_mismatch,0,0.000,1252,l9_expected_value_mismatch
L9-022,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4564,0,0.000,1931,l9_expected_value_mismatch,0,0.000,4406,mismatch_fieldname,0,0.000,5552,l9_expected_value_mismatch,0,0.000,6366,l9_expected_value_mismatch
L9-023,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2088,0,0.000,3312,l9_expected_value_mismatch,0,0.000,1989,l9_expected_value_mismatch,0,0.000,2286,l9_expected_value_mismatch,0,0.000,763,l9_expected_value_mismatch
L9-026,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3040,0,0.000,3531,l9_expected_value_mismatch,0,0.000,2731,l9_expected_value_mismatch,0,0.000,2128,l9_expected_value_mismatch,0,0.000,3768,l9_expected_value_mismatch
L9-027,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5072,0,0.000,7386,l9_expected_value_mismatch,0,0.000,4898,l9_expected_value_mismatch,0,0.000,5046,l9_expected_value_mismatch,0,0.000,2959,l9_expected_value_mismatch
L9-029,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3401,0,0.000,3043,l9_expected_value_mismatch,0,0.000,5386,l9_expected_value_mismatch,0,0.000,3715,l9_expected_value_mismatch,0,0.000,1458,l9_expected_value_mismatch
L9-030,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,21253,0,0.000,17444,l9_expected_value_mismatch,0,0.000,1576,l9_expected_value_mismatch,0,0.000,5315,l9_expected_value_mismatch,0,0.000,60677,l9_expected_value_mismatch
L9-031,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2231,0,0.000,2251,l9_expected_value_mismatch,0,0.000,2555,l9_expected_value_mismatch,0,0.000,2107,l9_expected_value_mismatch,0,0.000,2009,l9_expected_value_mismatch
L9-033,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2915,0,0.000,2523,l9_expected_value_mismatch,0,0.000,4332,l9_expected_value_mismatch,0,0.000,3919,l9_expected_value_mismatch,0,0.000,885,l9_expected_value_mismatch
L9-034,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2529,0,0.000,4550,l9_expected_value_mismatch,0,0.000,1893,l9_expected_value_mismatch,0,0.000,1125,l9_expected_value_mismatch,0,0.000,2548,l9_expected_value_mismatch
L9-035,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2373,0,0.000,4325,l9_expected_value_mismatch,0,0.000,2480,l9_expected_value_mismatch,0,0.000,1584,l9_expected_value_mismatch,0,0.000,1101,l9_expected_value_mismatch
L9-037,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1708,0,0.000,1331,l9_expected_value_mismatch,0,0.000,1707,l9_expected_value_mismatch,0,0.000,1775,l9_expected_value_mismatch,0,0.000,2017,l9_expected_value_mismatch
L9-038,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6412,0,0.000,1334,l9_expected_value_mismatch,0,0.000,3605,mismatch_fieldname,0,0.000,14180,l9_expected_value_mismatch,0,0.000,6530,l9_expected_value_mismatch
L9-039,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2872,0,0.000,5019,l9_expected_value_mismatch,0,0.000,3355,l9_expected_value_mismatch,0,0.000,1468,mismatch_fieldname,0,0.000,1646,l9_expected_value_mismatch
L9-041,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2866,0,0.000,1456,l9_expected_value_mismatch,0,0.000,4963,l9_expected_value_mismatch,0,0.000,2949,l9_expected_value_mismatch,0,0.000,2096,l9_expected_value_mismatch
L9-042,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1809,0,0.000,653,l9_expected_value_mismatch,0,0.000,3275,l9_expected_value_mismatch,0,0.000,1673,l9_expected_value_mismatch,0,0.000,1635,l9_expected_value_mismatch
L9-043,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15683,0,0.000,4522,l9_expected_value_mismatch,0,0.000,1811,l9_expected_value_mismatch,0,0.000,1880,l9_expected_value_mismatch,0,0.000,54519,l9_expected_value_mismatch
L9-045,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2451,0,0.000,933,l9_expected_value_mismatch,0,0.000,6018,l9_expected_value_mismatch,0,0.000,1394,l9_expected_value_mismatch,0,0.000,1458,l9_expected_value_mismatch
L9-046,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3706,0,0.000,1474,l9_expected_value_mismatch,0,0.000,3924,mismatch_fieldname,0,0.000,6378,mismatch_fieldname,0,0.000,3046,l9_expected_value_mismatch
L9-050,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3399,0,0.000,2605,l9_expected_value_mismatch,0,0.000,2832,l9_expected_value_mismatch,0,0.000,6432,l9_expected_value_mismatch,0,0.000,1728,l9_expected_value_mismatch
L9-053,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2602,0,0.000,2930,l9_expected_value_mismatch,0,0.000,2664,l9_expected_value_mismatch,0,0.000,2498,l9_expected_value_mismatch,0,0.000,2314,l9_expected_value_mismatch
L9-054,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6293,0,0.000,7701,l9_expected_value_mismatch,0,0.000,4190,mismatch_fieldname,0,0.000,8728,l9_expected_value_mismatch,0,0.000,4553,l9_expected_value_mismatch
L9-055,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3917,0,0.000,2234,l9_expected_value_mismatch,0,0.000,4352,l9_expected_value_mismatch,0,0.000,2069,l9_expected_value_mismatch,0,0.000,7013,l9_expected_value_mismatch
L9-056,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3249,0,0.000,4137,l9_expected_value_mismatch,0,0.000,2875,l9_expected_value_mismatch,0,0.000,4416,mismatch_fieldname,0,0.000,1567,l9_expected_value_mismatch
L9-057,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2959,0,0.000,2995,l9_expected_value_mismatch,0,0.000,2557,l9_expected_value_mismatch,0,0.000,5294,l9_expected_value_mismatch,0,0.000,990,l9_expected_value_mismatch
L9-058,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2500,0,0.000,1466,l9_expected_value_mismatch,0,0.000,4226,l9_expected_value_mismatch,0,0.000,2333,l9_expected_value_mismatch,0,0.000,1975,l9_expected_value_mismatch
L9-059,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15887,0,0.000,1860,l9_expected_value_mismatch,0,0.000,3191,l9_expected_value_mismatch,0,0.000,1538,l9_expected_value_mismatch,0,0.000,56959,l9_expected_value_mismatch
L9-061,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3771,0,0.000,7803,l9_expected_value_mismatch,0,0.000,2820,l9_expected_value_mismatch,0,0.000,2069,l9_expected_value_mismatch,0,0.000,2391,l9_expected_value_mismatch
L9-062,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,10616,0,0.000,33267,l9_expected_value_mismatch,0,0.000,2925,l9_expected_value_mismatch,0,0.000,2919,l9_expected_value_mismatch,0,0.000,3353,l9_expected_value_mismatch
L9-063,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2547,0,0.000,6385,l9_expected_value_mismatch,0,0.000,1882,l9_expected_value_mismatch,0,0.000,1034,l9_expected_value_mismatch,0,0.000,887,l9_expected_value_mismatch
L9-064,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3570,0,0.000,6207,l9_expected_value_mismatch,0,0.000,1542,l9_expected_value_mismatch,0,0.000,5159,mismatch_fieldname,0,0.000,1372,l9_expected_value_mismatch
L9-065,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2612,0,0.000,1823,l9_expected_value_mismatch,0,0.000,4350,l9_expected_value_mismatch,0,0.000,3320,l9_expected_value_mismatch,0,0.000,955,l9_expected_value_mismatch
L9-066,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2920,0,0.000,3244,l9_expected_value_mismatch,0,0.000,4242,l9_expected_value_mismatch,0,0.000,2129,l9_expected_value_mismatch,0,0.000,2065,l9_expected_value_mismatch
L9-067,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3445,0,0.000,5395,l9_expected_value_mismatch,0,0.000,3364,l9_expected_value_mismatch,0,0.000,2835,l9_expected_value_mismatch,0,0.000,2187,l9_expected_value_mismatch
L9-069,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3509,0,0.000,2268,l9_expected_value_mismatch,0,0.000,3914,l9_expected_value_mismatch,0,0.000,5788,l9_expected_value_mismatch,0,0.000,2066,l9_expected_value_mismatch
L9-070,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15611,0,0.000,2452,l9_expected_value_mismatch,0,0.000,49086,l9_expected_value_mismatch,0,0.000,5550,l9_expected_value_mismatch,0,0.000,5354,l9_expected_value_mismatch
L9-071,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2980,0,0.000,2971,l9_expected_value_mismatch,0,0.000,4413,mismatch_fieldname,0,0.000,3196,l9_expected_value_mismatch,0,0.000,1339,l9_expected_value_mismatch
L9-072,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1799,0,0.000,1669,l9_expected_value_mismatch,0,0.000,2071,l9_expected_value_mismatch,0,0.000,1802,mismatch_fieldname,0,0.000,1655,l9_expected_value_mismatch
L9-073,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4816,0,0.000,3371,l9_expected_value_mismatch,0,0.000,2488,l9_expected_value_mismatch,0,0.000,11411,l9_expected_value_mismatch,0,0.000,1993,l9_expected_value_mismatch
L9-074,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2016,0,0.000,1389,l9_expected_value_mismatch,0,0.000,1426,l9_expected_value_mismatch,0,0.000,3597,l9_expected_value_mismatch,0,0.000,1653,l9_expected_value_mismatch
L9-075,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15291,0,0.000,1752,l9_expected_value_mismatch,0,0.000,2623,l9_expected_value_mismatch,0,0.000,6588,l9_expected_value_mismatch,0,0.000,50200,l9_expected_value_mismatch
L9-077,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2487,0,0.000,1321,l9_expected_value_mismatch,0,0.000,3509,l9_expected_value_mismatch,0,0.000,2426,l9_expected_value_mismatch,0,0.000,2693,l9_expected_value_mismatch
L9-078,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3458,0,0.000,1592,l9_expected_value_mismatch,0,0.000,1824,mismatch_fieldname,0,0.000,5681,l9_expected_value_mismatch,0,0.000,4735,l9_expected_value_mismatch
L9-079,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2041,0,0.000,3484,l9_expected_value_mismatch,0,0.000,2379,l9_expected_value_mismatch,0,0.000,1018,l9_expected_value_mismatch,0,0.000,1282,l9_expected_value_mismatch
L9-080,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1906,0,0.000,857,l9_expected_value_mismatch,0,0.000,2772,l9_expected_value_mismatch,0,0.000,2625,mismatch_fieldname,0,0.000,1370,l9_expected_value_mismatch
L9-081,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2350,0,0.000,2478,l9_expected_value_mismatch,0,0.000,2245,l9_expected_value_mismatch,0,0.000,2160,l9_expected_value_mismatch,0,0.000,2518,l9_expected_value_mismatch
L10-001,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5140,0,0.000,12908,l10_expected_value_out_of_range,0,0.000,1583,l10_expected_value_out_of_range,0,0.000,3075,l10_expected_value_out_of_range,0,0.000,2994,l10_expected_value_out_of_range
L10-004,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1866,0,0.000,3708,l10_expected_value_out_of_range,0,0.000,1707,l10_expected_value_out_of_range,0,0.000,902,l10_expected_value_out_of_range,0,0.000,1147,l10_expected_value_out_of_range
