question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L6-005,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.804,2670,1,0.783,2754,,1,0.779,2100,,1,0.870,3154,,1,0.784,2670,
L7-001,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4785,0,0.000,3384,l7_001_asset_must_be_multi_or_generic,0,0.000,5429,l7_001_asset_must_be_multi_or_generic,0,0.000,3989,l7_001_asset_must_be_multi_or_generic,0,0.000,6339,l7_001_asset_must_be_multi_or_generic
L7-002,7,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.562,3059,1,0.830,3800,,1,0.830,3678,,0,0.276,3237,,0,0.312,1519,
L7-003,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3406,0,0.000,2587,lp_net_return_inconsistent_net_gain|lp_net_return_inconsistent_return_pct|lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch,0,0.000,4526,lp_net_return_inconsistent_net_gain|lp_net_return_inconsistent_il_loss,0,0.000,3853,lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch,0,0.000,2658,lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch
L7-004,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,8644,0,0.000,15314,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield,0,0.000,10419,portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_risk_ratio,0,0.000,4827,portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_risk_ratio,0,0.000,4014,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield
L7-005,7,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.909,13041,1,0.909,18319,,1,0.982,14257,,1,0.893,10309,,1,0.854,9279,
L8-001,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5339,0,0.000,3205,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range,0,0.000,12958,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range,0,0.000,3697,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range|multi_protocol_liquidity_constraint,0,0.000,1496,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range|multi_protocol_liquidity_constraint|multi_protocol_convex_auto_fail|multi_protocol_total_allocation_mismatch
L8-002,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.633,4894,0,0.667,4986,,0,0.600,5287,,0,0.667,4045,,0,0.600,5256,
L8-003,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.807,7067,1,0.807,7221,,1,0.807,8653,,1,0.807,8905,missing_field|missing_field,1,0.807,3487,
L8-004,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.779,14788,1,1.000,45094,,1,0.744,4865,,1,0.907,5433,,0,0.467,3759,
L8-005,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4001,1,1.000,4598,,1,1.000,4743,,1,1.000,3003,,1,1.000,3661,
L8-006,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.777,6541,0,0.279,14453,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname,1,0.891,5812,,1,1.000,3789,,1,0.940,2108,
L8-007,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.308,5394,0,0.232,2782,,0,0.360,5028,,0,0.320,2721,,0,0.320,11044,
L8-008,8,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.356,18266,1,0.713,59212,l8_008_total_notional_mismatch,0,0.000,4853,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan,1,0.713,5083,l8_008_total_notional_mismatch,0,0.000,3916,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan
L8-009,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.871,4875,0,0.484,2711,,1,1.000,7486,,1,1.000,3237,,1,1.000,6067,
L8-010,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.739,6808,1,0.826,18418,,1,0.732,4029,,1,0.738,3252,,0,0.660,1531,
L9-001,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3793,0,0.000,4940,l9_expected_value_mismatch,0,0.000,5929,mismatch_fieldname,0,0.000,2231,l9_expected_value_mismatch,0,0.000,2070,l9_expected_value_mismatch
L9-002,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,13278,0,0.000,4009,l9_expected_value_mismatch,0,0.000,6167,l9_expected_value_mismatch,0,0.000,2267,l9_expected_value_mismatch,0,0.000,40669,l9_expected_value_mismatch
L9-003,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4645,0,0.000,8816,l9_expected_value_mismatch,0,0.000,5557,l9_expected_value_mismatch,0,0.000,1739,l9_expected_value_mismatch,0,0.000,2466,l9_expected_value_mismatch
L9-004,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3867,0,0.000,2729,l9_expected_value_mismatch,0,0.000,5702,mismatch_fieldname,0,0.000,2824,l9_expected_value_mismatch,0,0.000,4213,l9_expected_value_mismatch
L9-005,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4298,0,0.000,1397,l9_expected_value_mismatch,0,0.000,4168,mismatch_fieldname,0,0.000,9068,l9_expected_value_mismatch,0,0.000,2558,l9_expected_value_mismatch
L9-006,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3799,0,0.000,6087,l9_expected_value_mismatch,0,0.000,6010,mismatch_fieldname,0,0.000,2355,l9_expected_value_mismatch,0,0.000,743,l9_expected_value_mismatch
L9-007,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3580,0,0.000,5472,l9_expected_value_mismatch,0,0.000,4483,l9_expected_value_mismatch,0,0.000,1425,mismatch_fieldname,0,0.000,2940,l9_expected_value_mismatch
L9-008,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5163,0,0.000,7744,l9_expected_value_mismatch,0,0.000,4807,mismatch_fieldname,0,0.000,2445,l9_expected_value_mismatch,0,0.000,5655,l9_expected_value_mismatch
L9-009,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2415,1,1.000,1605,,0,0.000,971,l9_expected_value_mismatch,0,0.000,3810,l9_expected_value_mismatch,0,0.000,3274,l9_expected_value_mismatch
L9-010,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2681,0,0.000,1267,l9_expected_value_mismatch,0,0.000,4214,l9_expected_value_mismatch,0,0.000,2356,l9_expected_value_mismatch,0,0.000,2885,l9_expected_value_mismatch
L9-011,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4674,1,1.000,10064,,1,1.000,2386,,1,1.000,2787,,1,1.000,3458,
L9-012,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,3501,1,1.000,6447,,1,1.000,2072,,1,1.000,4692,,1,1.000,793,
L9-013,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4511,0,0.000,7423,l9_expected_value_mismatch,0,0.000,2891,l9_expected_value_mismatch,0,0.000,6268,l9_expected_value_mismatch,0,0.000,1463,l9_expected_value_mismatch
L9-014,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5191,0,0.000,7769,l9_expected_value_mismatch,0,0.000,3480,mismatch_fieldname,0,0.000,5567,l9_expected_value_mismatch,0,0.000,3947,l9_expected_value_mismatch
L9-015,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3649,0,0.000,1467,l9_expected_value_mismatch,0,0.000,4843,l9_expected_value_mismatch,0,0.000,6892,l9_expected_value_mismatch,0,0.000,1394,l9_expected_value_mismatch
L9-016,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2097,1,1.000,2374,,0,0.000,1361,l9_expected_value_mismatch,0,0.000,3564,mismatch_fieldname,0,0.000,1090,l9_expected_value_mismatch
L9-017,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2531,0,0.000,1770,l9_expected_value_mismatch,0,0.000,4129,l9_expected_value_mismatch,0,0.000,1415,l9_expected_value_mismatch,0,0.000,2808,l9_expected_value_mismatch
L9-018,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,17654,0,0.000,2220,l9_expected_value_mismatch,0,0.000,2249,l9_expected_value_mismatch,0,0.000,1731,l9_expected_value_mismatch,0,0.000,64415,l9_expected_value_mismatch
L9-019,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1745,0,0.000,1403,l9_expected_value_mismatch,0,0.000,1964,l9_expected_value_mismatch,0,0.000,1715,l9_expected_value_mismatch,0,0.000,1899,l9_expected_value_mismatch
L9-020,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1798,1,1.000,1607,,1,1.000,1848,,1,1.000,1198,,0,0.000,2540,l9_expected_value_mismatch
L9-021,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2927,0,0.000,3498,l9_expected_value_mismatch,0,0.000,4679,l9_expected_value_mismatch,0,0.000,2277,l9_expected_value_mismatch,0,0.000,1252,l9_expected_value_mismatch
L9-022,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4564,0,0.000,1931,l9_expected_value_mismatch,0,0.000,4406,mismatch_fieldname,0,0.000,5552,l9_expected_value_mismatch,0,0.000,6366,l9_expected_value_mismatch
L9-023,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2088,0,0.000,3312,l9_expected_value_mismatch,0,0.000,1989,l9_expected_value_mismatch,0,0.000,2286,l9_expected_value_mismatch,0,0.000,763,l9_expected_value_mismatch
L9-024,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2582,0,0.000,3574,l9_expected_value_mismatch,1,1.000,2432,,0,0.000,3321,mismatch_fieldname,0,0.000,999,l9_expected_value_mismatch
L9-025,9,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2684,0,0.000,2691,l9_expected_value_mismatch,1,1.000,3760,,1,1.000,3775,,0,0.000,509,l9_expected_value_mismatch
L9-026,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3040,0,0.000,3531,l9_expected_value_mismatch,0,0.000,2731,l9_expected_value_mismatch,0,0.000,2128,l9_expected_value_mismatch,0,0.000,3768,l9_expected_value_mismatch
L9-027,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5072,0,0.000,7386,l9_expected_value_mismatch,0,0.000,4898,l9_expected_value_mismatch,0,0.000,5046,l9_expected_value_mismatch,0,0.000,2959,l9_expected_value_mismatch
L9-028,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2400,1,1.000,3344,,1,1.000,2230,,1,1.000,2309,,1,1.000,1717,
L9-029,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3401,0,0.000,3043,l9_expected_value_mismatch,0,0.000,5386,l9_expected_value_mismatch,0,0.000,3715,l9_expected_value_mismatch,0,0.000,1458,l9_expected_value_mismatch
L9-030,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,21253,0,0.000,17444,l9_expected_value_mismatch,0,0.000,1576,l9_expected_value_mismatch,0,0.000,5315,l9_expected_value_mismatch,0,0.000,60677,l9_expected_value_mismatch
L9-031,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2231,0,0.000,2251,l9_expected_value_mismatch,0,0.000,2555,l9_expected_value_mismatch,0,0.000,2107,l9_expected_value_mismatch,0,0.000,2009,l9_expected_value_mismatch
L9-032,9,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,2305,1,1.000,2027,,1,1.000,1638,,0,0.000,2105,mismatch_fieldname,0,0.000,3451,l9_expected_value_mismatch
L9-033,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2915,0,0.000,2523,l9_expected_value_mismatch,0,0.000,4332,l9_expected_value_mismatch,0,0.000,3919,l9_expected_value_mismatch,0,0.000,885,l9_expected_value_mismatch
L9-034,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2529,0,0.000,4550,l9_expected_value_mismatch,0,0.000,1893,l9_expected_value_mismatch,0,0.000,1125,l9_expected_value_mismatch,0,0.000,2548,l9_expected_value_mismatch
L9-035,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2373,0,0.000,4325,l9_expected_value_mismatch,0,0.000,2480,l9_expected_value_mismatch,0,0.000,1584,l9_expected_value_mismatch,0,0.000,1101,l9_expected_value_mismatch
L9-036,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,2228,1,1.000,3387,,1,1.000,1355,,1,1.000,2957,,0,0.000,1212,l9_expected_value_mismatch
L9-037,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1708,0,0.000,1331,l9_expected_value_mismatch,0,0.000,1707,l9_expected_value_mismatch,0,0.000,1775,l9_expected_value_mismatch,0,0.000,2017,l9_expected_value_mismatch
L9-038,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6412,0,0.000,1334,l9_expected_value_mismatch,0,0.000,3605,mismatch_fieldname,0,0.000,14180,l9_expected_value_mismatch,0,0.000,6530,l9_expected_value_mismatch
L9-039,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2872,0,0.000,5019,l9_expected_value_mismatch,0,0.000,3355,l9_expected_value_mismatch,0,0.000,1468,mismatch_fieldname,0,0.000,1646,l9_expected_value_mismatch
L9-040,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3043,1,1.000,2652,,1,1.000,4019,,1,1.000,2875,,0,0.000,2624,l9_expected_value_mismatch
L9-041,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2866,0,0.000,1456,l9_expected_value_mismatch,0,0.000,4963,l9_expected_value_mismatch,0,0.000,2949,l9_expected_value_mismatch,0,0.000,2096,l9_expected_value_mismatch
L9-042,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1809,0,0.000,653,l9_expected_value_mismatch,0,0.000,3275,l9_expected_value_mismatch,0,0.000,1673,l9_expected_value_mismatch,0,0.000,1635,l9_expected_value_mismatch
L9-043,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15683,0,0.000,4522,l9_expected_value_mismatch,0,0.000,1811,l9_expected_value_mismatch,0,0.000,1880,l9_expected_value_mismatch,0,0.000,54519,l9_expected_value_mismatch
L9-044,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1561,1,1.000,1523,,1,1.000,2070,,1,1.000,880,,0,0.000,1770,l9_expected_value_mismatch
